year,line,in_7,out_7,in_8,out_8,in_17,out_17,in_18,out_18,in_19,out_19,in_20,out_20
Oct-19,1,13691,61437,22056,185606,201165,112660,266933,124358,183998,74619,130293,35386
Dec-20,1,6853,43753,10019,128172,111439,38031,166998,33089,89437,15362,62159,7482
Jul-21,1,8706,53740,13364,146908,125526,52268,185109,54812,104033,27463,69432,11360
