year,line,in_7,out_7,in_8,out_8,in_17,out_17,in_18,out_18,in_19,out_19,in_20,out_20
Nov-19,1,14200,128093,20661,439776,187384,61418,369792,64225,145148,34600,112280,19427
Jan-21,1,9104,103100,11728,302157,119824,21065,247253,19589,89523,9174,68020,5855
Aug-21,1,10012,109103,12903,303709,127426,22099,256142,22457,85589,11113,59698,6915
