year,line,in_7,out_7,in_8,out_8,in_17,out_17,in_18,out_18,in_19,out_19,in_20,out_20
Nov-19,1,13054,56797,20581,179107,189266,112000,252380,124436,168786,74177,122677,33636
Jan-21,1,6673,41298,9850,119700,109098,42781,165742,37806,92264,16825,74460,7779
Aug-21,1,7900,48444,12598,132354,123817,50003,176884,49613,103564,24005,71792,10171
