year,line,in_7,out_7,in_8,out_8,in_17,out_17,in_18,out_18,in_19,out_19,in_20,out_20
Oct-19,1,14970,139618,22367,445991,194011,62386,378780,64429,153827,36228,117434,20233
Dec-20,1,9394,101577,12414,302734,122187,21918,245265,18764,88639,8984,63737,5870
Jul-21,1,10569,118362,13631,331484,133151,24717,277164,24771,88933,12165,60338,7177
