year,line,in_7,out_7,in_8,out_8,in_17,out_17,in_18,out_18,in_19,out_19,in_20,out_20
Oct-19,2,95318,15611,135703,30118,38217,59815,40156,90486,25415,83499,19307,52534
Dec-20,2,66142,9731,102668,22313,23868,47220,26175,75339,14714,60911,13049,38109
Jul-21,2,74203,11218,108660,24446,25845,48266,30421,82045,17044,65393,13534,38826
