year,line,in_7,out_7,in_8,out_8,in_17,out_17,in_18,out_18,in_19,out_19,in_20,out_20
Dec-19,1,12596,54277,19083,176528,195945,127124,254070,135590,178040,77475,133385,36611
Feb-21,1,6447,39057,9938,116847,114386,53389,162217,51031,96196,23348,77407,9662
Sep-21,1,7581,45974,12528,129539,122023,57659,170205,56068,104862,26813,75507,10960
