year,line,in_7,out_7,in_8,out_8,in_17,out_17,in_18,out_18,in_19,out_19,in_20,out_20
Nov-19,2,91089,14117,136903,28777,38232,58869,38421,88001,23741,83481,18156,50822
Jan-21,2,64508,8378,100646,21105,23867,44946,26663,74508,15271,64516,13525,40823
Aug-21,2,67841,10349,100844,23320,25417,47489,28855,79530,16268,62832,12780,38119
