year,line,in_7,out_7,in_8,out_8,in_17,out_17,in_18,out_18,in_19,out_19,in_20,out_20
19-Oct,2,95318,15611,135703,30118,38217,59815,40156,90486,25415,83499,19307,52534
19-Nov,2,91089,14117,136903,28777,38232,58869,38421,88001,23741,83481,18156,50822
19-Dec,2,86521,13197,130149,28766,41154,59173,40774,84854,25010,79021,19417,50272
20-Dec,2,66142,9731,102668,22313,23868,47220,26175,75339,14714,60911,13049,38109
21-Jan,2,64508,8378,100646,21105,23867,44946,26663,74508,15271,64516,13525,40823
21-Feb,2,60766,8024,94690,20523,23924,42313,26542,67963,15236,59821,12229,36918
21-Jul,2,74203,11218,108660,24446,25845,48266,30421,82045,17044,65393,13534,38826
21-Aug,2,67841,10349,100844,23320,25417,47489,28855,79530,16268,62832,12780,38119
21-Sep,2,66081,11272,98400,22483,25905,47237,28068,73413,16159,59398,12182,36944
