year,line,in_7,out_7,in_8,out_8,in_17,out_17,in_18,out_18,in_19,out_19,in_20,out_20
01-Dec,1,13955,123167,19241,429188,183915,74730,353761,77943,147861,43308,122779,24870
01-Feb,1,8624,98225,11562,285037,114736,24362,232352,23726,84528,11653,63819,6472
01-Sep,1,9680,100921,12780,291244,123240,24456,235948,23368,83726,11642,60002,7023
