year,line,in_7,out_7,in_8,out_8,in_17,out_17,in_18,out_18,in_19,out_19,in_20,out_20
19-Oct,1,13691,61437,22056,185606,201165,112660,266933,124358,183998,74619,130293,35386
19-Nov,1,13054,56797,20581,179107,189266,112000,252380,124436,168786,74177,122677,33636
19-Dec,1,12596,54277,19083,176528,195945,127124,254070,135590,178040,77475,133385,36611
20-Dec,1,6853,43753,10019,128172,111439,38031,166998,33089,89437,15362,62159,7482
21-Jan,1,6673,41298,9850,119700,109098,42781,165742,37806,92264,16825,74460,7779
21-Feb,1,6447,39057,9938,116847,114386,53389,162217,51031,96196,23348,77407,9662
21-Jul,1,8706,53740,13364,146908,125526,52268,185109,54812,104033,27463,69432,11360
21-Aug,1,7900,48444,12598,132354,123817,50003,176884,49613,103564,24005,71792,10171
21-Sep,1,7581,45974,12528,129539,122023,57659,170205,56068,104862,26813,75507,10960
