호선명,지하철역,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원
1호선,동대문,11463,8489,15440,18762,20498,14570,18547,15075,12425,15599,10478,10407
1호선,동묘앞,4659,6246,6976,15825,23269,9497,15744,7638,7354,5187,4975,3845
1호선,서울역,27028,67086,45459,145048,96195,48174,142300,50891,69428,34143,48293,22331
1호선,시청,5216,47974,6572,135343,56776,11111,109101,9537,41734,4627,33215,3270
1호선,신설동,13904,19173,19927,52594,33415,18030,49276,21815,18532,14724,12579,9840
1호선,제기동,16342,16142,25047,34805,33521,19121,29731,20797,13067,15010,9175,9264
1호선,종각,4553,76367,7163,167135,95022,20977,152511,20063,65886,9587,56674,4751
1호선,종로3가,3521,19687,5495,57307,57973,19046,79303,16159,43130,7466,30910,3656
1호선,종로5가,3451,32400,6129,89055,64669,16209,81895,12019,38244,7005,23342,3478
1호선,청량리(서울시립대입구),29809,12560,37811,29256,38438,32081,31184,38933,17081,26350,13951,15509
2호선,강남,30063,115075,46382,262280,186459,76916,270408,93861,167081,53426,133752,29052
2호선,강변(동서울터미널),62726,17613,84940,35760,37195,60090,44047,89348,32460,62710,25337,38052
2호선,건대입구,42334,23871,74746,55501,50609,65860,63387,95699,44061,62355,49806,36546
2호선,교대(법원.검찰청),18463,42018,26859,132602,82529,37953,121928,43090,54268,27302,42904,15851
2호선,구로디지털단지,114319,68452,159218,211768,102932,93585,179180,138469,89635,107211,55116,66419
2호선,구의(광진구청),53670,12458,94034,33494,28358,46305,33816,78015,16883,55491,14561,35985
2호선,낙성대(강감찬),62601,13701,102403,30113,34451,50467,36158,83019,20940,70460,17235,44700
2호선,당산,36000,23103,43872,68798,30542,33750,51347,55683,21947,37170,17155,23808
2호선,대림(구로구청),54587,19429,81627,49930,35567,54916,45407,62057,22304,42900,15810,31562
2호선,도림천,2474,2896,2792,5786,2792,1835,3254,2493,1810,2198,742,1203
2호선,동대문역사문화공원(DDP),5466,16067,8178,39965,30376,13477,32557,14996,19763,18177,16646,10700
2호선,뚝섬,14898,29548,22456,114784,43943,20969,93212,27930,44212,17328,25496,11080
2호선,문래,33451,29783,37386,105088,47186,23939,86528,39894,29086,28429,21740,15076
2호선,방배,17101,24046,24623,60198,34191,22287,52814,28989,22330,20807,16414,13145
2호선,봉천,66142,9731,102668,22313,23868,47220,26175,75339,14714,60911,13049,38109
2호선,사당,58440,33492,80523,53731,52878,76859,70314,107893,45302,75342,41395,46284
2호선,삼성(무역센터),12133,101529,15781,249286,140783,35554,214260,37599,115044,20899,95320,11662
2호선,상왕십리,30454,9691,48247,29009,18709,25198,22885,41516,13319,27786,9223,17119
2호선,서울대입구(관악구청),100285,22688,153206,51085,58940,84965,66728,141632,39896,114652,36211,67905
2호선,서초,10602,37985,17435,101608,56316,16447,84443,16375,34238,10968,24334,7362
2호선,선릉,16038,98798,23664,233665,151566,34422,230150,35862,112871,22217,75854,13940
2호선,성수,19759,63646,26545,233275,81921,28735,180351,36095,76397,22308,44220,12658
2호선,시청,4178,53603,5842,167391,65411,10807,136164,9227,46905,4357,30522,2600
2호선,신답,4739,838,8447,1703,1515,3626,1632,8169,715,5700,440,2536
2호선,신당,20521,14108,34943,30177,25226,25617,27870,34727,17053,23481,13243,14637
2호선,신대방,74000,15149,110382,28393,28106,54578,31827,84596,17680,67452,13492,45695
2호선,신도림,104190,34330,112960,99346,75588,81700,103856,128090,59473,94308,51953,54976
2호선,신림,172413,26636,265990,52075,66441,126331,67255,217287,43352,178174,41689,111307
2호선,신설동,2460,4812,4811,11488,8563,3947,9384,4405,3872,3006,2375,1847
2호선,신정네거리,37417,4660,34957,10516,10776,21523,8797,38432,5070,29031,4273,14898
2호선,신촌(지하),25474,30249,36405,63367,65157,46698,67959,64803,46760,42935,52113,23057
2호선,아현,21919,7985,30314,14282,14546,18063,13854,28091,8420,20124,6153,12835
2호선,양천구청,25318,4158,23162,8157,6381,14848,6834,24627,2800,20571,2163,10957
2호선,역삼,11295,100191,19518,265039,155292,33477,221461,34611,111755,22545,69383,14869
2호선,영등포구청,32423,30385,38659,108135,47479,27518,90014,42689,32967,28822,24480,16467
2호선,왕십리(성동구청),19879,8876,36364,22800,26215,23335,29135,35402,16542,21385,18451,12674
2호선,용답,5675,1532,10364,2818,3413,5060,2768,8922,1673,5654,1058,3226
2호선,용두(동대문구청),3816,1966,6803,5823,3845,3735,5072,6568,1979,4656,1386,2327
2호선,을지로3가,4388,53435,7149,124817,60840,12003,104612,11373,42381,5783,28561,3373
2호선,을지로4가,2446,26911,4310,68509,44933,8160,59061,6393,28016,3961,14902,2122
2호선,을지로입구,6647,94627,10261,238034,121003,26482,198358,26900,86628,13355,84486,7398
2호선,이대,15243,9458,19933,26756,27600,16602,24067,23561,14423,16762,12765,10452
2호선,잠실(송파구청),88413,58784,125046,130095,113894,106386,144244,156560,92469,105710,96826,64156
2호선,잠실나루,28289,18272,36359,31493,24818,18114,23661,31075,10911,23098,8149,12744
2호선,잠실새내,39930,14281,55059,23214,26756,39058,29109,58741,21031,39820,20228,21220
2호선,종합운동장,12744,8158,17104,15542,10695,11855,11275,18568,5948,13026,3757,7694
2호선,충정로(경기대입구),12349,14970,17677,49448,20405,12334,39180,17164,13081,12756,8651,7996
2호선,한양대,4208,9722,7069,28294,20722,5813,23360,6923,9967,4262,7631,3388
2호선,합정,34306,27531,45286,76835,51199,47245,83719,66885,51724,45262,42671,24802
2호선,홍대입구,46240,26719,60611,78141,85749,79880,104815,106091,77834,70017,80522,36610
3호선,가락시장,14671,9464,17615,23655,16136,13843,23113,18775,9966,12316,7883,8365
3호선,경복궁(정부서울청사),9892,31276,15542,85341,43302,17070,72031,19465,28436,13898,23310,7415
3호선,경찰병원,16741,7746,20674,26666,12593,10522,18051,16711,5784,13647,4637,8509
3호선,고속터미널,18016,34443,29803,56277,91334,67854,98222,78766,77453,46978,92644,23924
3호선,교대(법원.검찰청),5648,13257,8670,43421,34319,8327,54928,9885,22418,5312,17493,2907
3호선,구파발,66307,19137,67417,22673,26927,32834,23263,58062,13476,47440,11794,25867
3호선,금호,20440,4130,29063,7646,8519,17672,8834,26080,5470,18355,4453,11912
3호선,남부터미널(예술의전당),19151,45950,30305,131974,71765,33228,111030,40763,52505,26802,35491,15978
3호선,녹번,51215,6811,62512,16237,14050,27657,15125,50279,6964,41866,5190,23714
