from,to,line,7_in,7_out,8_in,8_out,17_in,17_out,18_in,18_out,19_in,19_out,20_in,20_out
소요산,동두천,1,3751,6600,4063,4861,3326,2603,4208,3697,1884,3233,1062,2568
동두천,보산,1,3750,1803,2731,2305,3113,2410,2545,2923,1448,3559,948,2652
보산,동두천중앙,1,7076,3184,6808,7681,4750,4852,5574,4479,2244,5724,1638,3728
동두천중앙,지행,1,17150,4197,15046,10392,7382,12299,9348,13598,4795,15752,5006,9400
지행,덕정,1,15949,9583,13101,11303,9290,9495,10752,11195,4157,11786,2930,7335
덕정,덕계,1,9903,2243,8704,3620,3229,5055,2954,6705,1319,6475,950,4448
덕계,양주,1,26639,8190,20130,9594,9194,11752,11068,18074,5215,17843,3181,11737
양주,녹양,1,14927,3815,12447,7667,5464,7993,6203,11075,3007,11818,2364,7327
녹양,가능,1,19567,4912,18685,9973,8052,10717,7228,17106,4542,15672,3444,9628
가능,의정부,1,39910,10791,35753,28893,29017,29696,32319,41942,20286,37539,21795,21659
의정부,회룡,1,45630,6577,38944,9873,10616,23665,9157,37051,5348,35102,4268,18121
회룡,망월사,1,21173,2951,21400,7838,7746,13768,7471,20999,3764,19653,2907,10780
망월사,도봉산,1,63381,8811,53025,14263,20580,23829,16321,39351,8407,42666,5746,23534
도봉산,도봉,1,16047,2970,15823,7932,7576,10884,7637,14519,3443,13465,2462,7055
도봉,방학,1,25259,7026,24159,16992,12337,17135,14645,24800,7136,21689,5269,10820
방학,창동,1,76957,14366,70649,33338,32179,52073,32782,82373,18746,68312,16647,38847
창동,녹천,1,18057,2179,14433,3879,4732,7743,3776,13306,2757,11012,1605,6373
녹천,월계,1,19346,4921,17270,7202,7127,11659,7392,17854,3740,14909,3326,7696
월계,광운대,1,26485,4261,26743,9849,9432,15161,7718,22307,4782,19159,4945,11310
광운대,석계,1,60824,10627,71290,18210,21220,47569,19435,75709,14322,60960,12328,33883
석계,신이문,1,30335,3551,33037,6919,7215,17679,6757,27883,4321,22738,2751,13642
신이문,외대앞,1,14352,3861,18143,8083,11371,14644,9054,18877,6224,15578,6409,9409
외대앞,회기,1,42787,23513,55303,40501,45788,36856,35167,52720,19627,43393,17073,25469
회기,청량리(서울시립대입구),1,51880,21353,62740,43184,61596,57661,51858,74234,33766,51723,32074,28371
청량리(서울시립대입구),제기동,1,16342,16142,25047,34805,33521,19121,29731,20797,13067,15010,9175,9264
제기동,신설동,1,17350,27756,26389,75896,48126,23654,68347,27614,26255,18700,17364,12416
신설동,동묘앞,1,11821,12876,17023,38609,43140,19899,35344,20439,16838,14889,11475,10019
동묘앞,동대문,1,16086,41967,21546,89395,98050,25650,77470,22757,36863,26938,31063,18243
동대문,종로5가,1,3451,32400,6129,89055,64669,16209,81895,12019,38244,7005,23342,3478
종로5가,종로3가,1,6853,43753,10019,128172,111439,38031,166998,33089,89437,15362,62159,7482
종로3가,종각,1,4553,76367,7163,167135,95022,20977,152511,20063,65886,9587,56674,4751
종각,시청,1,9394,101577,12414,302734,122187,21918,245265,18764,88639,8984,63737,5870
시청,서울역,1,51065,117306,78778,259352,157698,82685,237803,87750,114451,59643,77663,38915
서울역,남영,1,9071,16980,12941,42407,21032,11567,38143,16332,14488,10903,9899,7099
남영,용산,1,14973,47927,19102,108350,79677,36448,109897,43728,63625,27642,59749,16716
용산,노량진,1,59396,31258,90778,58641,47613,64479,55281,92145,31150,60717,36180,38320
노량진,대방,1,23359,28611,31326,43349,25979,19928,37730,31411,13963,21368,10252,13805
대방,신길,1,29746,16019,41319,36930,21800,22249,35564,33979,13661,22813,8977,15294
신길,영등포,1,29910,47259,41628,103443,81738,62331,121196,76762,68896,47002,81418,24734
영등포,신도림,1,111554,40395,122413,113993,83340,88054,116791,137598,64380,100510,56076,58550
신도림,구로,1,30444,29129,31582,71606,42809,30870,57701,37053,24597,25286,17959,15848
구로,구일,1,21603,5790,20189,9239,7143,11291,7870,22389,3492,17566,2675,9147
구일,개봉,1,75687,13656,72356,20677,24347,51033,22651,82431,13658,60753,11644,33633
개봉,오류동,1,40570,5293,43738,10412,12467,23652,11555,39004,6546,32096,5429,18598
오류동,온수(성공회대입구),1,61648,12409,71068,21351,18195,30719,17890,59033,8851,46922,6804,25187
온수(성공회대입구),역곡,1,102471,11709,99417,24507,27063,56358,25418,96257,15614,81380,14273,44791
역곡,소사,1,31400,6337,28818,9627,10893,18629,9697,27024,5351,23233,4263,13122
소사,부천,1,89624,16256,91739,36326,44036,67694,45742,102948,30294,85079,28607,43860
부천,중동,1,35190,5401,28522,10804,9416,16819,10222,26988,5112,24586,4415,14068
중동,송내,1,90076,25830,76799,66324,35376,44404,60951,76700,26446,69858,18416,38672
송내,부개,1,32173,4985,25166,8485,9595,15514,8555,27004,4416,21600,3490,12704
부개,부평,1,71254,15674,68655,27722,44177,61535,42379,95271,31030,70497,32460,38911
부평,백운,1,23771,3829,21768,7019,8819,13860,7563,21695,3738,19234,3086,11693
백운,동암,1,44923,12000,42883,15986,21423,32096,19047,45692,11473,39879,9588,25941
동암,간석,1,18791,3055,16724,6687,6445,11070,6918,15471,3470,15174,3146,8335
간석,주안,1,52695,15539,43934,24867,29297,31116,30421,45408,16769,46124,15333,25781
주안,도화,1,12858,3870,10722,5838,5131,6436,5058,8770,2412,8606,1884,5050
도화,제물포,1,31300,8867,25774,19850,15431,16396,17810,24130,6638,22717,5034,13787
제물포,도원,1,5311,2968,4922,10682,5616,4179,5671,4931,1860,4352,1367,2818
도원,동인천,1,32937,18559,24975,27355,28368,19596,30446,26113,12818,28029,10006,15208
동인천,인천,1,6652,6122,5419,9994,11628,5078,9940,5399,4138,4237,3592,3124
구로,가산디지털단지,1,30243,140848,32791,478640,211797,42031,365906,48385,159533,33997,92220,20505
가산디지털단지,독산,1,31547,34768,31375,89655,43295,19738,63061,33642,30060,27273,17141,14260
독산,금천구청,1,37959,12365,36870,26040,13637,22155,20560,37989,8882,27835,6955,14275
금천구청,석수,1,32673,10297,33278,15419,14143,15406,15194,28744,7997,23505,6458,13331
석수,관악,1,26585,4488,25684,7711,9176,12134,7856,22884,4655,18991,3465,10365
관악,안양,1,65915,13295,59992,27331,31228,42295,29045,65145,18207,56266,17683,29463
