from,to,line,7_in,7_out,8_in,8_out
성수,용답,2,8995,1850,14355,4419
용답,신답,2,7441,1005,11442,2017
신답,용두(동대문구청),2,5351,2389,8432,6582
용두(동대문구청),신설동,2,27544,40572,41819,110705
신도림,도림천,2,2979,5120,3797,6452
도림천,양천구청,2,37116,6181,36529,12148
양천구청,신정네거리,2,48933,5538,46411,13734
신정네거리,까치산,2,148476,13453,175569,24335
대화,주엽,3,29550,9626,30827,18530
주엽,정발산,3,10258,7145,11861,22875
정발산,마두,3,19390,9395,20093,24359
마두,백석,3,26592,14746,28457,30518
백석,대곡,3,7072,2006,7373,4073
대곡,화정,3,65440,14843,68343,38667
화정,원당,3,53578,9515,56380,15193
원당,원흥,3,43006,6356,45748,11417
원흥,삼송,3,79244,14780,81632,32792
삼송,지축,3,5605,2512,6814,2821
지축,구파발,3,101382,26295,100216,36065
구파발,연신내,3,159009,30284,190114,41996
연신내,불광,3,74941,17205,88384,48051
불광,녹번,3,66093,8346,76377,19104
녹번,홍제,3,70083,14122,84555,32348
홍제,무악재,3,17283,3319,19690,6877
무악재,독립문,3,19952,18843,24869,23292
독립문,경복궁(정부서울청사),3,17227,47101,25344,142350
경복궁(정부서울청사),안국,3,7652,105664,11364,129602
안국,종로3가,3,13691,61437,22056,185606
종로3가,을지로3가,3,9411,98097,18365,249832
을지로3가,충무로,3,12708,56447,20253,218291
충무로,동대입구,3,6226,22361,9823,81095
동대입구,약수,3,36263,23286,56009,58257
약수,금호,3,31189,4904,43702,9499
금호,옥수,3,28232,9258,40603,18205
옥수,압구정,3,19385,55152,33394,163158
압구정,신사,3,13881,43730,22949,122498
신사,잠원,3,20531,8811,29536,11925
잠원,고속터미널,3,58586,128065,102393,195138
고속터미널,교대(법원.검찰청),3,41543,95259,62426,226459
교대(법원.검찰청),남부터미널,3,,,,
남부터미널,양재(서초구청),3,39809,111081,54968,275328
양재(서초구청),매봉,3,17452,20618,22689,74439
매봉,도곡,3,20842,28949,30959,54977
도곡,대치,3,31425,20823,33475,30694
대치,학여울,3,4585,3686,5375,8084
학여울,대청,3,32003,17529,38219,27561
대청,일원,3,26485,29220,26297,28037
일원,수서,3,70571,62882,97044,108090
수서,가락시장,3,36438,24881,44133,73533
가락시장,경찰병원,3,25716,7915,31105,33799
경찰병원,오금,3,41999,15694,47885,38264
당고개,상계,4,106104,19295,97637,23077
상계,노원,4,106731,39199,114610,83176
노원,창동,4,117138,23494,102768,49936
창동,쌍문,4,148952,17049,161227,33099
쌍문,수유(강북구청),4,138027,24157,155706,65156
수유(강북구청),미아(서울사이버대학),4,60004,21425,67590,41651
미아(서울사이버대학),미아사거리,4,109998,23856,124143,39780
미아사거리,길음,4,98475,17663,105454,43128
길음,성신여대입구(돈암),4,60612,25353,77228,61793
성신여대입구(돈암),한성대입구(삼선교),4,38095,22600,49531,44575
한성대입구(삼선교),혜화,4,20036,53777,28688,142687
혜화,동대문,4,25822,59420,35959,124341
동대문,동대문역사문화공원,4,20577,69764,33631,190741
동대문역사문화공원,충무로,4,12708,56447,20253,218291
충무로,명동,4,7480,56951,17054,147707
