from,to,line,7_in,7_out,8_in,8_out,17_in,17_out,18_in,18_out,19_in,19_out,20_in,20_out
응봉,왕십리(성동구청),경의·중앙선,51351,27147,84601,60752,63736,71024,72215,114192,44756,74209,40746,41821
왕십리(성동구청),청량리(서울시립대입구),경의·중앙선,59176,29438,77879,55528,69752,63740,70362,88198,40028,60130,36828,31452
청량리(서울시립대입구),회기,경의·중앙선,51402,25164,65510,42198,44985,41972,39138,65016,21501,50691,16998,30395
회기,중랑,경의·중앙선,20882,2894,19544,5900,6068,13468,6579,21691,4335,14350,3066,9373
중랑,삼봉,경의·중앙선,0,0,0,0,0,0,0,0,0,0,0,0
삼봉,망우,경의·중앙선,26371,5281,21979,12932,10394,16521,11028,26772,7230,18035,5168,11591
망우,양원,경의·중앙선,4899,4345,3822,4427,3557,2344,2269,4127,1290,3038,776,2044
양원,구리,경의·중앙선,51534,8650,45362,18514,18114,28283,19283,47062,12160,41611,9901,21474
구리,도농,경의·중앙선,45027,7947,32553,11500,11932,19089,11667,31486,5827,29758,4332,15668
도농,양정,경의·중앙선,1752,2117,1852,2362,2546,988,2747,1494,1067,1057,557,595
양정,덕소,경의·중앙선,23297,3256,17919,7398,6800,13365,6344,17890,3738,16864,3065,8512
덕소,도심,경의·중앙선,11883,1533,7726,4927,2766,4768,3247,4769,1431,5833,1105,2973
도심,팔당,경의·중앙선,1386,1596,1405,2768,2564,1474,2664,1875,1905,1121,1911,726
팔당,운길산,경의·중앙선,1460,924,1462,1449,2293,1034,1680,1005,1001,1455,1013,468
운길산,양수,경의·중앙선,5652,2799,3460,3270,4681,3406,3955,3344,1869,3872,2090,2645
양수,신원,경의·중앙선,264,551,420,341,405,213,645,297,199,209,133,148
신원,국수,경의·중앙선,1864,623,1439,1338,926,1180,689,1411,567,1181,348,1278
국수,아신,경의·중앙선,1685,641,1189,888,1024,1349,1067,1074,589,1163,380,767
아신,오빈,경의·중앙선,836,269,775,687,645,769,498,639,315,515,231,304
오빈,양평,경의·중앙선,26337,12074,28682,41594,19774,15763,35129,25861,11160,19104,7569,12286
양평,원덕,경의·중앙선,700,509,898,606,638,741,466,680,397,538,223,423
원덕,용문,경의·중앙선,3006,2472,3587,3892,6731,4231,4472,3213,2420,2410,1063,2666
용문,지평,경의·중앙선,371,298,236,98,140,312,31,65,203,258,2,3
서울역,신촌,경의·중앙선,671,3454,467,4170,3109,894,2895,1035,1776,910,850,551
신촌,서울역,경의·중앙선,64085,144406,89924,284252,178789,95142,276241,113907,125279,73197,77419,45527
청량리(서울시립대입구),회기,경춘선,51402,25164,65510,42198,44985,41972,39138,65016,21501,50691,16998,30395
회기,중랑,경춘선,20882,2894,19544,5900,6068,13468,6579,21691,4335,14350,3066,9373
중랑,상봉(시외버스터미널),경춘선,68900,17942,88350,38607,33785,43030,38386,76109,25276,67083,18956,35483
상봉(시외버스터미널),망우,경춘선,26371,5281,21979,12932,10394,16521,11028,26772,7230,18035,5168,11591
망우,신내,경춘선,4976,3588,4169,5030,3680,2938,3731,3837,1432,3104,968,1552
신내,갈매,경춘선,16699,2885,9683,4332,3276,4805,4113,10642,2193,7803,1859,4494
갈매,별내,경춘선,12004,4079,9214,6269,5192,5744,6167,9138,2906,8087,2197,4198
별내,퇴계원,경춘선,18357,4031,12068,4499,4111,7913,5477,11428,2560,11256,1645,6068
퇴계원,사릉,경춘선,15431,5855,11020,6134,4455,6328,6899,8695,2667,12201,1580,5107
사릉,금곡,경춘선,4698,1905,4226,4327,2529,2881,3406,3763,1112,3809,782,1503
금곡,평내호평,경춘선,27018,4728,17220,9666,7200,13174,7987,17366,4868,21757,4155,9643
평내호평,천마산,경춘선,7402,1734,5254,2035,1831,3133,2297,5182,948,4183,742,3362
천마산,마석,경춘선,13899,6172,9967,6979,5891,6737,6960,8143,3216,12530,2716,5715
마석,대성리,경춘선,890,1154,889,1114,1602,725,1445,798,693,677,495,496
대성리,청평,경춘선,3125,1713,3777,3679,3402,3326,2874,3302,1522,2909,1090,2271
청평,상천,경춘선,561,304,628,820,989,404,646,372,300,428,145,252
상천,가평,경춘선,2360,2733,2812,5425,4935,2642,5029,2504,2724,2692,1876,1658
가평,굴봉산,경춘선,165,280,256,442,481,199,371,210,158,150,136,99
굴봉산,백양리,경춘선,78,326,215,278,350,97,323,122,156,75,86,41
백양리,강촌,경춘선,375,372,451,1370,1301,631,1014,747,698,545,497,304
강촌,김유정,경춘선,345,524,294,640,993,493,706,522,396,392,269,254
김유정,남춘천,경춘선,3337,2158,3677,3266,4520,4003,3558,4378,2817,7126,2488,2473
남춘천,춘천,경춘선,1270,939,1455,1973,3520,1654,2696,1611,1734,2393,1189,939
판교,이매,경강선,16402,9474,16313,15475,13059,11438,14833,16068,6931,12873,4702,7270
이매,삼동,경강선,10117,2368,11688,2283,2990,4865,2823,8261,1170,7230,838,4242
삼동,경기광주,경강선,31973,4520,31307,7948,8149,14270,7220,29098,4132,24965,2709,13310
경기광주,초월,경강선,11939,4004,12618,4856,4695,4826,4817,10864,1840,8068,1362,6902
초월,곤지암,경강선,6046,5294,5739,4801,5554,4002,5843,5118,2441,5259,1551,3023
곤지암,신둔도예촌,경강선,5031,2114,3507,2987,3347,2547,2748,3271,1204,3860,903,2108
신둔도예촌,이천,경강선,6567,5347,5198,6606,4868,4581,6505,7003,3287,5380,2603,4484
이천,부발,경강선,4419,4442,3760,4226,4974,3133,5041,3760,2216,4476,1762,3250
부발,세종대왕릉,경강선,848,586,734,608,600,524,715,599,238,778,158,305
세종대왕릉,여주,경강선,4544,2799,4253,2711,3690,3646,2937,4335,2354,5533,1784,3832
청량리(서울시립대입구),왕십리(성동구청),분당선,51351,27147,84601,60752,63736,71024,72215,114192,44756,74209,40746,41821
왕십리(성동구청),서울숲,분당선,12783,18462,19031,37534,27126,14448,39647,22199,18418,14891,13606,7924
서울숲,압구정로데오,분당선,4586,20859,6268,62065,53273,27589,75673,32620,57096,17327,46419,6062
