from,to,line,am7,am8,pm5,pm6,pm7,pm8
남부터미널(예술의전당),양재(서초구청),3,-62400,-163602,59622,115371,32855,23497
양재(서초구청),매봉,3,-8060,-42800,19066,38093,6645,5333
매봉,도곡,3,-8088,-20740,13770,14029,1139,2445
도곡,대치,3,-144,-6983,1601,634,-2888,1541
대치,학여울,3,104,-2917,1076,1630,-537,-224
학여울,대청,3,10287,1457,3889,-542,-9949,-5716
대청,일원,3,-8608,-4651,18138,-1613,-5826,-3502
일원,수서,3,-2889,-19321,13785,2568,-19124,2365
수서,가락시장,3,1324,-28284,9296,16010,-5086,-1278
가락시장,경찰병원,3,10207,-5240,1385,-197,-7593,-4253
경찰병원,오금,3,16247,2004,650,-2533,-10937,-5990
당고개,상계,4,62941,48017,-15661,-39714,-42036,-22200
상계,노원,4,49197,16083,-18005,-48260,-48905,290
노원,창동,4,61695,33682,-18700,-49360,-48596,-22343
창동,쌍문,4,90660,87551,-27100,-67189,-68627,-39385
쌍문,수유(강북구청),4,74238,59387,-22692,-57931,-64032,-30700
수유(강북구청),미아(서울사이버대학),4,29587,20267,-9855,-20476,-21575,-13436
미아(서울사이버대학),미아사거리,4,64077,60767,-21691,-56194,-43379,-13832
미아사거리,길음,4,55366,50301,-16536,-46536,-39390,-20213
길음,성신여대입구(돈암),4,23364,17780,-5487,-20970,-19318,-1598
성신여대입구(돈암),한성대입구(삼선교),4,11307,10475,743,-10039,-12206,-4805
한성대입구(삼선교),혜화,4,-27221,-80360,41338,47972,18312,36401
혜화,동대문,4,-24727,-60897,59787,51491,12771,8371
동대문,동대문역사문화공원,4,0,0,0,0,0,0
동대문역사문화공원,충무로,4,-41815,-140738,51975,106062,41956,29282
충무로,명동,4,-30542,-85383,32427,74165,27759,24964
명동,회현(남대문시장),4,-38880,-98038,60333,85453,29648,31854
회현(남대문시장),서울역,4,-73185,-173426,75931,150259,51223,31805
서울역,숙대입구(갈월),4,-4131,-21190,8192,15543,1806,2258
숙대입구(갈월),삼각지,4,-9481,-21700,12279,18959,1856,2962
삼각지,신용산,4,-17723,-56645,23427,47212,19276,14973
신용산,이촌(국립중앙박물관),4,-237,-9642,9893,5976,-3369,-573
이촌(국립중앙박물관),동작(현충원),4,2853,1557,1389,-557,-2095,-154
동작(현충원),총신대입구(이수),4,22726,12250,-12420,-23558,-18410,-3046
총신대입구(이수),사당,4,62237,72690,-33720,-65110,-52383,-12999
사당,남태령,4,-721,-522,1138,1121,-156,148
남태령,선바위,4,-1475,-3263,8198,10459,595,121
선바위,경마공원,4,-422,-2922,1417,3788,-606,-413
경마공원,대공원,4,-2882,-8148,7817,8386,3881,2483
대공원,과천,4,13722,9931,-1402,-9989,-10296,-5580
과천,정부과천청사,4,-1427,-37807,13391,24344,-3575,1240
정부과천청사,인덕원,4,28315,-32266,4580,7899,-32295,-11750
인덕원,평촌,4,16119,-40038,14497,18899,-12722,-1995
평촌,범계,4,48572,9374,-3967,-21546,-32344,2126
범계,금정,4,33572,-6490,-2126,-5909,-29894,-12980
금정,산본,4,33877,18934,-11490,-28453,-30365,-10698
산본,수리산,4,12074,10473,-2353,-6770,-6906,-4343
수리산,대야미,4,9408,7671,-899,-5170,-6308,-3260
대야미,반월,4,11314,7420,-1917,-7472,-7125,-4870
반월,상록수,4,50662,39744,-13464,-38748,-38838,-22682
상록수,한대앞,4,19472,8301,-3349,-12246,-14062,-7775
한대앞,중앙,4,36316,8023,-4616,-21168,-25358,-4771
중앙,고잔,4,13461,-4891,4548,-1083,-9238,-4448
고잔,초지,4,10006,2814,-906,-4642,-7812,-5399
초지,안산,4,-17191,-10564,15579,17406,1401,3534
안산,신길온천,4,2795,1909,-209,-1216,-2206,-1405
신길온천,정왕,4,-7089,-8986,4614,5941,-2409,-2691
정왕,오이도,4,14880,7621,1043,-6402,-8716,-3539
방화,개화산,5,13248,6420,-1002,-5055,-9065,-4914
개화산,김포공항,5,-34830,-29649,4001,25066,20493,35612
김포공항,송정,5,11313,7258,-506,-5245,-7521,-4288
송정,마곡,5,9652,-18848,10480,14235,-2647,373
마곡,발산,5,-6774,-64306,24871,35884,6197,9380
발산,우장산,5,34372,27826,-9331,-30314,-27512,-13655
우장산,화곡,5,83172,97147,-25628,-77173,-59641,-33707
화곡,까치산,5,94223,111795,-34072,-85450,-71530,-40219
까치산,신정(은행정),5,48611,54757,-12962,-29169,-26520,-14852
신정(은행정),목동,5,34502,32191,-13792,-43653,-34072,-14346
목동,오목교(목동운동장앞),5,11240,-18120,-2066,-1780,-9429,15003
오목교(목동운동장앞),양평,5,12579,-11538,2734,7398,-7533,-4570
양평,영등포구청,5,451,-77045,23304,54390,3798,4290
영등포구청,영등포시장,5,5203,-9796,6367,6607,-2439,-518
영등포시장,신길,5,13869,8896,-1754,-672,-10036,-6793
신길,여의도,5,-197340,-283979,172897,226309,84285,66932
여의도,여의나루,5,-25493,-42846,16429,28068,10635,19200
여의나루,마포,5,-1262,-32599,12279,21146,-269,2950
마포,공덕,5,-25096,-114670,38825,79228,11758,16492
공덕,애오개,5,5210,-4746,992,2539,-4700,-1993
애오개,충정로(경기대입구),5,-6153,-50023,13845,37496,376,256
충정로(경기대입구),서대문,5,-41906,-113374,37416,79677,14874,11316
서대문,광화문(세종문화회관),5,-56854,-196632,57092,148283,48306,34847
광화문(세종문화회관),종로3가,5,-40544,-119756,73814,127271,79559,61621
종로3가,을지로4가,5,-39186,-97000,49261,79760,33557,16552
을지로4가,동대문역사문화공원,5,0,0,0,0,0,0
동대문역사문화공원,청구,5,2267,-16181,1909,9439,3145,1011
청구,신금호,5,11256,10558,-5251,-13134,-9387,-4848
신금호,행당,5,21347,27172,-7772,-20284,-14322,-6581
행당,왕십리(성동구청),5,20968,20800,-7606,-34830,-25918,24
왕십리(성동구청),마장,5,7544,4635,-530,-3121,-4122,-2516
마장,답십리,5,35313,32983,-6645,-21738,-21800,-10531
답십리,장한평,5,24217,1594,1432,-5779,-16305,-8532
장한평,군자(능동),5,42906,41814,-10250,-32055,-30918,-10269
군자(능동),아차산(어린이대공원후문),5,26453,28831,-8311,-25092,-21207,-10058
아차산(어린이대공원후문),광나루(장신대),5,18643,14025,-1892,-10023,-11356,-6528
광나루(장신대),천호(풍납토성),5,28011,20347,-6538,-34345,-24437,7219
천호(풍납토성),강동,5,21150,15205,2682,-8135,-20659,-10006
강동,길동,5,12844,7924,-3649,-7895,-10677,-4520
길동,굽은다리(강동구민회관앞),5,24185,18899,-6502,-18013,-16321,-8565
굽은다리(강동구민회관앞),명일,5,23488,17072,-8193,-19193,-19116,-8146
명일,고덕,5,14358,3016,493,-9311,-16002,-5138
고덕,상일동,5,62713,33065,-12808,-31151,-42076,-16892
강동,둔촌동,5,11555,5891,-788,-5591,-10015,-3022
둔촌동,올림픽공원(한국체대),5,12007,5632,2368,-2238,-8163,-4714
올림픽공원(한국체대),방이,5,8305,-7078,-2240,107,-5856,-676
방이,오금,5,16247,2004,650,-2533,-10937,-5990
오금,개롱,5,13035,4168,-2904,-7158,-11426,-4951
개롱,거여,5,21301,9332,-1906,-9592,-16129,-6800
거여,마천,5,22397,12925,-5569,-11225,-15626,-6357
응암,역촌,6,11263,6889,-4373,-10214,-10174,-4975
역촌,불광,6,37984,25424,-9099,-28288,-31052,-13528
불광,독바위,6,9447,8302,-3123,-8049,-8418,-4355
독바위,연신내,6,91681,101410,-27198,-76844,-74807,-34940
연신내,구산,6,19680,23829,-4420,-11439,-13388,-5347
구산,응암,6,51599,58027,-20772,-49085,-43472,-24350
응암,새절(신사),6,39261,39785,-11959,-31627,-28160,-15236
새절(신사),증산(명지대앞),6,28153,31711,-10319,-27562,-23089,-12047
증산(명지대앞),디지털미디어시티,6,10963,-71032,29068,57049,-1426,-465
디지털미디어시티,월드컵경기장(성산),6,2598,589,3021,257,-1637,417
월드컵경기장(성산),마포구청,6,19256,11725,-386,-4662,-11654,-6338
마포구청,망원,6,14449,3010,-3453,-6476,-5781,3546
망원,합정,6,5015,-49385,10585,28757,20099,35571
합정,상수,6,1227,-7789,556,3088,2171,6521
상수,광흥창(서강),6,1639,-9153,4542,6603,-3406,-1046
광흥창(서강),대흥(서강대앞),6,1651,-8784,4326,2144,-2066,-77
대흥(서강대앞),공덕,6,-25096,-114670,38825,79228,11758,16492
공덕,효창공원앞,6,7605,-6004,3070,7388,-3048,-2523
효창공원앞,삼각지,6,-9481,-21700,12279,18959,1856,2962
