호선명,지하철역,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원
1호선,동대문,9945,8050,13961,17637,21512,15215,20512,15284,13451,15188,11181,9711
1호선,동묘앞,4276,5447,6820,14057,25125,10891,19239,7788,7424,5351,4445,3761
1호선,서울역,26091,66158,42866,140328,93548,49396,140663,54309,69747,36809,47644,24679
1호선,시청,4718,45518,5998,125335,53002,12231,102882,12033,39152,5910,32385,3512
1호선,신설동,13019,17924,18478,47150,32222,16715,44951,20611,17225,15193,12332,9438
1호선,제기동,15492,14308,23658,30904,33125,19901,29526,20255,13027,14799,8801,9517
1호선,종각,4223,71723,6764,161487,90503,26847,146648,28063,68451,13299,61844,5132
1호선,종로3가,3195,17622,5410,52303,59497,25150,76974,23874,45422,10537,35968,4633
1호선,종로5가,3433,28254,5518,82154,58475,20402,79614,16551,37693,8950,25523,3779
1호선,청량리(서울시립대입구),27313,11847,35392,27292,39073,32020,33988,37222,17849,26103,13763,15294
2호선,강남,27154,115123,44754,250495,189404,111070,274814,129839,177704,71758,154124,34111
2호선,강변(동서울터미널),57827,18475,80562,35761,42043,60152,47418,86842,33747,64846,27000,41233
2호선,건대입구,37972,20231,68908,48489,56081,73522,67738,104268,49314,68578,56465,38202
2호선,교대(법원.검찰청),17523,41160,25279,124665,75225,42689,115737,51770,53895,31827,43851,17907
2호선,구로디지털단지,103377,64280,144335,199480,100230,86470,175399,129566,88523,107381,55098,65976
2호선,구의(광진구청),49602,11187,87169,32030,27842,43101,33737,73695,17255,54577,15295,34983
2호선,낙성대(강감찬),57399,11753,96554,29037,35291,46231,38024,76238,21053,69587,17062,43603
2호선,당산,32591,20344,41285,58525,30048,33471,46503,53752,21218,38296,16849,24239
2호선,대림(구로구청),48746,17475,71969,44290,35430,48097,44421,56988,21822,43100,15400,30631
2호선,도림천,2305,2507,2883,4924,2529,1830,3124,2279,1794,2190,742,1264
2호선,동대문역사문화공원(DDP),4764,12846,6771,35477,29481,15050,32119,15950,19312,16936,15202,10278
2호선,뚝섬,13856,26182,20179,108147,47088,24254,96935,30644,48741,18681,30396,10697
2호선,문래,31464,26945,35294,96989,43503,25403,82928,40771,29967,30375,21996,16354
2호선,방배,16323,20687,23829,54960,33600,22460,51968,30053,22142,22555,16044,14039
2호선,봉천,60766,8024,94690,20523,23924,42313,26542,67963,15236,59821,12229,36918
2호선,사당,51372,28825,77821,49214,53469,80658,69498,114756,45395,80736,44257,48963
2호선,삼성(무역센터),11124,91970,15108,245240,135643,39656,216722,42568,119544,23925,93782,12170
2호선,상왕십리,28502,8813,45484,27629,19110,24235,22776,38887,12957,27935,9683,17485
2호선,서울대입구(관악구청),93230,20861,143939,47356,64026,84333,70447,136597,42819,117764,39813,67771
2호선,서초,10643,34918,17715,93708,52936,16644,80945,17455,34612,12003,23181,7776
2호선,선릉,15294,82731,22886,212348,136088,37925,220041,41225,111873,26128,73612,15020
2호선,성수,17298,56688,24665,215620,81908,35704,177658,41429,81256,25228,51080,12879
2호선,시청,3906,52707,5564,159702,61734,12131,129470,11693,45376,5743,31434,2960
2호선,신답,4618,706,7661,1452,1526,3373,1715,7164,701,5706,457,2556
2호선,신당,19158,12142,32886,26774,24060,25207,27126,35051,16734,24323,13163,14905
2호선,신대방,67127,13275,100366,24569,27688,48221,31519,74354,16985,67147,13231,43142
2호선,신도림,98472,29988,104741,89267,75406,82636,101049,127579,58940,98284,53273,56286
2호선,신림,156999,23971,243617,47383,68248,120262,69362,199673,43918,179044,41305,107191
2호선,신설동,2644,4702,4675,11273,9386,3979,9386,4536,3896,3282,2452,2046
2호선,신정네거리,35593,4079,33547,9583,11237,20552,9632,36076,5397,29935,4527,15248
2호선,신촌(지하),23997,25224,34967,54877,69419,55645,69257,73457,48977,47463,58117,24749
2호선,아현,20151,6223,27934,13204,14190,17048,14985,25711,8673,20136,6155,13054
2호선,양천구청,24405,3701,21944,8078,6894,13643,7091,22886,3013,21128,2247,11363
2호선,역삼,10368,96855,17778,254248,140442,37451,218329,41474,111539,25716,67469,14634
2호선,영등포구청,30239,28808,35955,99099,42949,27406,85224,42233,30012,29491,23357,17130
