사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202109,1호선,동대문,504,11,10220,1863,8046,5696,12719,10419,16569,20267,15835,20047,14511,18458,16217,20943,19502,20757,20487,19493,21878,19195,23001,18645,23168,16709,21163,16049,20785,16494,14817,16347,11322,11151,10908,9428,8032,8256,2074,6656,16,1094,1,0,0,0,0,0,20211003
202109,1호선,동묘앞,91,2,2562,828,3100,4244,5177,8108,7969,20660,7348,16300,8828,19111,13108,24915,19337,27004,24218,29193,27188,26986,29709,23290,31457,17012,26820,12455,21121,8602,8535,5707,5183,3955,4461,3838,2917,4183,639,1860,1,961,0,0,0,0,0,0,20211003
202109,1호선,서울역,540,16,7420,5818,10588,32295,30994,71620,49203,147142,37287,95306,38445,51536,43482,44995,51063,50373,52296,48421,47563,45930,60029,47633,67061,49079,99086,56270,145134,60990,72661,40820,48694,26669,52427,22994,31065,16271,8489,5615,21,512,0,0,0,0,0,0,20211003
202109,1호선,시청,25,0,1677,4542,2640,17026,5680,50221,6883,136822,7067,62209,8097,25393,12374,24022,13372,21859,16773,20786,21845,17333,28209,14878,32701,12909,58476,12537,111161,12104,41563,6146,32513,3823,29053,3613,16795,2404,2724,855,5,103,0,0,0,0,0,0,20211003
202109,1호선,신설동,267,10,6634,2613,7049,9896,14872,22624,20324,52812,14637,28636,13958,19037,15771,16604,16874,16794,18553,16698,18896,15424,20636,16037,27110,16362,35462,18138,47694,21783,18641,15616,12072,10030,10802,9277,7268,8409,1505,4260,11,458,0,0,0,0,0,0,20211003
202109,1호선,제기동,314,5,4413,2098,7763,8695,19116,18098,26900,36546,20970,33648,26503,42441,34900,43558,39396,38619,39157,37520,39662,39423,40303,36165,37666,28901,35822,22438,32424,22464,14361,15281,8645,9844,7437,9343,4914,8258,1403,3417,16,271,0,0,0,0,0,0,20211003
202109,1호선,종각,93,1,1848,3485,2655,17765,4846,72452,7660,170570,9289,98941,13253,44980,20060,39654,24212,36099,28844,36203,36656,29849,45414,25431,50755,23904,93297,25489,151386,26612,64936,12444,52950,5346,54628,3778,33153,2606,4095,1089,17,98,0,0,0,0,0,0,20211003
202109,1호선,종로3가,169,17,2719,3247,2959,11948,3881,21666,7108,58841,10535,59793,16850,50425,28512,51291,34961,50746,39911,48443,45099,45194,50868,37536,54675,31604,63613,26554,81380,25514,50123,12259,37127,5197,39735,4144,27506,3195,3806,1587,21,314,0,0,0,0,0,0,20211003
202109,1호선,종로5가,22,0,1395,3256,2328,13845,4407,33425,6425,81520,10772,52905,17503,44326,25840,45351,31621,43274,36088,39760,42527,38736,47045,33014,49744,26761,62951,21543,79345,16701,39975,8790,24400,4318,20433,3446,12776,2452,1768,1168,3,284,1,1,0,0,0,0,20211003
202109,1호선,청량리(서울시립대입구),819,13,8867,4148,12658,16644,29902,15687,37843,31371,26634,29286,28034,36004,32902,37591,36363,37493,37447,38398,39209,39971,41324,39975,44447,36062,42708,35317,36587,39204,19512,26269,14250,14937,10601,14537,6115,12646,1402,4872,24,515,3,4,0,0,0,0,20211003
202109,2호선,강남,81,6,4737,9342,13521,41978,30595,118424,48554,253667,39997,256119,41986,121774,57075,92383,71860,91206,83627,107790,94010,92156,115131,85269,131046,86537,198762,102283,275982,130350,168626,70338,130958,34507,157792,28393,121752,24403,14953,9660,2,6,0,1,0,0,0,0,20211003
202109,2호선,강변(동서울터미널),14,0,7218,2034,21535,19637,61958,23184,86094,40696,62178,34350,46650,32361,43954,31204,41824,34650,41476,37826,38878,40980,40800,46690,42129,50565,47221,64414,51112,91164,36535,65090,29742,40720,25443,34345,16692,33434,4607,9678,3,93,0,1,0,0,0,0,20211003
202109,2호선,건대입구,235,12,11180,1711,16949,16333,43109,22073,72238,50201,49448,40445,30111,33094,30059,37240,33757,46055,36527,51960,38437,51133,43195,54845,50942,63322,61166,81426,72652,113304,52559,73771,52623,41710,62712,39955,47666,35499,7224,14924,11,1498,0,0,0,0,0,0,20211003
202109,2호선,교대(법원.검찰청),28,0,2105,6255,10436,21114,19954,47960,27035,128598,22427,115866,22399,56427,27497,46242,30858,43218,36633,46689,42920,42403,47467,39363,53101,39391,80287,44085,118168,52079,54460,31375,40619,17791,45005,15820,34753,15458,5064,5416,2,44,0,0,0,0,0,0,20211003
202109,2호선,구로디지털단지,309,3,34194,4797,44365,18236,109334,72079,147523,208280,92581,116575,54357,47905,50657,39732,54906,40672,55818,46611,51418,45855,54782,55309,62785,63889,104529,90659,180264,134059,85259,103600,48640,67019,41654,67790,29772,63333,5280,25008,0,79,0,0,0,0,0,0,20211003
202109,2호선,구의(광진구청),66,0,11869,900,21611,8837,55993,14695,90723,34680,52948,20724,29508,17557,25811,17742,26023,20076,25703,21960,24034,23814,23389,30229,26465,34163,29034,46549,37114,76429,18926,55379,14029,35586,14579,33968,11690,31459,3464,10694,1,686,1,0,0,0,0,0,20211003
