from,to,line,7_in,7_out,8_in,8_out,17_in,17_out,18_in,18_out,19_in,19_out,20_in,20_out
소요산,동두천,1,3699,6056,3909,3810,2948,2430,3726,3484,1827,3354,1006,2535
동두천,보산,1,3341,1676,2383,2060,2561,2144,2119,2910,1362,3229,864,2016
보산,동두천중앙,1,6698,2853,5988,6828,4420,4187,5570,5143,2222,5372,1572,3755
동두천중앙,지행,1,15765,3861,13877,8998,6878,11082,9280,13308,4619,14527,4788,9587
지행,덕정,1,14810,8443,11966,9668,8323,9332,9560,10930,3783,11422,2634,7146
덕정,덕계,1,9690,2013,7623,3387,3033,4954,3095,6181,1210,6543,966,4604
덕계,양주,1,24524,8128,18259,8618,8105,11631,11086,17393,4827,16758,3054,11892
양주,녹양,1,14259,2952,11098,6521,5280,6918,6248,10739,2761,11534,2197,7588
녹양,가능,1,18892,4326,17044,8479,7589,9495,6923,16184,4335,15724,3645,9844
가능,의정부,1,38015,10306,34680,27601,29229,29782,32331,39920,20808,36845,24309,21826
의정부,회룡,1,43579,6106,34815,11015,10965,22633,8838,34303,5512,34449,4663,19670
회룡,망월사,1,20154,2836,19262,7430,7597,13154,7384,19533,3576,19017,3002,11318
망월사,도봉산,1,60746,7881,52289,12973,20488,22310,16574,37086,8513,42723,5755,24679
도봉산,도봉,1,15671,3041,14757,7918,7636,10080,8049,13998,3439,13175,2489,7674
도봉,방학,1,23881,6369,21701,15643,11617,15855,14616,23159,7258,21769,5802,11645
방학,창동,1,74272,13131,66451,31954,34161,50334,35034,78744,19468,70369,19176,40649
창동,녹천,1,17022,1773,13566,3599,4637,7721,3826,11949,2856,11342,1591,6983
녹천,월계,1,18052,3059,16331,6191,7089,11374,6989,16194,3532,15471,2882,8017
월계,광운대,1,25137,3573,24665,7242,8037,13517,7512,21842,5065,19499,4033,11571
광운대,석계,1,58876,9317,68348,16603,20395,45517,19614,73670,14234,61464,12803,34868
석계,신이문,1,28722,3430,31437,6334,7301,17093,6505,27089,4292,22384,2891,14176
신이문,외대앞,1,13809,2806,17881,7503,9714,13570,8501,19332,7263,15587,5506,9778
외대앞,회기,1,41272,20140,54271,36447,38726,37517,33776,54457,18974,44128,17982,27155
회기,청량리(서울시립대입구),1,49954,21444,62943,43477,61613,53814,57369,73102,33127,52587,33766,29074
청량리(서울시립대입구),제기동,1,15914,15109,24375,32855,33310,18808,30408,21250,12792,15650,9330,10291
제기동,신설동,1,17242,26629,25470,70384,48914,22672,66751,27139,25643,19420,18847,12884
신설동,동묘앞,1,11438,11969,17185,36184,42688,20018,35724,20234,16516,15466,11424,10470
동묘앞,동대문,1,14348,37482,20223,80007,93827,26105,77803,23130,37514,25431,33235,17419
동대문,종로5가,1,3473,30990,5745,86177,61473,17184,82698,13074,38369,6821,26177,3731
종로5가,종로3가,1,6673,41298,9850,119700,109098,42781,165742,37806,92264,16825,74460,7779
종로3가,종각,1,4413,77560,6631,165202,94486,22887,153681,23132,69054,10706,65480,4650
종각,시청,1,9104,103100,11728,302157,119824,21065,247253,19589,89523,9174,68020,5855
시청,서울역,1,50775,123153,75302,249057,154161,78105,239432,88660,117861,61777,79384,41532
서울역,남영,1,8981,15433,13153,40273,19508,11628,38107,16932,14526,11568,10427,7416
남영,용산,1,13704,48159,18203,107862,77094,38194,111450,40840,64667,29021,65879,17100
용산,노량진,1,57907,35386,88821,62192,46562,62005,56652,92759,32556,62683,42740,39918
노량진,대방,1,22329,29257,30636,40751,25172,18636,37224,30866,14236,22037,11210,14654
대방,신길,1,29885,14539,41735,34900,20857,21063,34619,34138,14266,24315,8897,16442
신길,영등포,1,28375,44591,39607,100667,81433,61938,119594,77479,70737,48216,88842,25154
영등포,신도림,1,110829,38524,119929,110048,81288,86467,117248,136479,65303,106176,60516,61550
신도림,구로,1,29728,26511,30056,69195,40133,28696,57996,35321,25410,25275,18832,16432
구로,구일,1,21401,4365,19848,8589,6857,11122,8032,21792,3512,18668,2791,9927
구일,개봉,1,72977,12131,68719,20070,23885,47729,23048,80234,13585,63856,11870,35790
개봉,오류동,1,39296,4898,41229,9603,12236,21712,11452,37292,6585,32133,5441,20267
오류동,온수(성공회대입구),1,59318,10242,68016,19614,17627,28762,17858,57190,9270,46707,7010,26509
온수(성공회대입구),역곡,1,98932,10695,94553,22761,27359,53169,25727,92984,15725,82360,15088,46534
역곡,소사,1,29815,5925,26614,8319,10070,17321,9526,25452,5357,23729,4308,13403
소사,부천,1,86553,15221,86900,34899,43516,66293,46860,99298,31366,84424,33003,44296
부천,중동,1,33791,4744,26716,9693,9498,15445,10280,26120,5551,24333,4326,14422
중동,송내,1,86882,24385,73258,61239,33659,42267,59728,75037,26494,70584,18678,40096
송내,부개,1,31147,4023,24415,7548,9370,13991,8579,26493,4446,22199,3584,13080
부개,부평,1,67884,15105,65140,27730,46090,64754,45029,95926,34403,71009,39166,38852
부평,백운,1,23145,3451,19877,6347,8497,12575,7589,21028,3662,18903,3189,12087
백운,동암,1,42424,11573,40491,14894,21005,30679,19419,44075,11388,39403,10235,26780
동암,간석,1,18315,2909,15883,5808,6594,10616,6992,14616,3543,15454,3355,9093
간석,주안,1,50224,13793,41339,23354,28677,29310,30328,43037,16702,46652,16809,27022
주안,도화,1,13125,3506,10528,5673,5200,6503,5298,8684,2460,9581,1916,5729
도화,제물포,1,29891,7560,24863,17607,15323,15720,17862,22909,6606,23512,5281,14575
제물포,도원,1,4944,2381,4586,8036,4791,4032,5601,4614,1670,4356,1330,2894
도원,동인천,1,31712,17468,23975,24581,27851,19115,30648,26103,13381,26848,10738,16465
동인천,인천,1,6358,5810,5090,9227,11678,5013,10379,5414,4616,4067,3750,3228
구로,가산디지털단지,1,28220,149604,31421,474800,216262,40027,377720,46661,171125,33951,100207,21010
가산디지털단지,독산,1,31000,35063,29833,84579,42391,18711,64426,32195,30128,28599,17570,15130
독산,금천구청,1,36624,11835,35491,25733,13145,20880,20582,36441,9563,29733,7625,15897
금천구청,석수,1,32034,9712,32431,15431,13763,14739,15801,26724,8041,24570,5495,13926
석수,관악,1,26187,4086,24821,7049,8655,11504,7904,22925,4495,19658,3615,11258
관악,안양,1,65487,12347,58224,22978,28818,41163,27881,64072,17482,56197,18781,31563
안양,명학,1,20134,21029,18064,46600,20973,9147,32465,15701,11088,14408,10188,8958
명학,금정,1,63209,37313,66457,79341,45223,42526,64760,66812,29403,57333,24901,36171
금정,군포,1,14587,26952,14173,42266,18957,9295,32156,12356,11252,10570,9319,6789
군포,당정,1,19880,6689,17367,12975,8257,9335,12096,14761,4785,16236,3657,9947
당정,의왕,1,24626,19787,23750,21009,18139,13490,18486,23808,8797,17737,6410,12556
의왕,성균관대,1,53619,7080,42539,14881,16838,25624,17753,46900,9633,41915,8779,24785
성균관대,화서,1,31268,3489,22410,7192,8279,14372,7154,24402,3880,21836,3249,12758
화서,수원,1,76871,39945,67549,56838,73142,77874,85263,101615,62784,78613,74550,47022
수원,세류,1,11013,3370,7835,3722,4197,4871,4495,8757,2543,7446,2128,4471
세류,병점,1,35626,17560,26306,19623,23952,22059,25144,33600,13266,34521,10471,22007
병점,세마,1,6856,3024,5527,6166,3605,3428,5219,5800,1922,5833,1595,3919
세마,오산대,1,7887,3018,5903,5259,4397,4907,6140,7729,2802,5893,2700,4133
오산대,오산,1,16243,20345,14798,16371,20112,15516,22386,20974,11240,18280,9690,14001
오산,진위,1,1812,5752,1583,6576,5028,1194,7853,1714,2805,1617,1592,966
진위,송탄,1,9745,3999,6809,5145,6159,7676,7142,8507,3884,9152,2790,6466
송탄,서정리,1,9269,9794,8282,9308,16290,9976,14081,10765,7458,11294,6190,7826
서정리,지제,1,5174,7585,3869,5557,8980,2898,7255,4460,4453,3932,3087,2958
지제,평택,1,19225,11322,16192,16280,22063,20360,21719,24505,15491,19280,15159,14042
평택,성환,1,3416,7459,3873,9026,8497,4716,7163,5385,3036,3774,2603,3095
성환,직산,1,1092,1845,904,2609,1888,973,2221,1093,854,1211,602,538
직산,두정,1,9889,4862,8891,6472,8491,8479,9115,12561,5300,9018,4461,7491
두정,천안,1,6236,3574,5167,6314,9325,8715,9194,10313,6020,7353,4792,5904
천안,봉명,1,2168,2700,1543,2947,2524,1644,1309,1348,766,1155,560,837
봉명,쌍용(나사렛대),1,5345,1281,4102,2854,2837,3971,2308,3335,1346,3818,1279,2429
쌍용(나사렛대),아산,1,4802,3643,4205,4954,4916,5011,6256,4292,4693,4030,2925,2712
