호선명,지하철역,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원
1호선,동대문,12719,10419,16569,20267,21163,16049,20785,16494,14817,16347,11322,11151
1호선,동묘앞,5177,8108,7969,20660,26820,12455,21121,8602,8535,5707,5183,3955
1호선,서울역,30994,71620,49203,147142,99086,56270,145134,60990,72661,40820,48694,26669
1호선,시청,5680,50221,6883,136822,58476,12537,111161,12104,41563,6146,32513,3823
1호선,신설동,14872,22624,20324,52812,35462,18138,47694,21783,18641,15616,12072,10030
1호선,제기동,19116,18098,26900,36546,35822,22438,32424,22464,14361,15281,8645,9844
1호선,종각,4846,72452,7660,170570,93297,25489,151386,26612,64936,12444,52950,5346
1호선,종로3가,3881,21666,7108,58841,63613,26554,81380,25514,50123,12259,37127,5197
1호선,종로5가,4407,33425,6425,81520,62951,21543,79345,16701,39975,8790,24400,4318
1호선,청량리(서울시립대입구),29902,15687,37843,31371,42708,35317,36587,39204,19512,26269,14250,14937
2호선,강남,30595,118424,48554,253667,198762,102283,275982,130350,168626,70338,130958,34507
2호선,강변(동서울터미널),61958,23184,86094,40696,47221,64414,51112,91164,36535,65090,29742,40720
2호선,건대입구,43109,22073,72238,50201,61166,81426,72652,113304,52559,73771,52623,41710
2호선,교대(법원.검찰청),19954,47960,27035,128598,80287,44085,118168,52079,54460,31375,40619,17791
2호선,구로디지털단지,109334,72079,147523,208280,104529,90659,180264,134059,85259,103600,48640,67019
2호선,구의(광진구청),55993,14695,90723,34680,29034,46549,37114,76429,18926,55379,14029,35586
2호선,낙성대(강감찬),63915,17299,101395,32556,37427,50469,40544,82847,23139,69444,17131,45424
2호선,당산,36601,25118,44749,60560,33460,37340,49895,60073,22811,39778,17506,25428
2호선,대림(구로구청),54919,20355,76481,47541,36235,51408,44040,60098,22906,44456,15529,31382
2호선,도림천,2672,4089,2733,4960,2495,1859,3285,2311,1610,2027,642,1317
2호선,동대문역사문화공원(DDP),5702,19346,7746,40958,30349,15609,33438,17892,20093,18815,14847,11512
2호선,뚝섬,15529,30002,21106,109255,53207,27701,100421,34201,51449,20590,31806,11116
2호선,문래,33250,28664,37922,101549,46366,27943,84020,43409,29492,30396,19925,15928
2호선,방배,18423,23102,25204,59575,36504,25559,53722,31813,23137,21846,16007,14001
2호선,봉천,66081,11272,98400,22483,25905,47237,28068,73413,16159,59398,12182,36944
2호선,사당,57605,33134,81496,51996,56898,82495,75118,116201,46990,79237,42487,49492
2호선,삼성(무역센터),12381,100175,15886,244452,144401,40347,215087,42210,110451,24124,85990,12563
2호선,상왕십리,31036,10413,48219,31218,20591,26927,24238,42271,15047,28994,10382,17923
2호선,서울대입구(관악구청),101626,26344,144859,56790,68734,91879,75721,146838,45515,114433,37868,70360
2호선,서초,12520,41075,19922,98329,56727,17223,79621,18168,33330,12569,21324,7808
2호선,선릉,17143,88747,24532,222949,145296,39755,226900,40732,108119,24599,65426,14391
2호선,성수,18812,64014,24942,219461,93121,39625,186533,44703,84503,26139,51423,13514
2호선,시청,4000,50700,5897,154422,64764,11919,124787,11264,42163,5496,27489,3200
2호선,신답,5357,700,8275,1313,1603,3815,1759,8231,760,5947,462,2790
2호선,신당,21700,15674,33531,30170,25220,27884,28960,36759,18415,24356,13403,15063
2호선,신대방,74115,15613,107367,27165,30003,55793,34196,81138,19256,68533,13402,46430
2호선,신도림,106416,32610,108529,91060,76426,87672,103258,135091,58151,97050,46864,57023
2호선,신림,168457,31204,254138,54963,74829,127716,73106,212200,45762,175554,38278,111411
2호선,신설동,2935,3968,5199,8977,8783,3261,8905,3899,3585,2821,2198,1636
2호선,신정네거리,39934,4781,35641,10133,10711,23792,10256,38986,5944,31323,4449,16488
2호선,신촌(지하),26477,29260,38703,64300,74641,56899,73605,77448,51068,48964,52423,26206
2호선,아현,23166,11636,30109,19216,16167,18900,16702,27154,9958,20700,6782,13236
2호선,양천구청,26098,4499,23882,8360,7415,15517,7540,24421,3307,21234,2222,11689
2호선,역삼,11981,101750,19962,265655,149413,38403,221296,42175,111830,24372,62950,15097
2호선,영등포구청,31945,30758,38338,103412,47045,29364,86034,42812,30627,29386,20925,16759
2호선,왕십리(성동구청),20621,10688,35518,21360,28318,25129,31349,39137,18212,23503,16962,14059
2호선,용답,6782,1477,10236,2901,3900,5669,3282,9026,1997,6202,1231,4016
2호선,용두(동대문구청),4173,2190,6955,5363,4023,4052,5064,6422,2029,4598,1297,2444
2호선,을지로3가,4132,52491,7723,120285,62296,18077,102207,20053,41163,9700,28069,4934
2호선,을지로4가,2710,26096,5463,63634,39511,9428,56605,8329,24618,4440,12517,2537
2호선,을지로입구,6656,90571,11064,234610,111512,28819,193743,30562,79033,15672,70260,9291
2호선,이대,19529,9551,25608,27079,29839,21925,26985,31144,16206,23240,13212,14201
2호선,잠실(송파구청),89263,58112,123747,124356,128952,121740,158761,169713,105601,113275,116237,69508
2호선,잠실나루,30635,19707,35554,31942,27807,21001,24049,32731,11762,23933,8643,13910
2호선,잠실새내,43009,13915,54474,23818,29964,45145,33753,63976,23752,43720,21805,23948
2호선,종합운동장,12750,10509,17985,17417,12184,12469,13308,18962,6721,12978,5174,7884
2호선,충정로(경기대입구),12417,16656,17329,47474,20360,12357,37810,16800,11607,12138,7474,7695
2호선,한양대,3844,9216,6448,29980,21832,6339,20765,7653,9764,4726,7009,3872
2호선,합정,34916,27231,45078,75260,59064,60262,92300,80863,62272,50922,49791,27398
2호선,홍대입구,46466,28448,59686,79142,114314,117196,141592,140050,109017,89012,107716,43260
3호선,가락시장,15386,9993,17349,23658,16541,14163,22241,17837,9633,13194,6813,8754
3호선,경복궁(정부서울청사),11047,35468,16188,84084,57605,22279,80594,24365,35095,15080,27383,8474
3호선,경찰병원,17740,7407,20285,23770,12352,11539,16606,17224,5740,13265,4583,8473
3호선,고속터미널,20113,40516,32944,61691,102331,78512,104750,87554,89222,55745,104140,32376
3호선,교대(법원.검찰청),6475,16375,9758,38520,34082,9789,53295,12088,22446,6619,16718,3386
3호선,구파발,69176,19926,61542,26831,30999,34151,26340,56718,16497,48396,13174,27611
3호선,금호,21818,4385,28238,7926,9914,17629,9809,25813,6407,18271,4866,12571
3호선,남부터미널(예술의전당),22206,48927,31744,128022,75580,40503,110740,47502,51980,31185,35526,18563
3호선,녹번,54153,6861,61932,15862,14582,29293,16204,50948,7970,42131,6043,24815
3호선,대청,22150,13195,25636,22297,18033,15671,21487,22291,9378,18183,6422,12170
3호선,대치,18988,16493,18701,23349,23720,23414,23681,24399,15129,17683,10745,9611
3호선,도곡,7074,10765,8692,17497,12282,6400,14540,8622,7235,6951,4847,3990
3호선,독립문,12449,12782,15113,18193,12714,12240,13892,14483,6822,11067,4597,6861
3호선,동대입구,4826,12201,6218,38843,30785,8817,26955,9795,12979,6127,9252,3481
3호선,매봉,13169,19658,15997,55083,31330,14260,51798,18760,18681,13045,11983,7272
3호선,무악재,11945,2404,13323,5284,5408,8318,5497,13151,2493,10905,1980,6265
3호선,불광,42585,9971,49901,29181,25451,33503,26942,48933,15326,39520,11171,23142
3호선,수서,28046,27768,33783,42900,33712,28622,40295,39469,19261,29042,18142,19161
3호선,신사,8332,35731,13561,93155,74187,40874,112089,48584,77557,25010,53641,9894
3호선,안국,5316,70173,7588,77456,74693,18181,84129,15810,36266,7794,26737,4137
3호선,압구정,12467,38045,18289,110108,76594,41572,106953,43867,80138,24149,62233,11690
3호선,약수,21991,13945,31244,29229,21429,23991,26986,33990,14594,22080,11513,14267
3호선,양재(서초구청),28867,87989,36189,192350,99978,45682,162276,58428,70083,39891,47453,24722
3호선,연신내,109754,22078,127513,30748,47042,73380,43626,114501,29383,100378,22556,55138
3호선,오금,20589,4650,23650,11480,8267,11451,9559,18094,4026,12795,2894,8473
3호선,옥수,19022,7767,23481,12662,15016,20703,15528,28284,9946,21363,8006,13432
3호선,을지로3가,1540,25159,2824,58892,29969,9453,50935,10186,21248,4692,13356,1940
3호선,일원,17879,25484,17369,22491,28459,11824,14849,15660,7579,12921,4720,8190
3호선,잠원,9236,6091,12138,9306,8987,8714,8186,11657,5410,8663,3862,4913
3호선,종로3가,1358,12664,1782,38008,25393,12351,43879,11231,27678,5070,14958,2087
3호선,지축,16969,3475,16597,3516,6291,7863,4339,14805,2159,11989,1269,7465
3호선,충무로,0,0,0,0,5,0,6,0,3,0,3,0
3호선,학여울,3186,2788,3224,6014,5247,2838,5368,3513,2484,2848,1376,1678
3호선,홍제,50937,10070,56359,21629,23715,33885,22650,51826,12239,41386,8741,23407
4호선,길음,67464,11220,71029,24322,25791,41429,24322,65425,14653,51912,11074,30629
4호선,남태령,1928,2857,2583,3537,2955,1550,3049,1871,1109,1429,951,871
4호선,노원,45573,12266,47761,24786,27149,44739,28831,67001,20097,52461,21545,29380
