from,to,line,7_in,7_out,8_in,8_out,17_in,17_out,18_in,18_out,19_in,19_out,20_in,20_out
소요산,동두천,1,3572,5528,3763,3604,2878,2668,3499,3608,1804,3361,1031,2715
동두천,보산,1,3169,1463,2475,1797,3001,2373,2548,3021,1422,3683,814,2824
보산,동두천중앙,1,6458,2580,6096,6550,4406,4671,5370,4547,2132,5317,1581,3807
동두천중앙,지행,1,15248,3869,13834,8398,7304,12526,9168,13872,4948,14275,5117,9695
지행,덕정,1,13856,7507,12322,8621,8200,9818,9347,10726,4054,10615,2585,7299
덕정,덕계,1,9453,2089,7614,2863,2982,5037,3053,6228,1211,6397,923,4703
덕계,양주,1,23231,7912,18458,8203,8825,11954,10585,17418,5177,15909,2902,12118
양주,녹양,1,13517,2832,10791,6115,5696,7245,6053,10795,2919,10534,2091,7348
녹양,가능,1,18121,4386,16541,8062,7747,10054,7012,14956,4250,15317,3554,8887
가능,의정부,1,35676,9657,33487,25895,30681,32375,33625,41705,21948,38185,23910,21539
의정부,회룡,1,41627,5700,34160,8501,11637,23224,9649,32351,5871,33614,4912,18381
회룡,망월사,1,19170,2777,18978,7125,7936,13024,7650,18643,3703,18614,3102,10558
망월사,도봉산,1,57825,7692,48134,13038,23736,22294,18722,34805,9359,39597,6084,23366
도봉산,도봉,1,14467,2983,14321,7493,7670,9674,8327,13705,3703,12448,2407,7373
도봉,방학,1,22493,6097,21296,14756,11849,15465,14175,23657,7321,20315,5489,11525
방학,창동,1,70478,12939,62283,29788,35505,50133,35435,75677,20330,67285,17914,38572
창동,녹천,1,16309,2096,13255,3543,4550,7187,3760,10985,2770,10874,1548,6270
녹천,월계,1,17229,3154,15983,6235,6827,11096,6782,14979,3782,14879,2970,7624
월계,광운대,1,23611,3363,23449,7319,8543,13509,7942,20052,4460,18582,3950,11184
광운대,석계,1,54894,8815,64279,16162,20897,44781,19513,70463,14507,58301,12049,34067
석계,신이문,1,26888,3273,29747,6041,7306,16536,6693,25091,4343,21121,2760,13306
신이문,외대앞,1,13132,2648,16557,7615,10633,13384,8971,18040,5796,15134,5258,9549
외대앞,회기,1,39014,18408,52383,36265,41106,37919,34811,53909,19559,45013,18276,26970
회기,청량리(서울시립대입구),1,48039,21546,63542,43258,62470,55233,59686,72269,34122,52535,32931,29190
청량리(서울시립대입구),제기동,1,15492,14308,23658,30904,33125,19901,29526,20255,13027,14799,8801,9517
제기동,신설동,1,16536,25914,24764,68474,47195,22520,62477,26609,24703,19387,17098,12219
신설동,동묘앞,1,10855,11244,16366,34520,44666,21326,39234,20044,16864,14803,10936,10256
동묘앞,동대문,1,13725,35822,18775,76833,88220,27834,75145,24682,37242,25513,28470,16635
동대문,종로5가,1,3433,28254,5518,82154,58475,20402,79614,16551,37693,8950,25523,3779
종로5가,종로3가,1,6447,39057,9938,116847,114386,53389,162217,51031,96196,23348,77407,9662
종로3가,종각,1,4223,71723,6764,161487,90503,26847,146648,28063,68451,13299,61844,5132
종각,시청,1,8624,98225,11562,285037,114736,24362,232352,23726,84528,11653,63819,6472
시청,서울역,1,49813,122082,74204,242149,153352,85209,233902,94893,115030,66364,76547,44579
서울역,남영,1,8469,14365,12642,39523,19280,11899,36850,16694,14112,11395,10215,7311
남영,용산,1,13516,48178,19595,107307,77152,43797,112405,46427,65944,32715,64621,19599
용산,노량진,1,56090,39288,86384,64465,48803,62443,58666,91757,33290,61992,40680,38784
노량진,대방,1,21305,27841,29178,40079,24447,18046,36790,28857,14053,20673,10369,13832
대방,신길,1,28677,14278,41087,33391,20574,20317,32991,32047,13522,23058,8645,15595
신길,영등포,1,27360,42942,38884,94928,79995,67254,117535,82761,72117,51927,83051,25744
영등포,신도림,1,105149,35214,113158,101983,82193,88993,112872,136928,63442,104298,56926,59923
신도림,구로,1,27574,24814,28121,64546,38529,28957,54217,34702,23928,24231,17630,15834
구로,구일,1,20298,4333,18415,8160,7276,10579,8327,20966,3722,17502,2949,9331
구일,개봉,1,68530,11424,64878,18705,23918,45830,23371,74883,13251,59362,11161,33653
개봉,오류동,1,37635,4869,39540,8434,12105,21287,11718,35328,6616,30767,5248,18889
오류동,온수(성공회대입구),1,55221,9440,63328,18859,17303,27178,17582,51847,9187,42887,6349,25043
온수(성공회대입구),역곡,1,91502,9432,89145,21252,28075,51958,25436,87133,16362,75934,14013,44857
역곡,소사,1,27673,5418,24760,8052,10421,17424,9437,23951,5476,22589,4037,12802
소사,부천,1,81642,14362,82322,31547,45499,67183,46043,95606,31317,84966,30647,42204
부천,중동,1,32512,4464,25058,9030,9544,15414,10033,24030,5546,23522,4163,13273
중동,송내,1,82376,22374,69516,56957,32828,42759,56157,69337,25171,67639,17757,38265
송내,부개,1,29240,3904,23216,7232,9537,14287,8761,24667,4632,20085,3427,12520
부개,부평,1,64159,14252,61073,26477,49942,70000,48061,98322,35733,73046,39319,38434
부평,백운,1,21300,3000,19208,6242,8602,12418,7329,20009,4028,17682,2988,11239
백운,동암,1,40772,10755,37932,14122,20612,30818,19021,41411,11466,37761,9746,25439
동암,간석,1,17429,2893,14445,5684,6994,10372,6933,14306,3666,14413,3323,8493
간석,주안,1,47917,13303,39994,21710,28930,28935,29286,42694,16653,45019,15939,26055
주안,도화,1,12415,3126,10318,4964,5202,6556,5356,8742,2429,8931,1825,5543
도화,제물포,1,28279,6963,23958,17045,14899,15530,17440,22092,6927,22169,4943,13986
제물포,도원,1,4579,2267,4449,7399,4579,4324,5494,4549,1802,4020,1424,2768
도원,동인천,1,29973,16093,23312,22685,27559,20181,29594,25609,13473,26418,11038,15671
동인천,인천,1,5689,5232,4768,8657,13788,6243,12283,5713,6723,4062,5808,3200
구로,가산디지털단지,1,26563,135137,29720,441333,194439,41136,346398,47522,151625,33740,87425,20201
가산디지털단지,독산,1,28731,32825,28046,75884,39532,18421,58103,30490,25601,26218,15345,14045
독산,금천구청,1,34196,11888,33714,23243,13359,21209,20157,33325,9014,28348,7024,14720
