from,to,line,in_7,out_7,in_8,out_8,in_17,out_17,in_18,out_18,in_19,out_19,in_20,out_20
왕십리(성동구청),한양대,2,3844,9216,6448,29980,21832,6339,20765,7653,9764,4726,7009,3872
한양대,뚝섬,2,15529,30002,21106,109255,53207,27701,100421,34201,51449,20590,31806,11116
뚝섬,성수,2,18812,64014,24942,219461,93121,39625,186533,44703,84503,26139,51423,13514
성수,건대입구,2,53492,37537,87468,78932,91444,102313,100713,142148,72478,92763,74361,51804
건대입구,구의(광진구청),2,55993,14695,90723,34680,29034,46549,37114,76429,18926,55379,14029,35586
구의(광진구청),강변(동서울터미널),2,61958,23184,86094,40696,47221,64414,51112,91164,36535,65090,29742,40720
강변(동서울터미널),잠실나루,2,30635,19707,35554,31942,27807,21001,24049,32731,11762,23933,8643,13910
잠실나루,잠실(송파구청),2,96380,81692,134257,182434,162610,147163,208615,199817,133829,129265,144022,77179
잠실(송파구청),잠실새내,2,43009,13915,54474,23818,29964,45145,33753,63976,23752,43720,21805,23948
잠실새내,종합운동장,2,19671,14348,25743,26380,19703,19828,23121,30525,12156,20959,9180,12378
종합운동장,삼성(무역센터),2,12381,100175,15886,244452,144401,40347,215087,42210,110451,24124,85990,12563
삼성(무역센터),선릉,2,20907,123490,29913,326777,182027,55192,289371,57708,135255,34604,81420,19151
선릉,역삼,2,11981,101750,19962,265655,149413,38403,221296,42175,111830,24372,62950,15097
역삼,강남,2,30595,118424,48554,253667,198762,102283,275982,130350,168626,70338,130958,34507
강남,교대(법원.검찰청),2,26429,64335,36793,167118,114369,53874,171463,64167,76906,37994,57337,21177
교대(법원.검찰청),서초,2,12520,41075,19922,98329,56727,17223,79621,18168,33330,12569,21324,7808
서초,방배,2,18423,23102,25204,59575,36504,25559,53722,31813,23137,21846,16007,14001
방배,사당,2,109875,50755,150343,80223,89676,126185,113019,179487,71328,121969,64464,75564
사당,낙성대,2,0,0,0,0,0,0,0,0,0,0,0,0
낙성대,서울대입구(관악구청),2,101626,26344,144859,56790,68734,91879,75721,146838,45515,114433,37868,70360
서울대입구(관악구청),봉천,2,66081,11272,98400,22483,25905,47237,28068,73413,16159,59398,12182,36944
봉천,신림,2,168457,31204,254138,54963,74829,127716,73106,212200,45762,175554,38278,111411
신림,신대방,2,74115,15613,107367,27165,30003,55793,34196,81138,19256,68533,13402,46430
신대방,구로디지털단지,2,109334,72079,147523,208280,104529,90659,180264,134059,85259,103600,48640,67019
구로디지털단지,대림(구로구청),2,68438,25672,94489,63754,51069,69573,60370,79377,33110,57140,23014,40035
대림(구로구청),신도림,2,115212,39057,117813,104407,84376,95408,115912,146096,63340,104021,50954,61143
신도림,문래,2,33250,28664,37922,101549,46366,27943,84020,43409,29492,30396,19925,15928
문래,영등포구청,2,38131,35715,45826,121354,54851,34318,100797,51082,36076,33962,24129,19732
영등포구청,당산,2,76210,38420,90562,94445,60464,72571,87584,113429,42870,78071,32809,50284
당산,합정,2,45519,41064,61502,109107,85115,83259,131464,111558,87611,69890,72416,37153
합정,홍대입구,2,55057,35529,70229,102371,141340,139615,175751,167706,135145,106115,131937,51459
홍대입구,신촌(지하),2,26477,29260,38703,64300,74641,56899,73605,77448,51068,48964,52423,26206
신촌(지하),이대,2,19529,9551,25608,27079,29839,21925,26985,31144,16206,23240,13212,14201
이대,아현,2,23166,11636,30109,19216,16167,18900,16702,27154,9958,20700,6782,13236
아현,충정로(경기대입구),2,17792,24640,25093,73489,31563,17321,59864,24225,18044,17246,11548,11162
충정로(경기대입구),시청,2,9680,100921,12780,291244,123240,24456,235948,23368,83726,11642,60002,7023
성수,용답,2,6782,1477,10236,2901,3900,5669,3282,9026,1997,6202,1231,4016
용답,신답,2,5357,700,8275,1313,1603,3815,1759,8231,760,5947,462,2790
신답,용두(동대문구청),2,4173,2190,6955,5363,4023,4052,5064,6422,2029,4598,1297,2444
용두(동대문구청),신설동,2,19089,31152,27477,73333,50262,23269,65055,27509,26164,19531,16718,12477
신도림,도림천,2,2672,4089,2733,4960,2495,1859,3285,2311,1610,2027,642,1317
도림천,양천구청,2,26098,4499,23882,8360,7415,15517,7540,24421,3307,21234,2222,11689
양천구청,신정네거리,2,39934,4781,35641,10133,10711,23792,10256,38986,5944,31323,4449,16488
신정네거리,까치산,2,103596,10425,126711,18390,26769,60081,26711,104941,16854,84090,12476,52374
대화,주엽,3,23835,6936,21250,13317,12690,16436,12353,22084,6795,20230,6067,12288
주엽,정발산,3,7864,5745,8188,17913,16243,12849,20211,15604,11276,11078,11957,5622
정발산,마두,3,13994,7158,13114,18614,13195,12568,15386,14890,6937,14525,4993,7993
마두,백석,3,18110,10476,19690,24234,19361,17101,21260,20724,10783,20580,8649,11533
백석,대곡,3,5802,1751,5405,3184,3240,2426,4212,4368,1879,2953,926,1651
대곡,화정,3,45882,11122,45360,25596,25025,36831,25105,50513,14138,40545,11462,25171
화정,원당,3,37387,8023,38034,11988,14585,22841,13496,30851,7473,30425,4963,17487
원당,원흥,3,33316,5832,35353,13106,13184,20546,14910,28391,7063,28803,5549,15763
원흥,삼송,3,63696,13776,60716,22511,26601,35477,25530,58068,16163,49203,12786,28963
삼송,지축,3,16969,3475,16597,3516,6292,7863,4339,14805,2160,11989,1269,7465
지축,구파발,3,69176,19926,61542,26831,30999,34151,26340,56718,16497,48396,13174,27611
구파발,연신내,3,109755,22078,127514,30748,47045,73380,43631,114501,29386,100378,22556,55138
연신내,불광,3,51183,13685,59556,35284,33599,41504,34475,60551,20074,48697,14567,28242
불광,녹번,3,54153,6861,61932,15862,14582,29293,16204,50948,7970,42131,6043,24815
녹번,홍제,3,50937,10070,56359,21629,23715,33885,22650,51826,12239,41386,8741,23407
홍제,무악재,3,11945,2404,13323,5284,5408,8318,5497,13151,2493,10905,1980,6265
무악재,독립문,3,12449,12782,15113,18193,12714,12240,13892,14483,6822,11067,4597,6861
독립문,경복궁(정부서울청사),3,11047,35468,16188,84084,57605,22279,80594,24365,35095,15080,27383,8474
경복궁(정부서울청사),안국,3,5316,70173,7588,77456,74693,18181,84129,15810,36266,7794,26737,4137
안국,종로3가,3,7581,45974,12528,129539,122023,57659,170205,56068,104862,26813,75507,10960
종로3가,을지로3가,3,5672,77650,10547,179177,92265,27530,153142,30239,62411,14392,41425,6874
을지로3가,충무로,3,7221,46477,10117,147439,70896,23063,121491,23992,55466,14051,36527,7708
충무로,동대입구,3,4826,12201,6218,38843,30785,8817,26955,9795,12979,6127,9252,3481
동대입구,약수,3,26480,19371,37316,43117,29219,29137,37390,40550,19955,26605,15429,16691
약수,금호,3,21818,4385,28238,7926,9914,17629,9809,25813,6407,18271,4866,12571
금호,옥수,3,19049,7813,23564,12874,15246,20725,15555,28310,10241,21368,8040,13443
옥수,압구정,3,12467,38045,18289,110108,76594,41572,106953,43867,80138,24149,62233,11690
압구정,신사,3,8332,35731,13561,93155,74187,40874,112089,48584,77557,25010,53641,9894
신사,잠원,3,9236,6091,12138,9306,8987,8714,8186,11657,5410,8663,3862,4913
잠원,고속터미널,3,42081,89464,63380,128833,176414,125880,177993,142271,140749,92135,154846,54257
고속터미널,교대(법원.검찰청),3,26429,64335,36793,167118,114369,53874,171463,64167,76906,37994,57337,21177
교대(법원.검찰청),남부터미널(예술의전당),3,22206,48927,31744,128022,75580,40503,110740,47502,51980,31185,35526,18563
남부터미널(예술의전당),양재(서초구청),3,28867,87989,36189,192350,99978,45682,162276,58428,70083,39891,47453,24722
양재(서초구청),매봉,3,13169,19658,15997,55083,31330,14260,51798,18760,18681,13045,11983,7272
매봉,도곡,3,14336,22499,18268,38260,28834,15213,32849,20280,16892,15805,11268,9233
도곡,대치,3,18988,16493,18701,23349,23720,23414,23681,24399,15129,17683,10745,9611
대치,학여울,3,3186,2788,3224,6014,5247,2838,5368,3513,2484,2848,1376,1678
학여울,대청,3,22150,13195,25636,22297,18033,15671,21487,22291,9378,18183,6422,12170
대청,일원,3,17879,25484,17369,22491,28459,11824,14849,15660,7579,12921,4720,8190
일원,수서,3,46988,48739,62522,79245,61722,51470,73429,71025,34475,52749,34099,33989
수서,가락시장,3,23863,22188,27608,55292,31669,24802,45518,31748,19016,23726,14679,15758
가락시장,경찰병원,3,17740,7407,20285,23770,12352,11539,16606,17224,5740,13265,4583,8473
경찰병원,오금,3,27905,12784,30471,28339,16384,16399,21705,24747,8025,18014,5693,11790
당고개,상계,4,73902,14681,64494,18257,21316,36320,20386,55200,12871,53260,9316,31756
상계,노원,4,77170,28277,79005,62520,61405,83293,67314,115990,43964,91616,45630,48168
노원,창동,4,78347,16906,66194,33302,35509,54693,35310,80290,20899,68046,16638,39036
창동,쌍문,4,104510,13486,110253,26658,30304,56068,28937,90281,18034,83452,13403,50409
쌍문,수유(강북구청),4,94276,19130,106095,49463,48198,70048,50292,105440,30257,91116,22879,54192
수유(강북구청),미아(서울사이버대학),4,40549,15159,45619,27774,20779,29023,22249,40034,13297,33348,8626,21252
미아(서울사이버대학),미아사거리,4,79903,17402,88181,31626,36678,58160,36395,87595,26123,67188,25442,39163
미아사거리,길음,4,67464,11220,71029,24322,25791,41429,24322,65425,14653,51912,11074,30629
길음,성신여대입구(돈암),4,41209,18524,50469,35750,41347,46824,45578,65156,29900,47311,25823,27711
성신여대입구(돈암),한성대입구(삼선교),4,25326,16744,32138,25269,25295,24014,25594,32866,14493,24804,11070,15813
한성대입구(삼선교),혜화,4,15345,41990,18320,95003,81065,44558,92708,50983,52966,34577,49655,14061
혜화,동대문,4,17119,42489,23098,85131,90645,29163,77776,26166,41447,27675,28365,19031
동대문,동대문역사문화공원,4,0,0,0,0,0,0,0,0,0,0,0,0
동대문역사문화공원,충무로,4,7221,46477,10117,147439,70896,23063,121491,23992,55466,14051,36527,7708
충무로,명동,4,3320,34850,4839,87173,50043,19205,86456,17657,38929,9755,31330,4564
명동,회현(남대문시장),4,3985,40540,6552,100952,72872,14565,92105,11953,36254,6773,35605,4063
회현(남대문시장),서울역,4,58174,128891,85092,253612,166263,97242,244226,107076,121906,73944,79029,48197
서울역,숙대입구(갈월),4,13680,19213,20269,42627,28117,19747,39836,25012,19260,17289,13825,10232
숙대입구(갈월),삼각지,4,11510,19937,17700,39081,26903,16262,38971,21975,15868,14673,12244,9086
삼각지,신용산,4,9068,25938,13879,68890,41274,20619,67214,25041,32820,15196,22797,8183
신용산,이촌(국립중앙박물관),4,17090,16649,20164,29855,27124,19090,29598,23603,14433,16982,10772,10457
이촌(국립중앙박물관),동작(현충원),4,7237,4919,8796,7626,8134,6648,9159,9151,5032,6410,3970,3992
동작(현충원),총신대입구(이수),4,38600,15611,48397,35795,30298,44150,36603,61328,22375,40118,18621,21835
총신대입구(이수),사당,4,109875,50755,150343,80223,89676,126185,113019,179487,71328,121969,64464,75564
사당,남태령,4,1928,2857,2583,3537,2955,1550,3049,1871,1109,1429,951,871
남태령,선바위,4,15046,16141,18819,21527,18345,10621,24164,14620,11884,11810,7324,7416
선바위,경마공원,4,1694,2056,2156,5029,3143,1648,5491,1966,1032,1500,592,955
경마공원,대공원,4,879,4163,1254,10011,15611,2346,14535,1758,6078,995,4171,524
대공원,과천,4,17913,4829,17746,8469,9629,9884,7053,16199,3726,13072,2579,7904
과천,정부과천청사,4,16180,17682,15202,51469,26413,13162,41545,18346,12085,14674,8950,8244
정부과천청사,인덕원,4,59500,31686,55062,87656,42937,39950,68192,62567,26131,54820,19537,29479
인덕원,평촌,4,45071,28046,35030,74747,34873,22048,55018,36895,22406,34386,15684,17824
평촌,범계,4,67356,18436,57628,48469,39619,46525,49491,71459,29810,61830,31745,30244
범계,금정,4,68638,35381,69704,75679,47130,49010,62222,71089,27620,57036,20715,34038
금정,산본,4,45008,12165,44083,25178,21675,33836,26104,52364,16263,45341,13672,24252
산본,수리산,4,15098,3598,15119,5524,4500,6541,4703,10481,2395,8882,1622,5704
수리산,대야미,4,14440,4568,15949,7782,7471,7847,8515,13307,4744,10947,3365,6770
대야미,반월,4,14310,3393,13317,6660,6510,8171,6725,13103,3480,9915,2334,7309
반월,상록수,4,59695,11016,52884,16096,19925,32837,18180,53939,11264,47847,8760,31591
상록수,한대앞,4,25952,7042,21663,13617,14029,17899,13946,25572,7902,21461,6709,13877
한대앞,중앙,4,46346,11968,35432,28417,29596,35462,31750,53494,20083,45353,19990,24158
중앙,고잔,4,25223,11488,18213,23163,16668,13295,18864,19826,7615,16723,6164,10504
고잔,초지,4,17573,7486,12725,9735,7578,8115,8419,12762,4283,11686,2906,8062
초지,안산,4,17728,34668,18277,28083,34668,19914,38740,21297,18907,18033,16598,13804
안산,신길온천,4,5790,3028,4959,2639,2951,3280,3324,4581,1618,3705,1064,2676
신길온천,정왕,4,15424,21602,12857,25569,20441,13324,24691,17365,11196,13232,8528,10744
정왕,오이도,4,26583,11673,19881,13039,17444,16666,16364,22848,10748,19078,9051,13151
방화,개화산,5,18288,5157,15893,10421,8222,8966,9509,13564,4348,12511,2889,7611
개화산,김포공항,5,16552,49449,27450,57339,55430,52309,74981,51272,49943,30620,49603,15246
김포공항,송정,5,17179,6186,18554,11624,10951,11718,11101,15464,6260,13260,4316,8431
송정,마곡,5,19946,10141,18870,36699,22530,12894,31740,19600,12905,15585,8813,8374
마곡,발산,5,21623,28224,22100,86546,48127,26127,68475,35961,30692,25447,22254,12628
발산,우장산,5,44687,14489,44786,19224,18746,27991,16424,43147,9989,35672,7067,20279
우장산,화곡,5,93894,12325,118507,24766,30748,55221,30237,99318,17841,74971,12508,46562
화곡,까치산,5,103596,10425,126711,18390,26769,60081,26711,104941,16854,84090,12476,52374
까치산,신정(은행정),5,53611,6369,64642,11486,12545,24816,12712,39172,6793,31999,4673,19638
신정(은행정),목동,5,46388,12962,57479,23972,22273,36976,24905,65402,13373,46073,11118,25527
목동,오목교(목동운동장앞),5,38854,24924,44887,58827,39185,42765,56547,61424,30635,40330,32994,19399
오목교(목동운동장앞),양평,5,23733,11139,26615,37374,19476,17319,30595,23760,10796,17237,7320,11493
양평,영등포구청,5,38131,35715,45826,121354,54851,34318,100797,51082,36076,33962,24129,19732
영등포구청,영등포시장,5,16761,11097,23018,32218,19678,13536,28945,22154,12149,14373,8350,8843
영등포시장,신길,5,29829,18023,41992,33527,21428,21849,33501,32848,13765,23161,9023,14964
신길,여의도,5,15162,201860,19813,294663,193981,39133,246102,46773,103739,24864,78717,13500
여의도,여의나루,5,3907,30066,6542,47491,34604,24000,49669,26353,31917,17442,37752,9639
여의나루,마포,5,19563,19918,26162,57615,29992,20419,47256,29314,19011,19008,13512,10187
마포,공덕,5,41584,65237,54469,164401,85521,50725,142054,74095,57832,46111,41790,26124
공덕,애오개,5,14277,8724,18804,23151,11383,10723,17670,15794,6536,10504,4304,6361
애오개,충정로(경기대입구),5,17792,24640,25093,73489,31563,17321,59864,24225,18044,17246,11548,11162
충정로(경기대입구),서대문,5,13719,53923,17934,125850,50509,13892,88695,17690,26073,11697,18254,7394
서대문,광화문(세종문화회관),5,7077,60452,11386,197004,77872,23673,158515,27007,58274,13329,40479,6180
광화문(세종문화회관),종로3가,5,7581,45974,12528,129539,122023,57659,170205,56068,104862,26813,75507,10960
종로3가,을지로4가,5,3719,39166,7233,99005,57631,13293,86010,12049,37675,6197,19556,3481
을지로4가,동대문역사문화공원,5,0,0,0,0,0,0,0,0,0,0,0,0
동대문역사문화공원,청구,5,12022,10025,16657,34180,13034,11477,23320,14421,14268,10650,8530,6908
청구,신금호,5,17152,6726,22268,13961,9249,13389,8607,20264,5917,14409,3836,8861
신금호,행당,5,25568,4513,34995,8403,8417,16023,8534,26135,5134,18322,4100,10944
행당,왕십리(성동구청),5,46956,26300,74995,56756,62573,70306,69205,103586,44457,68274,40472,40383
왕십리(성동구청),마장,5,13491,5641,17075,13708,8747,9219,10398,13254,6567,9734,3904,6161
마장,답십리,5,46740,11893,62150,29068,21512,27499,26257,46618,14404,34781,9099,19062
답십리,장한평,5,43600,19486,57934,55938,30991,30167,45703,51217,21453,37211,12217,20974
장한평,군자(능동),5,57133,14588,84676,46023,37336,48339,48661,77817,28521,57037,22533,32548
군자(능동),아차산(어린이대공원후문),5,36384,11138,48984,22258,24746,29504,23771,44076,14667,33262,10212,19225
아차산(어린이대공원후문),광나루(장신대),5,31686,13738,37496,24883,20783,21465,23937,32201,12442,22995,8168,14814
광나루(장신대),천호(풍납토성),5,56871,28463,73953,51987,61268,71201,65247,100318,45453,69725,43296,37566
천호(풍납토성),강동,5,45915,24287,55348,40733,32420,29967,36418,44322,17142,35981,12007,21824
강동,길동,5,18619,5860,22469,15128,12692,17008,14562,22202,7774,16908,5326,9936
길동,굽은다리(강동구민회관앞),5,29819,5612,31710,13028,11544,18256,12611,29170,7072,22841,4980,13674
굽은다리(강동구민회관앞),명일,5,28943,6331,26305,10554,10061,18367,10887,28278,6238,23917,4307,12665
명일,고덕,5,25089,12470,20740,16753,17453,16756,14041,22867,8109,22542,6225,11167
고덕,상일동,5,72591,9992,47276,15306,16574,28564,15845,45036,8850,47340,6425,23193
강동,둔촌동,5,20215,8980,22886,16858,16079,16623,17721,22799,9070,17685,6401,8926
둔촌동,올림픽공원(한국체대),5,21722,11099,23377,19522,21373,18522,22710,24227,11275,19186,9599,12024
올림픽공원(한국체대),방이,5,16045,7082,14033,20428,11846,15245,16586,18089,8444,13697,6742,7127
방이,오금,5,27905,12784,30471,28339,16384,16399,21705,24747,8025,18014,5693,11790
오금,개롱,5,20856,7564,17755,14282,10690,12953,11328,17911,5501,16158,4021,8900
개롱,거여,5,31496,7639,26704,16670,13427,16186,12460,22649,6028,22384,4204,11143
거여,마천,5,27812,4030,23580,9103,7206,12787,7479,18565,3612,18586,2828,9360
응암,역촌,6,13524,2610,13966,7549,4502,8949,4873,14634,2673,12388,1778,6551
역촌,불광,6,51183,13685,59556,35284,33599,41504,34475,60551,20074,48697,14567,28242
불광,독바위,6,11074,1753,10976,2827,2824,5511,2505,9382,1467,9512,904,5205
독바위,연신내,6,109755,22078,127514,30748,47045,73380,43631,114501,29386,100378,22556,55138
연신내,구산,6,24210,4890,29984,8063,8726,12419,7782,17626,4757,17090,3439,8420
구산,응암,6,59317,8787,72292,16370,18641,38106,18307,62699,11644,52181,8686,32196
