from,to,line,am7,am8,pm5,pm6,pm7,pm8
소요산,동두천,1,-3106,632,806,620,-945,-2073
동두천,보산,1,2216,839,300,-401,-2354,-1396
보산,동두천중앙,1,3992,-826,-76,1370,-3990,-1939
동두천중앙,지행,1,14731,7324,-4656,-5487,-13061,-5473
지행,덕정,1,7307,4359,-1698,-808,-8522,-3705
덕정,덕계,1,8660,5935,-1585,-3578,-6708,-3490
덕계,양주,1,18192,12376,-3882,-6734,-12562,-9676
양주,녹양,1,12286,5863,-2846,-5012,-9417,-5468
녹양,가능,1,15814,8403,-2479,-9310,-12181,-7183
가능,의정부,1,30293,4622,170,-11981,-21485,-1079
의정부,회룡,1,42874,31112,-13824,-29161,-33107,-15885
회룡,망월사,1,21083,14556,-5565,-13847,-17723,-9273
망월사,도봉산,1,56711,39042,-786,-18872,-34303,-17549
도봉산,도봉,1,14366,8090,-3374,-5459,-10375,-5773
도봉,방학,1,20916,8564,-6401,-10030,-15760,-6921
방학,창동,1,66967,37699,-20140,-50876,-52796,-23353
창동,녹천,1,16647,11501,-3161,-9692,-8725,-5022
녹천,월계,1,17297,10972,-4610,-12843,-13265,-5904
월계,광운대,1,24579,20474,-5895,-16060,-15734,-8224
광운대,석계,1,55831,56567,-25415,-61139,-50342,-24605
석계,신이문,1,29164,28356,-10725,-22237,-18715,-11034
신이문,외대앞,1,12538,11087,-4012,-11537,-10400,-5194
외대앞,회기,1,26238,23312,3013,-25878,-29190,-13397
회기,청량리(서울시립대입구),1,29738,22351,6012,-17836,-20102,5376
청량리(서울시립대입구),제기동,1,387,-10843,13023,10430,-1745,-1162
제기동,신설동,1,-12973,-52771,29172,43129,6723,4657
신설동,동묘앞,1,-4227,-27302,16622,15987,3466,1753
동묘앞,동대문,1,-30671,-74984,74210,59774,12515,8532
동대문,종로5가,1,-33487,-90085,45706,73267,31264,19163
종로5가,종로3가,1,-45034,-133544,73258,130297,76570,58072
종로3가,종각,1,-81040,-188754,78970,146829,54348,47595
종각,시청,1,-107793,-317853,108434,252393,76768,53161
시청,서울역,1,-80321,-194328,83647,162334,52082,31892
서울역,남영,1,-6577,-29750,9263,21357,2294,2151
남영,용산,1,-43054,-97333,42889,75379,36935,44579
용산,노량진,1,12207,21771,-7941,-33965,-30007,-6123
노량진,대방,1,-6673,-10612,8311,7472,-7536,-3346
대방,신길,1,14862,8994,-615,436,-9753,-5937
신길,영등포,1,-18329,-67394,17312,44687,17793,46631
영등포,신도림,1,82626,13823,-11633,-32991,-46793,-8331
신도림,구로,1,1262,-44482,12142,25007,-886,229
구로,구일,1,18042,11634,-5653,-15752,-14723,-6666
구일,개봉,1,66735,54909,-23774,-59768,-47658,-23153
개봉,오류동,1,40633,35345,-11384,-29431,-26788,-13537
오류동,온수(성공회대입구),1,53225,50195,-12353,-40539,-38095,-18179
온수(성공회대입구),역곡,1,97780,79632,-28161,-74294,-71401,-33186
역곡,소사,1,24123,19482,-7476,-19228,-17508,-9104
소사,부천,1,80171,56236,-26258,-64754,-55260,-18560
부천,중동,1,33773,17231,-6881,-18126,-20608,-10090
중동,송내,1,68723,12965,-11569,-20628,-47498,-21453
송내,부개,1,30970,18313,-8013,-17080,-18034,-9977
부개,부평,1,57402,38196,-19124,-55203,-47118,-6383
부평,백운,1,22522,14459,-4853,-13974,-16677,-8435
백운,동암,1,37052,28926,-11648,-25370,-30747,-16404
동암,간석,1,17919,9503,-4003,-8419,-12971,-5822
간석,주안,1,40590,21526,555,-16157,-33876,-11125
