호선명,지하철역,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원
1호선,동대문,12037,9885,16637,19783,20147,15110,20332,16304,13464,15398,10336,10356
1호선,동묘앞,5128,8004,8066,18779,23275,12159,19551,9210,8704,5827,5031,3835
1호선,서울역,31643,73669,49003,149249,100634,54687,152659,61655,72119,38909,47289,25080
1호선,시청,5971,53669,6884,141150,59551,11039,119064,11317,41635,5636,31787,3793
1호선,신설동,14821,21765,20523,52910,35024,17790,48482,22904,18413,15802,11610,10231
1호선,제기동,19090,18277,27212,36659,34654,22022,32579,23729,14456,16381,8806,10036
1호선,종각,5069,78825,7714,178759,99804,22931,164560,24229,66132,11811,53338,5331
1호선,종로3가,3988,23040,7050,59866,64274,23793,85046,23400,48731,11226,34790,4850
1호선,종로5가,4526,34390,6620,85361,63291,20032,82371,15996,38884,9049,23306,4214
1호선,청량리(서울시립대입구),30365,15247,38057,31707,41915,34517,37532,41585,19429,27551,14062,15132
2호선,강남,31783,129595,50239,269877,214990,96689,302398,125891,178242,68747,138452,34635
2호선,강변(동서울터미널),65321,21845,87254,40468,43071,63050,49073,95448,35502,64418,27719,39851
2호선,건대입구,44926,22367,75246,50003,61521,75155,73939,111060,50043,71316,51677,41238
2호선,교대(법원.검찰청),20056,50258,26967,134527,84189,41115,127229,52515,57186,31873,41438,17586
2호선,구로디지털단지,113543,75822,153411,217289,108111,91237,192537,143783,90513,107520,51419,67092
2호선,구의(광진구청),56806,13930,93748,36215,29041,46874,37517,81783,18394,57856,14091,37122
2호선,낙성대(강감찬),65157,15651,106007,33282,35684,52311,40875,90524,22486,73532,17363,46423
2호선,당산,39038,24673,45744,61953,32216,36000,50403,62192,22614,40594,16816,25357
2호선,대림(구로구청),56280,21433,78997,47958,35798,50811,45035,63308,23070,44629,15484,31979
2호선,도림천,2723,3156,2757,5135,2503,2087,3429,2561,1798,2142,738,1306
2호선,동대문역사문화공원(DDP),5419,17295,7743,38984,29860,14637,34201,16852,19666,16453,14975,10423
2호선,뚝섬,15349,32144,21013,114667,53064,26265,106320,33339,50691,19444,31198,10935
2호선,문래,33903,30716,37655,105322,48325,27079,89356,45434,30636,31095,20253,16057
2호선,방배,18619,23728,25066,59218,34451,24272,54434,32381,22577,22059,15379,13878
2호선,봉천,67841,10349,100844,23320,25417,47489,28855,79530,16268,62832,12780,38119
2호선,사당,58906,34026,83246,52649,56808,80672,79171,119322,46073,79608,40884,49449
2호선,삼성(무역센터),12936,106997,16442,252453,152613,37560,230299,39720,117148,22957,91086,12471
2호선,상왕십리,31494,10323,48560,31353,20369,27433,24813,44590,14377,29618,9979,18185
2호선,서울대입구(관악구청),104693,25638,150090,56193,67898,93312,76260,154764,46893,121426,38875,70955
2호선,서초,12412,41453,19868,103900,60003,16953,86612,18730,34936,12504,21932,8129
2호선,선릉,17142,95870,25458,230691,153833,38184,245318,41072,116743,25164,69492,14791
2호선,성수,19300,67921,25413,228228,94949,37538,202624,44454,86392,26092,51808,13856
2호선,시청,4041,55434,6019,162559,67875,11060,137078,11140,43954,5477,27911,3122
2호선,신답,5269,761,8271,1398,1492,3879,1735,9010,820,6154,489,2947
2호선,신당,21813,15889,34403,29864,25198,27478,28688,38987,18157,24572,12937,15005
2호선,신대방,75798,15976,110766,27543,28749,55310,35016,88020,19472,69621,13671,46735
2호선,신도림,109140,33575,111452,94272,75767,85524,107444,140118,59510,97759,48176,56601
2호선,신림,173383,30834,267128,56459,72880,128276,74469,227563,45967,182832,39377,113584
2호선,신설동,3015,4816,5220,10572,9356,4152,9437,4977,3664,3312,2281,2077
2호선,신정네거리,39788,4938,36112,10751,10565,23614,10133,41913,6110,32205,4670,16741
2호선,신촌(지하),27931,31223,39520,66470,76075,53750,75833,76550,49507,48143,51696,25777
2호선,아현,23022,9727,30940,17569,15752,19637,15803,29238,9630,21356,6589,13294
2호선,양천구청,25756,4598,23702,8326,6800,14796,7229,25909,3382,22350,2160,11573
2호선,역삼,12613,113759,20328,273619,162182,34564,239209,38812,120972,24690,66771,16029
2호선,영등포구청,32538,32778,39427,106126,48268,27895,91651,44717,31922,28838,20966,16797
2호선,왕십리(성동구청),20872,10600,36546,21991,28009,24997,31617,39967,17600,24074,17121,14302
2호선,용답,6282,1444,10376,2716,3426,5508,3144,9375,1845,6128,1235,3869
2호선,용두(동대문구청),4312,2359,7031,5813,3953,3982,5165,6804,2016,4785,1261,2474
2호선,을지로3가,4366,57415,7506,127862,68231,16201,114329,17509,43446,8873,28341,4862
2호선,을지로4가,2861,28862,5274,67253,42299,8638,60285,8139,26101,4345,12952,2572
2호선,을지로입구,7248,97921,11743,244837,117844,26119,207093,28481,81080,15214,72237,8949
2호선,이대,19762,9440,26373,25573,27773,21266,26530,32592,15446,23811,12581,13596
2호선,잠실(송파구청),94913,58968,128005,127170,131826,121434,161633,177981,104738,116568,109713,69950
2호선,잠실나루,30628,19935,35892,32435,27544,20199,25013,34440,11928,24908,8856,13934
2호선,잠실새내,42624,12987,54558,24850,29516,43628,34786,66666,24079,44676,21910,24206
2호선,종합운동장,13282,9553,18039,15658,11069,12565,13058,20230,6485,13806,5135,8116
2호선,충정로(경기대입구),12752,16346,17762,49270,20240,12391,40407,18142,11841,12529,7324,7705
2호선,한양대,4088,8590,6725,24255,21751,5747,20651,7425,9294,4598,6468,3646
2호선,합정,36746,28092,46720,77821,62081,56671,98213,80904,64594,51288,49814,26970
2호선,홍대입구,47758,28011,61404,80466,117422,101545,147714,131248,106107,83198,104619,41114
3호선,가락시장,15722,10846,18376,24570,17096,13399,24165,18893,9920,13666,6961,8850
3호선,경복궁(정부서울청사),11374,33969,16841,84281,52002,19625,83177,22895,32636,15052,25273,8196
3호선,경찰병원,18226,8019,20699,25939,12824,11439,18007,18204,6088,13681,4576,8829
3호선,고속터미널,20602,38054,33804,58899,98654,71665,102097,82734,82384,51611,97789,29636
3호선,교대(법원.검찰청),6532,17161,9730,40169,35378,8802,57610,11471,22970,6208,16726,3165
3호선,구파발,69553,19756,63494,26116,30380,34332,26856,60554,16141,50367,13391,28093
3호선,금호,21576,4281,28746,8190,9191,17636,9739,27538,6314,18642,4995,12185
3호선,남부터미널(예술의전당),22271,50594,32162,132902,78551,39506,119808,47679,54178,30410,35928,18326
3호선,녹번,53794,6966,63722,16404,13757,28852,16449,52908,7678,44693,5951,24896
3호선,대청,21754,11467,25238,23781,18938,15049,22365,22907,8947,18896,5923,11639
3호선,대치,18181,18325,18435,25418,23764,22163,24905,24271,15356,18244,10896,9355
3호선,도곡,7015,10586,8725,18081,12295,6505,15630,8776,7807,7230,4812,3896
3호선,독립문,12714,11436,15794,17278,11827,11885,13513,14993,6207,11837,4288,6826
3호선,동대입구,4822,12421,6368,40339,30129,7227,27666,8753,12744,6012,8181,3449
3호선,매봉,12806,20866,16049,58849,32357,13291,57119,19026,19908,13263,12394,7061
3호선,무악재,11867,2570,13635,5320,5204,8061,5786,13747,2456,11206,1862,6525
3호선,불광,42217,9796,51414,29712,23894,32763,27038,50489,14412,40513,10877,23153
3호선,수서,28174,28120,34552,44725,34802,27846,42302,41480,19759,30488,19284,18667
3호선,신사,8323,37899,14067,96332,77776,36970,119790,44892,81306,24129,53864,9698
3호선,안국,5266,67105,7083,77716,76158,15431,86199,14447,33944,7393,25053,4252
3호선,압구정,12621,39481,18018,116615,78665,38734,115415,41517,83882,23303,64992,11261
3호선,약수,21295,11767,32153,29309,21316,23349,28405,34936,14548,22680,11342,14214
3호선,양재(서초구청),28853,91253,37517,201119,103794,44172,174296,58925,72914,40059,47765,24268
3호선,연신내,110377,18696,132615,31227,45039,72239,43294,120138,28474,103283,22180,57122
3호선,오금,20645,4501,24504,11728,8060,11103,9915,18877,4018,13668,2734,8288
3호선,옥수,18516,7847,23904,12909,14252,19980,15369,29256,9604,21611,7589,13424
3호선,을지로3가,1598,27568,2737,62197,33084,8358,56043,9128,22078,4262,13566,1883
3호선,일원,17208,25816,17401,22052,29481,11343,14460,16073,7494,13320,4788,8290
3호선,잠원,9150,6290,12343,9367,8873,8117,8059,11929,5127,8938,3518,4947
3호선,종로3가,1405,13368,1914,38970,25718,10631,45343,9663,28591,4617,14840,1942
3호선,지축,16708,3447,16357,3398,5826,7480,4157,15750,2234,12629,1363,7522
3호선,충무로,0,0,2,0,13,0,3,0,3,0,2,0
3호선,학여울,2974,2870,3079,5996,3775,2699,5184,3554,2380,2917,1421,1645
3호선,홍제,50534,9939,57761,19723,22263,33169,21405,54804,11452,43233,8751,23646
4호선,길음,65891,10525,71699,21398,23168,39704,22957,69493,13633,53023,10314,30527
4호선,남태령,1934,2655,2560,3082,2671,1533,2882,1761,1137,1293,960,812
