from,to,line,am7,am8,pm5,pm6,pm7,pm8
소요산,동두천,1,-2820,-18,412,204,-1227,-2049
동두천,보산,1,1948,1095,937,-612,-3086,-2280
보산,동두천중앙,1,3712,-1171,143,1106,-3189,-2332
동두천중앙,지행,1,13965,7163,-5090,-5675,-12604,-6070
지행,덕정,1,6779,2116,-795,-959,-7545,-3849
덕정,덕계,1,8310,5628,-2309,-4155,-6133,-3190
덕계,양주,1,16355,10788,-3845,-6479,-12154,-9329
양주,녹양,1,10696,4441,-2788,-3996,-8426,-5063
녹양,가능,1,14877,7855,-2493,-8013,-11531,-7459
가능,의정부,1,28294,5764,-1903,-9045,-18944,-2085
의정부,회룡,1,40031,28357,-15136,-26526,-30103,-15514
회룡,망월사,1,18883,12038,-4922,-12517,-15801,-8694
망월사,도봉산,1,50604,31606,3954,-13121,-28275,-16541
도봉산,도봉,1,13544,7126,-3117,-4824,-9870,-5304
도봉,방학,1,19718,7459,-6255,-8969,-14925,-6967
방학,창동,1,61441,32892,-19184,-44980,-47147,-22398
창동,녹천,1,13892,10670,-3125,-9099,-7597,-5145
녹천,월계,1,13665,10215,-4057,-11975,-11181,-5667
월계,광운대,1,21516,15718,-4520,-14262,-13440,-7279
광운대,석계,1,49079,49880,-25186,-55721,-45080,-22776
석계,신이문,1,26506,25184,-10462,-20422,-17010,-10467
신이문,외대앞,1,11755,9338,-1991,-9079,-9025,-4881
외대앞,회기,1,22716,15097,5369,-20208,-25910,-12414
회기,청량리(서울시립대입구),1,24951,19502,6590,-11788,-16177,5575
청량리(서울시립대입구),제기동,1,1018,-9646,13384,9960,-920,-1199
제기동,신설동,1,-12063,-45856,26993,37546,6633,4241
신설동,동묘앞,1,-3498,-24655,22260,19293,3729,1517
동묘앞,동대문,1,-25370,-62033,61482,51610,13772,9334
동대문,종로5가,1,-29018,-75095,41408,62644,31185,20082
종로5가,종로3가,1,-38393,-117011,64364,114137,78049,64547
종로3가,종각,1,-67606,-162910,67808,124774,52492,47604
종각,시청,1,-91241,-278464,98784,212580,72084,52979
시청,서울역,1,-70717,-168520,69021,137150,47962,30832
서울역,남영,1,-6764,-29314,8007,18590,2449,2178
남영,용산,1,-38002,-90303,42463,67826,34271,45017
용산,노량진,1,12596,17349,-7978,-28265,-25412,-4878
