from,to,line,am7,am8,pm5,pm6,pm7,pm8
소요산,동두천,1,-1956,159,210,-109,-1557,-1684
동두천,보산,1,1706,678,628,-473,-2261,-2010
보산,동두천중앙,1,3878,-454,-265,823,-3185,-2226
동두천중앙,지행,1,11379,5436,-5222,-4704,-9327,-4578
지행,덕정,1,6349,3701,-1618,-1379,-6561,-4714
덕정,덕계,1,7364,4751,-2055,-3175,-5186,-3780
덕계,양주,1,15319,10255,-3129,-6833,-10732,-9216
양주,녹양,1,10685,4676,-1549,-4742,-7615,-5257
녹양,가능,1,13735,8479,-2307,-7944,-11067,-5333
가능,의정부,1,26019,7592,-1694,-8080,-16237,2371
의정부,회룡,1,35927,25659,-11587,-22702,-27743,-13469
회룡,망월사,1,16393,11853,-5088,-10993,-14911,-7456
망월사,도봉산,1,50133,35096,1442,-16083,-30238,-17282
도봉산,도봉,1,11484,6828,-2004,-5378,-8745,-4966
도봉,방학,1,16396,6540,-3616,-9482,-12994,-6036
방학,창동,1,57539,32495,-14628,-40242,-46955,-20658
창동,녹천,1,14213,9712,-2637,-7225,-8104,-4722
녹천,월계,1,14075,9748,-4269,-8197,-11097,-4654
월계,광운대,1,20248,16130,-4966,-12110,-14122,-7234
광운대,석계,1,46079,48117,-23884,-50950,-43794,-22018
석계,신이문,1,23615,23706,-9230,-18398,-16778,-10546
신이문,외대앞,1,10484,8942,-2751,-9069,-9338,-4291
외대앞,회기,1,20606,16118,3187,-19098,-25454,-8694
회기,청량리(서울시립대입구),1,26493,20284,7237,-12583,-18413,3741
청량리(서울시립대입구),제기동,1,1184,-7246,13224,9271,-1772,-716
제기동,신설동,1,-9378,-43710,24675,35868,5316,4879
신설동,동묘앞,1,-389,-18154,23340,19190,2061,680
동묘앞,동대문,1,-22097,-58058,60386,50463,11729,11835
동대문,종로5가,1,-24821,-76636,38073,63063,28743,21744
종로5가,종로3가,1,-32610,-106909,60997,111186,72848,67745
종로3가,종각,1,-67500,-154723,63656,118585,55152,56712
종각,시청,1,-89601,-273475,90374,208626,72875,57347
시청,서울역,1,-72269,-167945,68143,139009,48666,31968
서울역,남영,1,-5896,-26881,7381,20156,2717,2904
남영,용산,1,-34662,-87712,33355,65978,33229,45022
용산,노량진,1,16802,21919,-13640,-33091,-28702,1896
노량진,대방,1,-6536,-10901,6401,7933,-6620,-3463
대방,신길,1,14399,7696,257,944,-9536,-6950
신길,영등포,1,-15582,-56044,12741,34774,20190,57307
영등포,신도림,1,69935,11175,-6800,-24056,-40856,-2997
신도림,구로,1,2760,-36425,9572,19515,-303,1796
구로,구일,1,15965,10255,-3303,-12639,-13780,-6382
구일,개봉,1,57106,46173,-21912,-51512,-46111,-22492
개봉,오류동,1,32766,31106,-9182,-23610,-24151,-13641
오류동,온수(성공회대입구),1,45781,44469,-9875,-34265,-33700,-18694
온수(성공회대입구),역곡,1,82070,67893,-23883,-61697,-59572,-30844
역곡,소사,1,22255,16708,-7003,-14514,-17113,-8765
소사,부천,1,67280,50775,-21684,-49563,-53649,-11557
부천,중동,1,28048,16028,-5870,-13997,-17976,-9110
중동,송내,1,60002,12559,-9931,-13180,-42468,-20508
송내,부개,1,25336,15984,-4750,-15906,-15453,-9093
부개,부평,1,49907,34596,-20058,-50261,-37313,885
부평,백운,1,18300,12966,-3816,-12680,-13654,-8251
백운,동암,1,30017,23810,-10206,-22390,-26295,-15693
동암,간석,1,14536,8761,-3378,-7373,-10747,-5170
간석,주안,1,34614,18284,-5,-13408,-28366,-10116
주안,도화,1,9289,5354,-1354,-3386,-6502,-3718
도화,제물포,1,21316,6913,-631,-4652,-15242,-9043
제물포,도원,1,2312,-2950,255,945,-2218,-1344
도원,동인천,1,13880,627,7378,3985,-12945,-4633
동인천,인천,1,457,-3889,7545,6570,2661,2608
구로,가산디지털단지,1,-108574,-411613,153303,298876,117885,67224
가산디지털단지,독산,1,-4094,-47838,21111,27613,-617,1300
독산,금천구청,1,22308,10471,-7850,-13168,-19334,-7696
금천구청,석수,1,20257,16351,-907,-9185,-15481,-7651
석수,관악,1,20555,16107,-1610,-12129,-13959,-6770
