from,to,line,7_in,7_out,8_in,8_out,17_in,17_out,18_in,18_out,19_in,19_out,20_in,20_out
소요산,동두천,1,4818,7697,4831,4373,3610,3202,4546,4135,2237,3585,1230,3234
동두천,보산,1,4130,2198,3372,2218,3096,2936,2454,2963,1426,4228,905,2420
보산,동두천중앙,1,7813,4095,7162,7931,5235,5145,6577,5343,2709,6509,1645,3851
동두천중앙,지행,1,18667,5225,16680,9534,8798,13248,9888,15471,5165,17256,4494,9936
지행,덕정,1,15840,8464,14113,11090,9163,10663,10873,12270,4290,12355,3316,6887
덕정,덕계,1,10904,2890,9614,3732,4023,5855,3961,7944,1600,8180,1161,4603
덕계,양주,1,26269,10217,22309,10697,11194,15120,12595,19781,6303,18886,3927,12720
양주,녹양,1,15659,4422,12119,7435,5830,8660,7046,12018,3132,12408,2331,7002
녹양,가능,1,21281,6393,19366,11169,9676,12309,8474,16929,5161,17037,3858,10766
가능,의정부,1,40554,12744,37374,32473,32944,33487,36821,46117,23035,42222,24036,24474
의정부,회룡,1,47645,8173,39605,10885,12202,26650,11074,38870,6408,37517,4936,19789
회룡,망월사,1,23277,4115,22666,10079,9454,14800,8924,22804,4236,21098,2867,12099
망월사,도봉산,1,63601,11884,53721,18408,26120,26205,22798,41216,12368,43661,7516,24709
도봉산,도봉,1,16920,3909,16246,9079,8296,11404,9141,14871,4429,14206,2663,7904
도봉,방학,1,26894,8048,25170,17531,12582,18727,15807,25638,8536,23305,5680,12563
방학,창동,1,77718,16023,67068,33386,34514,53214,35408,84768,20773,69369,16688,39031
창동,녹천,1,17956,3063,14992,4371,4772,7605,4248,13683,3096,11174,1502,6693
녹천,월계,1,20810,5676,18917,7914,6892,12126,6954,19105,3945,15895,2797,8882
월계,광운대,1,27212,4610,26530,8047,8263,14319,8125,24074,5024,19248,3900,11925
광운대,석계,1,61432,11564,70247,17964,22356,46446,20502,79795,14960,62536,11308,34731
석계,신이문,1,29917,4033,32375,6941,7356,18142,7269,28667,4891,23016,3114,13580
신이문,외대앞,1,14879,3208,18983,8239,11011,14280,9656,20538,6255,16155,4948,10260
외대앞,회기,1,47471,24212,59922,40739,44727,41466,38115,62992,21128,50037,17210,30138
회기,청량리(서울시립대입구),1,54333,27978,72597,52297,68246,62007,69464,83945,38833,56270,36193,30287
청량리(서울시립대입구),제기동,1,19090,18277,27212,36659,34654,22022,32579,23729,14456,16381,8806,10036
제기동,신설동,1,19046,30509,27686,74472,50263,23603,66371,29772,25984,20156,16260,13074
신설동,동묘앞,1,12396,15945,18880,42077,42237,23778,39093,23659,18970,16282,11769,10432
동묘앞,동대문,1,16127,40854,22583,83480,86852,27065,76186,24695,37885,25114,25898,17527
동대문,종로5가,1,4526,34390,6620,85361,63291,20032,82371,15996,38884,9049,23306,4214
종로5가,종로3가,1,7900,48444,12598,132354,123817,50003,176884,49613,103564,24005,71792,10171
종로3가,종각,1,5069,78825,7714,178759,99804,22931,164560,24229,66132,11811,53338,5331
종각,시청,1,10012,109103,12903,303709,127426,22099,256142,22457,85589,11113,59698,6915
시청,서울역,1,59119,132304,84703,258129,169593,93662,258690,108431,122126,70903,77908,46103
서울역,남영,1,9719,16496,13135,41569,20171,11684,37228,17094,14322,11812,9313,7275
남영,용산,1,16287,54368,24058,115989,95035,45270,129290,52666,76682,37296,69802,21255
용산,노량진,1,65343,54089,95369,73841,55529,62026,66781,97765,36180,64415,34235,41192
노량진,대방,1,23697,30767,32001,42156,26637,20153,39084,32673,14322,21437,9907,13703
대방,신길,1,30761,16892,42610,33714,20569,22323,34505,35177,13966,24002,8503,15296
신길,영등포,1,32183,48774,44483,107427,84373,63120,129013,83100,71896,50349,74616,27668
영등포,신도림,1,117709,40132,120508,107588,83404,92521,120378,150846,64579,104504,52151,60574
신도림,구로,1,30490,29776,31538,70138,42339,30277,58900,37398,24671,26248,16267,16587
구로,구일,1,22249,6101,20106,8837,7491,11797,9010,22298,3874,17925,2809,9435
구일,개봉,1,74875,13633,71770,21201,25541,50436,25694,82212,14871,62134,11357,33876
개봉,오류동,1,43954,5940,42451,10969,13037,23666,12579,39627,7235,34039,5788,18737
오류동,온수(성공회대입구),1,60745,13744,67852,21542,19551,31124,18263,57056,10057,44933,6630,25334
온수(성공회대입구),역곡,1,101061,11474,97621,24339,29651,58751,28120,96950,17291,84226,14327,45833
역곡,소사,1,28827,6365,25947,8516,10326,17356,8964,27019,5261,22313,3977,12876
소사,부천,1,89480,16584,89664,37572,47675,71304,50665,109162,33329,85018,28956,44209
부천,중동,1,36273,5016,27796,11662,9982,17288,11052,27363,5623,25945,4271,13988
중동,송내,1,88874,25780,74259,60405,34395,46878,59749,79447,25665,73114,17461,39171
송내,부개,1,32649,4768,26003,8886,9477,17482,9644,25712,5185,21714,3776,13503
부개,부평,1,69249,17179,66679,29581,51979,68347,51088,99626,36439,76196,35099,40732
부평,백운,1,24500,3965,20486,7421,9144,13852,7468,20975,4330,20230,3489,11609
백운,동암,1,45779,12660,42657,15774,20920,31437,20498,44371,12167,40745,9786,25592
동암,간석,1,20175,3637,16461,8079,7152,11111,8340,16752,4111,16241,3136,9092
간석,주안,1,52142,14752,45297,24989,30456,30323,31235,47131,17746,49625,15104,26486
주안,도화,1,14230,3561,11788,6211,5449,7880,5516,10386,2664,10538,2167,5820
도화,제물포,1,33264,10098,27822,20767,15081,17116,18207,26657,7558,25326,5235,15088
제물포,도원,1,5080,4643,5301,12067,5690,4309,5844,5103,2209,4361,1564,2954
도원,동인천,1,34569,19865,25779,27260,29579,22132,32951,29031,15386,28570,10627,16335
동인천,인천,1,6775,7567,5696,10382,15132,6776,13308,6967,7182,4897,6047,3498
구로,가산디지털단지,1,31194,153231,33292,472407,221130,41764,380679,48977,158526,36811,82889,21182
가산디지털단지,독산,1,34882,36968,33244,88338,44977,21977,65481,37479,29180,29894,15720,16176
독산,금천구청,1,39321,13576,36046,24692,13993,22373,21196,39078,9648,29822,6991,15084
금천구청,석수,1,32788,10706,32472,15559,14581,16976,15752,29109,8276,23457,5303,12608
석수,관악,1,26148,5052,25097,8494,8953,13054,9216,23978,4997,19038,3702,10090
관악,안양,1,66949,14435,60605,26707,32213,41727,30518,71315,19479,55086,17973,30315
안양,명학,1,21595,23486,19327,44788,19656,9524,32685,18202,10643,16270,9908,8732
명학,금정,1,69481,35909,69872,76362,45949,48075,66180,72089,28388,58282,20802,33782
금정,군포,1,15563,27052,14485,38179,18411,8153,31373,13690,10153,10466,8529,6858
