호선명,지하철역,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원
1호선,동대문,10340,7951,14857,17036,20108,14745,19005,15122,12907,15188,11741,10244
1호선,동묘앞,4457,5734,6977,14687,23169,10057,16419,7615,6999,5208,4789,3885
1호선,서울역,27116,66431,43277,145325,93883,45769,144127,50873,72171,34653,49654,23324
1호선,시청,4971,47793,6119,131340,55134,10643,108895,9871,41170,4716,34710,3216
1호선,신설동,13739,18243,19137,48070,33392,16980,48075,21175,17757,15251,13613,10184
1호선,제기동,15914,15109,24375,32855,33310,18808,30408,21250,12792,15650,9330,10291
1호선,종각,4413,77560,6631,165202,94486,22887,153681,23132,69054,10706,65480,4650
1호선,종로3가,3297,18316,5367,52803,56011,20659,79064,17711,43768,7957,35106,3901
1호선,종로5가,3473,30990,5745,86177,61473,17184,82698,13074,38369,6821,26177,3731
1호선,청량리(서울시립대입구),28669,12303,36183,28638,39305,31091,33065,38281,17157,26198,14256,15871
2호선,강남,29652,120313,46525,260062,190350,93494,278385,107650,177478,60270,159575,31438
2호선,강변(동서울터미널),62162,17119,82739,33761,39405,57550,45123,87744,32220,64331,24895,41097
2호선,건대입구,41543,22036,73021,51470,53211,77361,67571,106890,49289,66800,67062,38480
2호선,교대(법원.검찰청),18684,43921,27004,132412,81945,40261,122747,47092,56682,29898,47941,17716
2호선,구로디지털단지,111142,69658,154198,211123,105315,90648,186197,136745,93693,110343,61018,69837
2호선,구의(광진구청),52867,11707,91632,33680,28910,44994,35171,78224,17431,57568,16225,37725
2호선,낙성대(강감찬),61348,13594,102281,30386,35411,49421,37741,82941,21494,74232,18214,48597
2호선,당산,35071,21563,42891,64173,30118,32747,49418,54310,21964,37766,18626,24476
2호선,대림(구로구청),52499,19302,77458,48404,35561,49828,46182,59641,23590,44069,16312,32330
2호선,도림천,2520,2345,2964,5219,2666,2009,3439,2454,1849,2374,859,1411
2호선,동대문역사문화공원(DDP),5189,13837,7526,37533,28326,13273,32479,14756,20046,17449,17718,10229
2호선,뚝섬,14571,28378,21655,113554,45036,21724,100514,29088,48622,18587,29624,11345
2호선,문래,33418,29947,37298,103191,46487,24342,87393,40815,30471,30045,24147,16985
2호선,방배,17787,23548,25560,59160,35334,22857,55232,30687,23585,22462,17724,14899
2호선,봉천,64508,8378,100646,21105,23867,44946,26663,74508,15271,64516,13525,40823
2호선,사당,56743,31462,80653,52433,53076,78640,71777,112363,47610,79285,48165,48828
2호선,삼성(무역센터),11858,101072,15965,255575,142313,36123,227196,38660,120362,21491,104334,11783
2호선,상왕십리,29794,9515,47721,28928,19573,25367,23646,41112,13297,28865,9829,18480
2호선,서울대입구(관악구청),99513,22507,150221,49643,61200,85583,68282,143792,42141,122115,41907,72811
2호선,서초,10989,35680,18161,98628,55588,16515,85208,16865,35468,11841,25187,8279
2호선,선릉,16420,95646,23955,231198,148380,35315,234548,38405,119417,24059,83214,15390
2호선,성수,18452,63728,25980,229101,85623,31392,187090,38168,83822,24284,51293,12940
2호선,시청,4133,55307,5609,170817,64690,10422,138358,9718,48353,4458,33310,2639
2호선,신답,4774,845,8015,1568,1500,3546,1630,7732,706,5975,472,2698
2호선,신당,20250,12748,34119,28184,24557,24699,27929,36132,16908,24661,14257,15380
2호선,신대방,71291,14494,107000,26455,27434,51222,32127,81829,17645,69384,14057,46918
2호선,신도림,103882,32846,111254,96437,74112,80508,104728,127652,60575,100042,56733,57976
2호선,신림,169189,26855,259505,50025,67801,124562,68317,211632,44074,187718,46143,116451
2호선,신설동,2578,5096,4841,11852,9346,4088,9823,4529,4146,3281,2777,1952
2호선,신정네거리,36642,4390,34465,9970,10477,21268,9133,37308,5255,30251,4992,16035
2호선,신촌(지하),25098,25997,35756,56934,65969,49441,67269,67573,47473,43890,60651,23856
2호선,아현,21410,6673,29763,13549,14246,18167,14857,27510,8583,21445,6475,13887
2호선,양천구청,25530,3887,23040,7977,6603,13981,6637,24146,2889,22012,2485,12195
2호선,역삼,11073,105499,19280,267827,153897,34113,232035,36284,120772,24297,76207,16103
2호선,영등포구청,31770,30943,38069,105793,45290,27760,91649,43179,33147,30065,26573,17361
2호선,왕십리(성동구청),19635,8414,35930,22413,26229,24752,29287,38899,17909,23291,21614,14068
2호선,용답,5301,1456,10081,2243,3260,5056,2868,8372,1490,5760,1014,3629
2호선,용두(동대문구청),3803,2004,6641,5680,3882,3646,5144,6492,2022,4816,1354,2508
2호선,을지로3가,3943,54464,6519,125335,59420,13296,107331,13342,44910,6012,32984,3474
2호선,을지로4가,2485,25329,4406,63837,42010,8517,58605,6581,26975,3987,14604,2146
2호선,을지로입구,6057,96915,9537,236987,116958,25338,197433,25629,86998,12932,88078,7796
2호선,이대,15255,8737,19888,23013,25816,16371,23797,23280,13714,17660,12855,11150
2호선,잠실(송파구청),88048,57128,125062,128844,121767,108917,151010,155726,96739,109257,105437,69629
2호선,잠실나루,28888,17761,36184,29972,25118,17947,23791,31227,10945,24442,8481,14381
2호선,잠실새내,41020,13284,55616,22777,27828,41838,31511,62541,23266,43675,23966,24789
2호선,종합운동장,12738,7083,16990,14074,10172,11456,11416,17981,5492,13322,3725,8466
2호선,충정로(경기대입구),12220,14575,17439,47564,19941,12174,38357,17203,12868,13078,8958,8694
2호선,한양대,3863,7490,6573,18090,21768,5354,21008,6705,9646,4367,7136,3406
2호선,합정,34216,27302,44823,73663,53698,50875,86716,71123,55491,47868,49632,25439
2호선,홍대입구,44933,24093,58939,76180,93608,92080,116151,113734,89920,71848,108824,37811
3호선,가락시장,14864,9223,17517,25112,16282,14268,24184,18882,10663,13836,8612,8817
3호선,경복궁(정부서울청사),10007,29694,15342,84660,43068,16858,74924,19668,30052,13569,25483,7801
3호선,경찰병원,17317,7621,21252,27488,12789,11082,18736,18141,6235,14709,5540,9121
3호선,고속터미널,18580,33145,30593,54539,95223,67545,100365,77786,79230,48099,99601,26551
3호선,교대(법원.검찰청),5786,14641,8818,41828,34235,8896,55383,10785,23199,5874,20436,3196
3호선,구파발,65828,16808,64022,21860,27533,30621,23471,55997,13810,50782,12486,26926
3호선,금호,20854,3931,29035,7315,8989,17306,9180,26114,5718,19490,4871,13098
3호선,남부터미널(예술의전당),20208,46862,30549,132843,73287,34642,117193,41862,55530,28801,39572,18241
3호선,녹번,49459,6840,60902,15064,13591,26160,15190,48765,7017,43588,5465,23761
3호선,대청,19919,8307,24571,21821,17448,14423,21627,21663,8609,18007,6471,11502
3호선,대치,18502,15381,19774,23316,21193,16327,23215,21142,13483,17440,12340,10665
3호선,도곡,6538,10396,8868,17474,13415,6386,15852,8459,8230,7008,5590,4290
3호선,독립문,11415,9241,15173,16392,10872,10591,12536,14635,5510,12139,4163,7225
3호선,동대입구,4100,10932,5811,38203,26394,6101,25234,6523,11804,4510,8233,3198
3호선,매봉,12075,18460,15028,58256,30276,13191,54473,17736,22193,12300,15513,7623
3호선,무악재,11281,2337,13996,4720,4523,7378,5107,13225,2202,11560,1731,6617
3호선,불광,38787,7402,48947,24845,22152,31115,24360,47911,13626,40284,11780,22333
3호선,수서,25492,21170,32417,42074,28994,24970,39172,37373,18174,29577,16542,18330
3호선,신사,7983,36161,14530,95577,76522,39747,116548,44597,85853,22058,67508,9799
3호선,안국,4439,62592,6817,79306,71287,11819,82396,10973,32330,6143,25028,3782
3호선,압구정,12044,36347,18403,114846,76977,36303,113015,37943,84617,21307,72152,11279
3호선,약수,18073,9578,31070,27669,19906,22628,26618,33549,14236,22520,12443,14607
3호선,양재(서초구청),26599,86006,36546,199320,99754,41546,171013,54865,80223,38731,57021,24130
3호선,연신내,106281,13056,132115,26702,40362,70874,37820,114881,25474,102742,24814,56044
3호선,오금,19262,4359,24325,11659,7930,10269,9769,17199,4180,13942,3216,8441
3호선,옥수,16895,6508,24494,12559,13195,18520,13715,27731,8319,21343,6789,13619
3호선,을지로3가,1506,27732,2280,63921,29892,7460,56489,7128,24228,3327,16170,1592
3호선,일원,16769,22154,17761,20256,27065,10424,13783,15924,6898,12861,5121,8909
3호선,잠원,8546,5628,12011,7474,8155,7794,7818,12205,4660,8674,3492,5193
3호선,종로3가,1261,11924,1777,35909,24646,9066,44790,7652,25974,3225,15313,1583
3호선,지축,12683,2081,12971,2615,3984,5779,2688,12532,1200,10159,839,6377
3호선,충무로,3,0,1,0,4,0,3,0,3,0,3,0
3호선,학여울,2642,2680,3130,5939,3369,2462,5082,3424,2463,2725,1524,1660
3호선,홍제,46507,8675,57019,18705,20731,31880,19899,51405,10647,44556,8788,24818
4호선,길음,64325,8452,71487,21280,22714,37156,21933,66383,12660,54486,11029,31788
4호선,남태령,1737,2357,2078,4105,2755,1301,2465,1398,1507,1295,1567,802
4호선,노원,44227,8821,45968,22204,23296,40957,26008,61998,18636,50364,26262,27723
4호선,당고개,40628,5730,40855,9933,13252,21028,12066,33006,7655,30473,5568,20651
4호선,동대문,4008,29531,5366,62971,73719,11360,58798,8008,24607,10243,21494,7175
4호선,동대문역사문화공원(DDP),4856,21407,6345,57068,40603,11589,59480,12009,31771,19620,26702,8539
4호선,동작(현충원),3213,3064,5029,5348,5039,3958,5047,5235,2314,3699,1819,2435
4호선,명동,2337,29962,4039,80203,45391,14777,80072,12702,35733,7350,31659,3675
4호선,미아(서울사이버대학),38820,7624,45097,23586,18593,26722,21535,41813,11958,34790,8394,21437
4호선,미아사거리,75130,11606,85753,26926,32691,56121,34672,90016,24403,69862,28298,39872
4호선,사당,50562,15827,68847,27093,29838,40381,34592,59255,23636,42494,25881,25654
4호선,삼각지,3863,9039,5675,21678,11127,6472,18868,8721,7790,5642,6354,3364
4호선,상계,71436,7357,64189,16014,18569,33339,17757,55351,10829,53708,9241,32284
4호선,서울역,9222,25010,11676,62640,27077,17962,47146,19394,16997,14218,11077,9972
4호선,성신여대입구(돈암),35179,11989,44641,25560,29534,35756,33979,53815,22811,40707,24066,23616
4호선,수유(강북구청),89612,16084,104879,46058,43678,65351,49110,105573,28117,91310,25127,54468
4호선,숙대입구(갈월),12183,15233,20324,38238,25567,18153,37422,24532,18113,16920,15061,10576
4호선,신용산,7943,25126,12881,68281,38782,17076,65855,20898,33398,13127,25228,7698
4호선,쌍문,101218,11102,108748,22505,27658,53386,27194,90782,16401,88425,13112,53066
4호선,이촌(국립중앙박물관),9340,10575,13562,21029,14735,10845,17981,16305,7459,12163,5881,7242
4호선,창동,74272,13131,66450,31954,34160,50334,35034,78744,19467,70369,19176,40649
4호선,총신대입구(이수),36387,13197,48101,34783,28902,40029,35895,59477,20500,39779,21728,21848
4호선,충무로,5773,46011,10071,148161,66893,18967,125589,20315,60000,11893,43511,6463
4호선,한성대입구(삼선교),24268,11145,30365,21273,22075,22796,23398,31998,12125,25875,10606,16048
4호선,혜화,13169,38665,17539,94493,74192,34567,94641,39114,46520,28608,46986,12426
4호선,회현(남대문시장),3537,40456,5984,100898,70993,12135,94022,10188,38123,6055,39320,3687
5호선,강동,46144,23590,59210,42993,33859,29416,40581,45993,18864,40279,14010,24382
5호선,개롱,18934,5561,17930,12941,8865,11565,11032,17512,5062,17193,4021,8898
5호선,개화산,15899,4168,14748,9249,6872,7562,8665,12585,3845,12652,2704,7369
5호선,거여,25706,6012,24884,13330,12093,12750,11737,20381,5015,20854,3965,9963
