사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201911,7호선,학동,7,0,3493,1709,5549,22429,10095,49306,14375,191770,12664,144176,11942,52691,15484,34215,19745,28355,24978,30584,30216,26238,36654,22850,43837,23143,65356,25412,169171,25606,83119,16802,42566,10393,40182,8739,29705,7397,12288,5845,2127,2307,0,0,0,0,0,0,20191203
201911,8호선,가락시장,10,0,2678,2414,5405,6567,10802,13153,15907,40169,11985,19498,11378,13581,11960,13637,12364,13374,13371,13753,14490,13565,15792,13974,16687,15828,20057,20344,29762,28407,15112,20455,13037,12104,14201,10025,12090,8865,5694,5449,1016,2772,2,608,0,0,0,0,20191203
201911,8호선,강동구청,22,0,4976,940,10782,5761,33384,14288,46977,35104,27742,15584,17760,12362,15668,10533,16204,11493,16761,14497,15131,15176,15078,16832,17543,20756,21399,25276,29946,37782,12238,30699,8748,18505,7592,16770,5857,16895,2111,9734,343,3225,0,0,0,0,0,0,20191203
201911,8호선,남한산성입구(성남법원.검찰청),49,2,10461,1492,21541,5280,54727,12065,74686,35295,39170,34487,24148,18728,22434,12609,23963,16553,21943,19315,20074,15689,23540,19821,27674,23963,30888,28875,29283,46643,13958,41047,9404,25369,7729,25134,5431,25886,2633,15711,424,4952,1,20,0,0,0,0,20191203
201911,8호선,단대오거리,13,0,9682,1690,16006,5617,39100,11583,49967,23122,27012,13281,18175,9273,16761,8547,18759,10974,17299,11620,15115,12666,17090,16610,19059,20935,22255,25142,25261,39070,12763,33464,8361,22166,6779,19407,5599,19151,2528,12630,521,3584,1,139,0,0,0,0,20191203
201911,8호선,모란,10,0,2202,553,2903,3447,9932,4929,13441,9306,7980,6047,7072,5622,7340,6725,9325,6660,10289,7021,10264,6723,10860,6833,12801,7938,12186,8487,11834,10481,7252,7766,4817,4884,4850,4772,4232,4053,2589,2530,650,1439,0,432,0,0,0,0,20191203
201911,8호선,몽촌토성(평화의문),2,0,1666,1267,3149,5066,9280,8874,15098,28492,9952,17694,7171,10437,7669,9943,8266,9988,8728,10043,9916,9520,11308,9365,13155,10212,16916,11445,24147,14721,10677,11107,8290,7023,7697,6162,5814,6266,3018,3449,401,1312,0,0,0,0,0,0,20191203
201911,8호선,문정,6,0,2545,2385,6735,10281,25577,34152,36249,166687,22932,78664,18646,29853,18745,21718,21619,21227,25113,23754,27021,21629,30266,22464,32366,22636,57389,26890,129937,35625,46896,29343,29860,17434,27033,14723,18804,15072,7660,8381,1131,3013,0,0,0,0,0,0,20191203
201911,8호선,복정,3,0,3754,2141,11717,9178,36210,12713,48444,24350,29162,19984,17665,12571,15090,9902,17146,12053,16596,12138,17035,12400,18254,13398,23715,16698,29702,23310,31977,35058,17777,30837,12071,19602,9488,16796,8294,16135,3299,7929,617,1817,0,0,0,0,0,0,20191203
201911,8호선,산성,33,0,4982,1268,8445,7808,20886,4601,27939,11718,16094,7876,10086,7364,8615,5518,9648,5967,8962,6510,8469,6671,9444,8949,12922,11045,14638,13248,9587,19749,4764,17234,3282,12217,2412,11809,1609,11494,828,6613,184,2034,0,13,1,1,0,0,20191203
201911,8호선,석촌,1,0,3090,621,5856,3715,18229,7871,28720,23987,17143,19310,11807,13268,11768,12267,13177,14135,13434,14773,12660,14913,13192,15764,14339,17712,17510,21826,21331,31987,11985,23994,9569,14542,10119,13441,8565,12090,3648,7969,592,2689,1,118,0,0,0,0,20191203
201911,8호선,송파,0,0,3086,747,10788,4117,35372,14219,45157,21452,26643,11785,18008,8905,15768,8281,18117,9991,16213,12178,14225,13758,14931,15197,17974,19084,17676,22710,19756,32882,10004,28474,7172,17214,6307,17494,4164,15405,1850,10626,291,2766,0,235,0,0,0,0,20191203
201911,8호선,수진,1,0,4022,622,6520,2802,16089,4547,23361,14118,13992,8298,10234,6870,9428,7278,11414,6585,10646,10090,9028,10106,10753,9598,12872,10748,12496,11668,9988,17254,5936,14650,4820,8849,4798,8453,3349,8225,1605,5257,243,1816,3,233,0,0,0,0,20191203
201911,8호선,신흥,0,0,4115,634,6487,2623,13524,3367,17997,6123,11425,6156,7868,5550,7720,5967,8020,7397,7747,9071,8040,9491,8461,10634,9815,12220,9939,14007,9144,18927,5802,16221,5037,10360,4268,9427,3304,7760,1571,5306,285,1566,1,185,0,0,0,0,20191203
