from,to,line,in_7,out_7,in_8,out_8,in_17,out_17,in_18,out_18,in_19,out_19,in_20,out_20
불광,독바위,6,15172,2106,15388,3220,4109,7752,3345,11529,2063,11309,1186,6983
독바위,연신내,6,159009,30284,190114,41996,70439,100784,63513,156547,44608,148630,34628,91275
연신내,구산,6,32558,9127,40093,7952,12465,15616,11328,22256,6952,21388,5570,11990
구산,응암,6,79257,11199,100320,19558,27602,47978,26269,76669,16276,73242,12079,42046
응암,새절(신사),6,61353,10967,74529,20117,24262,37374,21010,55648,13024,47150,9831,31514
새절(신사),증산(명지대앞),6,45439,6576,55708,13438,16121,28174,16963,42249,10135,38139,7529,24322
증산(명지대앞),디지털미디어시티,6,76169,58443,85285,178752,80572,51946,160597,78042,71720,62824,44111,38211
디지털미디어시티,월드컵경기장(성산),6,10261,8065,12598,18891,54391,23535,54580,19707,32591,13902,16239,7591
월드컵경기장(성산),마포구청,6,45043,16145,61584,40955,31417,30864,46058,43193,25843,36083,16508,24903
마포구청,망원,6,31204,9127,45557,34258,30982,40408,42941,54273,28927,43373,22573,23920
망원,합정,6,65921,56643,90669,157391,122026,121081,181649,176483,123006,135548,100121,73382
합정,상수,6,11091,7952,16828,32217,27870,29017,36389,39597,25571,32000,23083,17848
상수,광흥창(서강),6,20925,19032,28678,42694,22863,18381,35084,25418,16911,19508,12106,12525
광흥창(서강),대흥(서강대앞),6,16356,15848,23986,44201,25389,18711,32742,26986,16822,19814,13396,11344
대흥(서강대앞),공덕,6,57816,76236,83563,240009,109679,76972,200920,120230,84530,78782,64670,46085
공덕,효창공원앞,6,22786,13163,36831,44284,24750,19959,40008,29219,19838,21919,12063,14499
효창공원앞,삼각지,6,14299,24755,22103,56992,38346,22270,57242,28709,25606,20738,19377,14186
삼각지,녹사평(용산구청),6,5954,9624,10694,17730,18728,17513,22947,22565,15814,17747,14207,10107
녹사평(용산구청),이태원,6,16766,11933,21272,34358,42064,53819,49811,73965,41872,71751,40895,50145
이태원,한강진,6,4207,19582,5904,39530,33618,20868,37242,25804,26427,15882,20844,6340
한강진,버티고개,6,5882,2874,9483,6162,5184,5454,7005,7259,4075,6468,2768,4365
버티고개,약수,6,36263,23286,56009,58257,39585,41917,52962,59071,31926,43440,24367,27922
약수,청구,6,15792,11494,25658,44659,17159,16396,28820,21810,19693,16924,11955,10782
청구,신당,6,40330,35439,64907,91806,57896,50674,71624,66812,44886,64090,34560,38999
신당,동묘앞,6,18281,23634,25505,61866,73584,37760,67522,31531,32865,23845,19514,16754
동묘앞,창신,6,16597,6384,20818,8832,5678,6686,5931,9495,3943,8837,3511,5775
창신,보문,6,24705,12400,40553,27137,19151,18680,24671,27730,13602,23021,10016,15019
보문,안암(고대병원앞),6,9740,17960,14849,61867,50456,21687,47981,29809,29068,22778,25007,15230
안암(고대병원앞),고려대(종암),6,23476,12340,32585,37130,28357,18915,29347,28116,15471,24237,12865,14403
고려대(종암),월곡(동덕여대),6,46856,8765,53347,33173,25609,29346,31137,44461,17719,38878,13512,22914
월곡(동덕여대),상월곡(한국과학기술연구원),6,27103,4346,30966,18998,12701,13441,13203,21153,8240,19628,4546,11603
상월곡(한국과학기술연구원),돌곶이,6,34642,7118,41319,19373,16447,20954,17154,29769,12329,27364,7349,16498
돌곶이,석계,6,87450,17214,101957,33185,39230,72437,36904,98921,26709,94040,20225,58135
석계,태릉입구,6,43639,16548,54519,39377,34604,34216,37648,49885,23396,47707,17367,29311
태릉입구,화랑대(서울여대입구),6,71077,9277,69127,20543,24866,23212,21522,42591,11143,38323,8980,23129
화랑대(서울여대입구),봉화산(서울의료원),6,58923,7398,53484,13564,15677,22498,14380,35566,7641,36564,5586,22383
봉화산(서울의료원),신내,6,2825,3840,2845,3329,1965,2434,2010,2607,1181,2104,814,1158
장암,도봉산,7,88069,12666,70511,29010,42414,36617,32439,48344,17519,54854,10518,34737
도봉산,수락산,7,58637,9594,55498,19790,23015,31233,23515,45587,14350,50741,9781,33340
수락산,마들,7,67488,8866,63350,11572,15581,29202,13835,42390,8588,46473,5885,29043
마들,노원,7,106731,39199,114610,83176,88585,116370,95730,166678,66696,148279,67624,84385
노원,중계,7,72417,19309,74437,35071,27155,33879,23163,50860,13110,52817,9719,32348
중계,하계,7,80027,20314,84496,32430,38330,42389,34110,63749,20655,65335,15774,39357
하계,공릉(서울과학기술대),7,42738,13799,48761,33645,28225,29317,30474,43729,17844,43358,14747,26021
공릉(서울과학기술대),태릉입구,7,43639,16548,54519,39377,34604,34216,37648,49885,23396,47707,17367,29311
태릉입구,먹골,7,43026,6101,51184,16262,17209,26949,18444,39741,11719,39275,7996,23202
먹골,중화,7,43304,10173,56392,25266,19318,28586,22827,41207,14460,40387,9605,24636
중화,상봉(시외버스터미널),7,83255,21238,104293,48584,46966,57338,52695,85144,36817,82628,27886,47578
상봉(시외버스터미널),면목,7,65102,10860,84103,36049,28088,43287,26848,59473,21305,57429,14253,34096
면목,사가정,7,56109,13660,72782,29915,29015,41026,28876,61826,21776,56312,15252,33979
사가정,용마산,7,27962,4779,34503,11013,10279,14861,9162,22730,6371,21383,3796,13534
용마산,중곡,7,36836,12395,52322,22616,20940,23197,18248,34101,12521,32786,7763,19338
중곡,군자(능동),7,76132,18859,117770,53408,49577,59834,63507,94986,41791,79147,31740,45807
군자(능동),어린이대공원(세종대),7,19740,16846,34986,69312,59255,25824,53908,33804,29302,26314,25286,17140
어린이대공원(세종대),건대입구,7,79083,50751,137446,125411,140141,166938,155664,252716,120500,195427,122980,111922
건대입구,뚝섬유원지,7,23554,7283,34892,15741,23867,31617,27462,37956,23003,30655,20375,17828
뚝섬유원지,청담,7,13888,63872,20487,170520,63664,26130,117834,30773,69870,21310,40049,14202
청담,강남구청,7,16098,46268,24042,173646,67757,41893,144387,47568,83991,34239,53317,20178
강남구청,학동,7,10011,50842,14419,193689,63038,24269,167940,24657,83497,16924,43135,10790
학동,논현,7,10513,45859,18569,128661,51195,31761,109896,41864,65693,29301,42597,15934
논현,반포,7,10865,13662,15700,25469,18421,12385,22082,14575,14787,10716,11351,6607
반포,고속터미널,7,58586,128065,102393,195138,281870,244264,286949,266759,249402,183899,273786,112185
고속터미널,내방,7,19595,23485,32709,87813,37000,26749,75320,35030,30253,25889,22105,15631
내방,총신대입구(이수),7,54564,20915,75615,47807,41738,65181,51815,95053,32195,69477,28272,39268
총신대입구(이수),남성,7,43291,7520,65748,18139,17999,28284,20003,44074,12229,36708,10138,23029
남성,숭실대입구(살피재),7,44012,10400,64161,42384,39666,33273,32892,53891,22176,45873,19401,27600
숭실대입구(살피재),상도,7,36553,9291,50701,30177,26492,25786,27037,42624,15018,34053,12402,21624
상도,장승배기,7,35158,9565,52326,21421,17674,26439,20595,40344,11907,33406,9273,20600
장승배기,신대방삼거리,7,57124,15549,91609,38654,27139,37227,36043,63740,19535,55721,15622,34800
신대방삼거리,보라매,7,22448,20964,34230,47863,23354,18646,37006,30366,15281,24639,11370,14104
보라매,신풍,7,40233,12838,53767,23694,24012,29070,23955,42319,14022,33439,9599,20185
신풍,대림(구로구청),7,98736,33048,139323,88218,78838,114438,96677,125750,56842,95129,43050,65951
대림(구로구청),남구로,7,34718,27374,41695,109859,35996,44631,84728,41877,39926,29048,22197,19472
남구로,가산디지털단지,7,39589,150765,42493,584401,216756,65510,468145,75844,204855,57172,116396,32476
가산디지털단지,철산,7,100670,17069,110946,35004,40535,64092,44825,105858,27261,98541,23832,52619
철산,광명사거리,7,101188,18293,126107,31110,43999,66955,42249,106239,29108,90041,21653,51519
광명사거리,천왕,7,48374,7478,57881,14649,15528,22370,14780,38402,8649,37482,5826,22221
천왕,온수(성공회대입구),7,78884,28165,90989,44455,40196,41103,34191,70652,17414,64075,14083,38552
온수(성공회대입구),까치울,7,35020,5831,44152,11427,13086,19737,13303,31276,8116,27807,5953,17958
까치울,부천종합운동장,7,22111,6064,26437,12479,9620,9542,12437,15180,5710,14254,3557,8618
부천종합운동장,춘의,7,26941,28410,28287,55214,26802,14608,45653,21989,17360,20829,12048,13500
춘의,신중동,7,51771,14533,50667,47081,30811,32823,45882,50352,22029,51466,22648,26582
신중동,부천시청,7,46939,15958,45220,29462,28257,29517,30299,46975,20646,45898,20769,24368
부천시청,상동,7,47572,13724,44144,32286,30586,35656,36193,51922,23390,48949,20733,27051
상동,삼산체육관,7,28710,3316,27169,8203,9775,13192,7993,20268,5208,18238,3534,11873
삼산체육관,굴포천,7,42105,5657,42605,12507,14851,25091,16473,41760,9613,41387,7251,25182
굴포천,부평구청,7,72582,12423,59369,14166,21042,21108,18636,39036,11547,42286,7992,26333
부평구청,산곡,7,0,0,0,0,0,0,0,0,0,0,0,0
산곡,석남,7,0,0,0,0,0,0,0,0,0,0,0,0
암사,천호(풍납토성),8,84337,41961,114058,74516,88170,107838,104901,154881,71981,124712,63745,69014
천호(풍납토성),강동구청,8,35049,14360,47183,35575,20643,25661,29839,37412,12884,31456,8718,19195
강동구청,몽촌토성(평화의문),8,9801,9808,15082,31200,18630,11417,25681,14777,11776,11080,8520,7386
몽촌토성(평화의문),잠실(송파구청),8,139697,135249,211092,304565,268940,231497,368330,312427,264048,223094,247370,134890
잠실(송파구청),석촌,8,40829,13103,54796,32760,31296,36742,36952,55513,22520,46393,18217,27112
석촌,송파,8,37519,15091,44415,21672,17637,22594,20324,32810,10565,29201,7178,17614
송파,가락시장,8,36438,24881,44133,73533,40929,42116,63801,55968,29546,44819,24593,28176
가락시장,문정,8,26388,37989,35669,165125,54671,26019,128083,34711,46796,29869,29553,17587
문정,장지,8,56611,20446,66613,55600,41412,39312,59356,58019,32777,46651,24992,26875
장지,복정,8,37879,13388,48745,24104,29271,22972,31387,35586,18600,30809,13098,20807
복정,산성,8,21978,4805,28850,13149,14802,13518,10632,20092,5399,18050,3644,12835
산성,남한산성입구(성남법원.검찰청),8,57685,12739,75734,35352,29942,29725,29542,46443,14836,42604,9684,26523
남한산성입구(성남법원.검찰청),단대오거리,8,41487,12014,50555,23186,22112,25535,25891,40014,13441,34760,9514,23435
단대오거리,신흥,8,14058,3483,18298,5907,9712,14184,9088,19363,5789,16620,4729,10619
신흥,수진,8,16753,4927,24307,14498,13016,11879,10376,17880,5992,14984,4994,8982
수진,모란,8,74478,31374,97548,53757,66475,64182,63887,87324,37318,72250,26437,49062
개화,김포공항,9,27136,63092,39285,69762,78522,69407,103055,73088,70730,46288,60308,21639
김포공항,공항시장,9,9241,2070,10667,4307,5336,8252,5195,10924,3284,11344,2798,7082
공항시장,신방화,9,30813,5917,31191,11608,10613,16640,11343,25351,6621,24313,5250,15661
신방화,마곡나루,9,39428,26637,43429,73742,61660,28683,68327,44449,30683,41113,23013,25369
마곡나루,양천향교,9,29347,10349,30542,32859,21002,17406,28370,25212,12109,26847,7603,17464
양천향교,가양,9,80959,27183,88507,44796,44408,46669,48841,72715,24706,68844,17447,43916
가양,중미,9,0,0,0,0,0,0,0,0,0,0,0,0
중미,등촌,9,38662,7583,44668,19233,19609,25508,19811,39783,10088,37664,7698,20638
등촌,염창,9,82457,9203,92715,24550,25422,41390,29665,71258,15518,68701,12093,43916
염창,신목동,9,20735,3630,19627,5710,7786,8895,7613,14581,3671,12470,2813,8460
신목동,선유도,9,19147,10271,20720,36180,18872,12258,34145,19168,13405,16087,8195,9622
선유도,당산,9,107781,49136,138130,141717,92270,97471,129125,150952,70667,121015,51585,81492
당산,국회의사당,9,4353,44885,7195,146410,62608,23140,121407,21900,49049,11820,37148,6669
국회의사당,여의도,9,21355,246417,29358,401281,223752,65637,333852,84043,137622,49052,106182,25613
여의도,샛강,9,5030,12458,6397,26902,17584,11120,27383,14517,11067,9840,11542,5221
샛강,노량진,9,87701,82657,135729,123623,85504,104547,111974,158024,66691,114225,68114,69551
노량진,노들,9,18474,3166,21012,4789,8861,12156,8436,18200,5030,15047,7333,9219
노들,흑석(중앙대입구),9,19263,12400,24857,28905,30423,22818,27041,32825,16122,25899,14219,16888
흑석(중앙대입구),동작(현충원),9,11244,6071,15561,12656,12262,10524,13234,14349,7093,11131,7431,7592
동작(현충원),구반포,9,5035,3439,6758,6829,7713,7593,9935,9790,5906,7791,4345,4663
구반포,신반포,9,6008,7377,8673,8843,9055,8028,10229,10117,6366,8612,5338,4928
신반포,고속터미널,9,58586,128065,102393,195138,281870,244264,286949,266759,249402,183899,273786,112185
고속터미널,사평,9,10129,4607,12140,6960,7800,7815,8026,11053,4990,9192,3116,5871
사평,신논현,9,35004,48169,49163,107845,88244,75386,123154,112318,88278,87672,71232,44979
신논현,언주,9,6918,14754,10038,46297,31235,13303,49909,16288,25122,13593,15355,8451
언주,선정릉,9,15424,28280,20209,105968,45985,26409,95706,30963,55445,22894,30175,14049
선정릉,삼성중앙,9,5700,8993,6788,37374,17349,9654,36439,12677,18020,9645,10220,5992
삼성중앙,봉은사,9,10903,35958,11299,103144,66210,27018,97782,29700,53857,20589,38932,11436
봉은사,종합운동장,9,31725,41622,44586,60511,62230,78082,48878,79426,34592,46497,39718,26415
종합운동장,삼전,9,16861,3068,26030,7833,10131,13982,12215,21784,7071,20266,5541,12917
삼전,석촌고분,9,13991,3640,21779,8664,9398,11857,11358,17749,6001,16483,4470,11214
석촌고분,석촌,9,40829,13103,54796,32760,31296,36742,36952,55513,22520,46393,18217,27112
석촌,송파나루,9,9913,2551,13139,7755,7953,10436,10765,16245,6327,13616,5360,7019
송파나루,한성백제,9,6306,1557,7938,5604,7073,4858,8114,5956,3708,5812,2707,3492
한성백제,올림픽공원(한국체대),9,28256,14273,31423,31776,35480,28020,36321,31776,21185,27838,19744,17124
올림픽공원(한국체대),둔촌오륜,9,2869,4529,3470,2245,2399,1754,2467,2821,1213,2475,905,1553
둔촌오륜,중앙보훈병원,9,32323,11305,32245,16880,19638,14085,14985,24834,7764,22628,5740,13630
서울역,공덕,인천국제공항철도,57816,76236,83563,240009,109679,76972,200920,120230,84530,78782,64670,46085
공덕,홍대입구,인천국제공항철도,90784,55467,121226,155899,235063,264995,281212,343599,226023,283148,216938,169265
홍대입구,디지털미디어시티,인천국제공항철도,76169,58443,85285,178752,80572,51946,160597,78042,71720,62824,44111,38211
디지털미디어시티,마곡나루,인천국제공항철도,39428,26637,43429,73742,61660,28683,68327,44449,30683,41113,23013,25369
마곡나루,김포공항,인천국제공항철도,27136,63092,39285,69762,78522,69407,103055,73088,70730,46288,60308,21639
김포공항,계양,인천국제공항철도,64446,4308,52569,7276,12862,23199,11415,41399,6865,44358,5002,29519
계양,검암,인천국제공항철도,46253,8851,33479,16804,12790,17365,17332,30251,7063,33572,5590,21810
검암,청라국제도시,인천국제공항철도,36942,8261,23382,19354,14055,14244,20742,21978,6556,26847,4572,15931
청라국제도시,영종,인천국제공항철도,11859,2684,9149,3854,5739,7610,4728,9258,2873,10603,2089,7395
영종,운서,인천국제공항철도,21162,10600,20689,16026,17578,16892,15427,24133,8941,20825,8243,17113
운서,공항화물청사,인천국제공항철도,2173,15696,2680,27336,10467,1604,20579,1089,5342,2982,3605,3427
공항화물청사,인천공항1터미널,인천국제공항철도,22310,38326,22777,43518,40682,29785,40396,27502,27209,25201,24448,20974
인천공항1터미널,인천공항2터미널,인천국제공항철도,7988,16048,8190,14286,20929,11113,22050,6223,11063,3404,8559,2341
임진강,문산,경의·중앙선,20547,8266,21741,16117,14697,13531,14053,17515,6715,17155,5190,12712
문산,파주,경의·중앙선,3516,2769,4465,10021,8433,1911,6208,2064,2292,2187,1485,1912
파주,월롱,경의·중앙선,2672,10091,3071,16835,10765,3039,15487,3263,5572,3522,4355,2991
월롱,금촌,경의·중앙선,24154,12112,25275,19018,16247,18850,19337,21010,10249,22297,7432,12860
금촌,금릉,경의·중앙선,20004,5477,16739,10913,10386,14440,10594,16938,5771,17178,4695,9317
금릉,운정,경의·중앙선,33559,6102,30349,9541,11316,17196,10399,22776,5226,23730,4115,13510
운정,야당,경의·중앙선,25416,4757,23655,8441,10126,17112,9531,20623,6087,21928,5514,12193
야당,탄현,경의·중앙선,46804,7037,32785,11274,12070,21811,13665,28862,7314,35488,5796,19190
탄현,일산,경의·중앙선,56273,7920,39988,20119,15313,23614,14003,34819,7611,38852,5952,22268
일산,풍산,경의·중앙선,27240,4472,22657,8125,9546,13452,9138,19687,5424,19035,4430,13135
풍산,백마,경의·중앙선,40537,7877,31868,13683,12087,14818,13568,26497,5909,27346,4205,16609
백마,곡산,경의·중앙선,2146,1671,1753,2978,1863,1085,2157,1832,722,1418,530,874
곡산,대곡,경의·중앙선,7072,2006,7373,4073,4355,3157,5810,4598,2563,4124,1467,2407
대곡,능곡,경의·중앙선,18624,3002,19161,6793,6527,9928,6820,12711,3887,11556,2811,7846
능곡,행신,경의·중앙선,45435,5795,39984,11579,14099,20996,12653,35501,7381,36127,7097,16603
행신,강매,경의·중앙선,20757,1319,18244,3783,3623,7183,3957,10383,1762,12035,1219,6957
강매,화전,경의·중앙선,4283,2542,6442,10680,10593,3657,9909,4426,5121,4367,3890,3246
화전,수색,경의·중앙선,2754,5118,3426,17791,8562,3760,15552,3349,6449,2467,3677,1733
수색,디지털미디어시티,경의·중앙선,76169,58443,85285,178752,80572,51946,160597,78042,71720,62824,44111,38211
디지털미디어시티,가좌,경의·중앙선,22515,4064,26905,9218,10662,14133,11101,16803,6114,17219,4764,9709
가좌,홍대입구,경의·중앙선,90784,55467,121226,155899,235063,264995,281212,343599,226023,283148,216938,169265
홍대입구,서강대,경의·중앙선,3452,4599,4072,9922,6718,4574,7586,5530,4756,4377,4525,2717
서강대,공덕,경의·중앙선,57816,76236,83563,240009,109679,76972,200920,120230,84530,78782,64670,46085
공덕,효창공원앞,경의·중앙선,22786,13163,36831,44284,24750,19959,40008,29219,19838,21919,12063,14499
효창공원앞,용산,경의·중앙선,25499,89914,37689,174800,131048,84332,175955,102343,110708,68905,112654,46650
용산,이촌(국립중앙박물관),경의·중앙선,25428,20731,34767,39755,46872,33505,45460,43774,22239,32396,20731,18559
이촌(국립중앙박물관),서빙고,경의·중앙선,3554,4796,4586,8851,6978,4466,7848,5468,3406,4846,3028,2606
서빙고,한남,경의·중앙선,6040,10812,8019,16135,15386,9120,18359,10482,9735,7717,7275,4977
한남,옥수,경의·중앙선,28232,9258,40603,18205,20711,27652,21792,39338,14373,31407,10607,22550
옥수,응봉,경의·중앙선,8421,1889,9641,2923,3547,5000,3449,6147,2066,5911,1351,3633
응봉,왕십리(성동구청),경의·중앙선,68648,34454,117540,83485,97572,103221,108727,164778,75098,123470,70654,73598
왕십리(성동구청),청량리(서울시립대입구),경의·중앙선,81179,40220,100983,74031,109522,102113,95179,123920,64677,95842,64656,54536
청량리(서울시립대입구),회기,경의·중앙선,65305,33969,83479,78061,80168,65856,72382,89550,44427,77319,37966,48033
회기,중랑,경의·중앙선,26298,4088,25029,7296,8379,15280,9396,23096,5995,20683,4129,12002
중랑,삼봉,경의·중앙선,0,0,0,0,0,0,0,0,0,0,0,0
삼봉,망우,경의·중앙선,34749,6252,30093,17515,15781,22658,16315,30729,11314,27123,7882,15064
망우,양원,경의·중앙선,6662,10915,4660,6964,4386,3684,3337,4354,1752,4241,1197,2717
양원,구리,경의·중앙선,67934,13654,57326,23766,28328,39619,27277,55301,16511,53025,14710,31511
구리,도농,경의·중앙선,58035,9942,51426,15879,18161,23587,15208,37816,7741,37840,5550,22606
도농,양정,경의·중앙선,2857,2418,2356,4300,3817,1273,3979,1971,1583,1696,723,944
양정,덕소,경의·중앙선,29960,4510,30788,8512,10078,17821,9328,21752,5655,26575,4138,15618
덕소,도심,경의·중앙선,17157,2235,13470,5973,4512,6567,4559,8015,1933,7897,1487,4360
도심,팔당,경의·중앙선,1690,1238,1770,2444,4082,2397,3166,2207,2318,1534,1692,822
팔당,운길산,경의·중앙선,1917,1199,2293,1871,4902,1462,2725,1364,1105,1364,794,931
운길산,양수,경의·중앙선,8111,2859,5398,3924,6609,5694,5238,4691,2949,4903,2170,4881
양수,신원,경의·중앙선,619,303,520,809,824,429,651,478,333,319,192,320
신원,국수,경의·중앙선,2777,645,2417,2371,1737,1608,1202,2413,677,1799,450,1937
국수,아신,경의·중앙선,2584,802,1831,2378,2130,1868,1451,2260,1103,1746,621,1447
아신,오빈,경의·중앙선,1261,338,1201,680,891,1092,591,1093,233,807,157,612
오빈,양평,경의·중앙선,34920,13115,36328,47591,23050,21647,39956,30551,15383,24046,9664,17140
양평,원덕,경의·중앙선,1361,542,1464,802,883,1355,869,1166,352,795,213,786
원덕,용문,경의·중앙선,4610,2505,6079,5310,8967,5944,5117,4734,2829,3445,1454,4164
용문,지평,경의·중앙선,351,280,260,191,0,3,57,96,102,144,20,1
서울역,신촌,경의·중앙선,505,3196,787,9807,4614,2462,4995,2841,2312,1607,2242,1079
신촌,서울역,경의·중앙선,87948,200290,157041,432584,285787,197502,432083,205334,235908,157095,171212,116898
청량리(서울시립대입구),회기,경춘선,65305,33969,83479,78061,80168,65856,72382,89550,44427,77319,37966,48033
회기,중랑,경춘선,26298,4088,25029,7296,8379,15280,9396,23096,5995,20683,4129,12002
중랑,상봉(시외버스터미널),경춘선,83255,21238,104293,48584,46966,57338,52695,85144,36817,82628,27886,47578
상봉(시외버스터미널),망우,경춘선,34749,6252,30093,17515,15781,22658,16315,30729,11314,27123,7882,15064
망우,신내,경춘선,2825,3840,2845,3329,1965,2434,2010,2607,1181,2104,814,1158
신내,갈매,경춘선,17163,2689,11782,5816,4820,6054,5132,6891,2824,11746,2043,5770
갈매,별내,경춘선,10361,4241,9958,7607,7648,6890,6528,7399,3685,8484,3058,4899
별내,퇴계원,경춘선,23046,3807,17096,5844,5328,9815,6541,14812,3695,13530,2331,8401
퇴계원,사릉,경춘선,20854,7039,17368,7911,6862,7873,8520,11936,3614,16143,2259,6788
사릉,금곡,경춘선,6470,2541,6604,5301,3574,4161,4385,4633,1592,4699,940,2247
금곡,평내호평,경춘선,31155,4753,24416,10053,10583,20348,10203,19986,6155,24290,5006,13165
평내호평,천마산,경춘선,9266,1888,7623,1672,2150,5033,2304,5624,993,5994,761,4283
천마산,마석,경춘선,20126,6465,14875,9017,7742,11870,8754,11427,3910,15409,3125,8962
마석,대성리,경춘선,1365,944,1404,1593,2072,1600,1642,1388,814,1100,450,983
대성리,청평,경춘선,4499,2449,6888,5310,6361,6014,6547,4931,2145,4654,1462,2373
청평,상천,경춘선,686,382,922,1110,1514,656,721,696,321,577,120,393
상천,가평,경춘선,3171,3618,4601,7803,11985,4509,9261,4393,3843,3751,2615,2267
가평,굴봉산,경춘선,168,261,250,466,614,251,389,205,244,155,124,140
굴봉산,백양리,경춘선,68,355,128,371,505,110,278,145,113,105,60,50
백양리,강촌,경춘선,539,541,557,3165,3630,809,1853,805,886,619,490,528
강촌,김유정,경춘선,579,529,492,1133,1889,772,1495,596,708,413,219,283
김유정,남춘천,경춘선,4905,3193,6332,6470,8659,8741,7032,5361,5058,9583,3663,4928
남춘천,춘천,경춘선,2163,2920,3102,6640,10304,3785,6948,2949,4306,4088,2727,2029
판교,이매,경강선,22044,13524,25505,22150,21123,18191,19005,22711,10243,19903,7913,11544
이매,삼동,경강선,12593,2149,15174,2477,3549,5688,3199,8422,1439,9073,937,5706
삼동,경기광주,경강선,37663,4987,43126,11280,11597,18694,10628,32032,5174,30491,3623,19885
경기광주,초월,경강선,13021,4010,14785,5911,5591,6019,5965,10672,2828,9188,1696,8382
초월,곤지암,경강선,7088,5112,6861,8054,9284,4975,7946,6147,3374,6470,1872,3831
곤지암,신둔도예촌,경강선,4511,2094,4517,4374,5143,3064,3753,3505,1506,3899,1035,2585
신둔도예촌,이천,경강선,8262,5449,8430,8833,6652,7449,7821,8480,4437,8625,3366,6569
이천,부발,경강선,5508,4620,5483,7448,6001,4298,6869,4167,2491,5482,2200,3758
부발,세종대왕릉,경강선,1053,514,1127,590,877,784,696,730,270,1181,179,519
세종대왕릉,여주,경강선,6485,2804,5898,5705,8702,4953,5723,5335,3944,7476,2391,5356
청량리(서울시립대입구),왕십리(성동구청),분당선,68648,34454,117540,83485,97572,103221,108727,164778,75098,123470,70654,73598
왕십리(성동구청),서울숲,분당선,15547,12808,26222,38253,34304,17638,42486,24193,21607,19020,13131,11029
서울숲,압구정로데오,분당선,6187,22499,10553,74242,53736,36692,84838,44261,64325,30413,53393,12384
압구정로데오,강남구청,분당선,16098,46268,24042,173646,67757,41893,144387,47568,83991,34239,53317,20178
강남구청,선정릉,분당선,15424,28280,20209,105968,45985,26409,95706,30963,55445,22894,30175,14049
선정릉,선릉,분당선,30378,150692,48756,465804,218717,88905,392753,100338,193903,68267,122701,39431
선릉,한티,분당선,23615,24391,30716,50303,41888,44137,47229,40361,30376,30152,33676,18014
한티,도곡,분당선,20842,28949,30959,54977,39336,24092,48963,27658,25417,25507,16477,16204
도곡,구룡,분당선,3197,8794,5483,5971,5220,3356,4504,3824,1846,3449,1154,2237
구룡,개포동,분당선,9153,5985,10801,10003,8586,8241,8276,11191,5113,9771,3793,6119
개포동,대모산입구,분당선,10862,4577,13317,10530,8622,6760,8833,8526,4217,7519,2887,5138
대모산입구,수서,분당선,70571,62882,97044,108090,82946,77034,107835,101584,52105,81616,47994,57157
수서,복정,분당선,37879,13388,48745,24104,29271,22972,31387,35586,18600,30809,13098,20807
복정,가천대,분당선,19401,7678,29212,45242,35757,19058,24430,27555,16735,24535,14064,17869
가천대,태평,분당선,47829,9342,71143,18505,22037,38426,23336,54694,13809,43548,10540,30430
태평,모란,분당선,74478,31374,97548,53757,66475,64182,63887,87324,37318,72250,26437,49062
모란,야탑,분당선,63937,43734,80713,106822,71851,69277,100063,91438,56777,77225,42311,48031
야탑,이매,분당선,22044,13524,25505,22150,21123,18191,19005,22711,10243,19903,7913,11544
이매,서현,분당선,39764,41270,51004,90822,74787,61639,102424,77456,64776,64223,60196,36334
서현,수내,분당선,20844,16947,28326,59743,37628,28155,53532,35357,30215,27180,29765,17187
수내,정자,분당선,32981,24986,41783,69600,41813,38146,62369,55105,37263,48484,27093,30428
정자,미금,분당선,30911,20988,41176,52604,42582,41222,48195,52787,27337,45157,22220,29793
미금,오리,분당선,36100,14697,40989,36716,28540,21477,38673,31657,17835,28040,13736,19448
오리,죽전,분당선,51144,20000,49543,36329,40390,42590,44234,54576,31400,51409,32991,33086
죽전,보정,분당선,10975,2649,13149,7547,5643,6152,4160,7326,2118,6968,1611,5014
보정,구성,분당선,24999,5072,26657,9167,8590,13995,9512,20734,4487,19231,3283,12330
구성,신갈,분당선,21622,2538,24590,7538,7988,12583,6366,17986,3008,16330,2243,11920
신갈,기흥,분당선,43272,9613,46792,26355,22624,26103,22836,38666,14201,38450,11238,26282
기흥,상갈,분당선,24022,7405,27898,12224,12769,15460,13055,18624,7834,17848,5017,14346
상갈,청명,분당선,21029,6101,21901,10852,8922,10607,10581,14403,4889,14922,3463,10488
청명,영통,분당선,21706,10426,23344,31368,27910,24424,32554,31563,16974,25456,14913,17804
영통,망포,분당선,56799,21422,57760,42109,32210,31847,46546,45780,24047,47325,17559,32053
망포,매탄권선,분당선,20755,4485,21613,11306,10304,12660,9673,17831,5290,16014,3754,10894
매탄권선,수원시청,분당선,26872,15814,27780,46089,31320,31635,39670,43107,23187,41945,21822,25250
수원시청,매교,분당선,8290,5903,9976,11870,8795,6788,5940,8900,2892,6228,1894,3923
매교,수원,분당선,118414,77148,130899,123045,146552,144183,145746,164101,124761,158713,118223,87167
수원,고색,분당선,0,0,0,0,0,0,0,0,0,0,0,0
고색,오목천,분당선,0,0,0,0,0,0,0,0,0,0,0,0
오목천,어천,분당선,0,0,0,0,0,0,0,0,0,0,0,0
어천,야목,분당선,0,0,0,0,0,0,0,0,0,0,0,0
야목,사리,분당선,0,0,0,0,0,0,0,0,0,0,0,0
