from,to,line,in_7,out_7,in_8,out_8,in_17,out_17,in_18,out_18,in_19,out_19,in_20,out_20
명학,금정,1,96848,43991,99912,89127,58922,67553,78886,96889,37981,83914,30380,52850
금정,군포,1,22751,30443,21247,53579,23034,13292,40403,17436,14321,15635,13204,9994
군포,당정,1,31742,10656,28098,21564,17351,16204,19256,22952,8979,22580,7127,15517
당정,의왕,1,33853,28973,36373,33021,29824,20808,29441,29254,14399,25987,10181,18102
의왕,성균관대,1,77487,11844,66012,34963,31415,41024,31342,60094,19449,59686,15997,38563
성균관대,화서,1,47291,7902,38087,15247,15498,23610,13243,34405,7917,35156,6082,20744
화서,수원,1,118414,77148,130899,123045,146552,144183,145746,164101,124761,158713,118223,87167
수원,세류,1,18107,5495,13889,6301,8739,10060,8136,13187,5127,13092,4213,10085
세류,병점,1,57989,22781,53159,36289,42934,43802,45206,51394,25924,54128,18189,39268
병점,세마,1,11563,4509,11315,6735,6753,8248,7202,9953,3443,8433,2537,7931
세마,오산대,1,12399,4822,9838,9801,10695,8632,9432,10241,4230,8735,3660,6813
오산대,오산,1,26992,19315,28718,23463,27684,27876,30886,28091,16173,32517,14611,19705
오산,진위,1,4179,8046,3552,8965,7117,3142,10033,3184,3512,2850,2122,2478
진위,송탄,1,14683,6371,14001,10106,11282,13904,11300,16624,7326,13496,5127,13333
송탄,서정리,1,12993,10773,14394,18545,22431,13289,17210,14218,10816,14288,7418,10286
서정리,지제,1,7626,9410,6404,7952,11276,4887,9872,7641,6382,5926,3816,4740
지제,평택,1,34317,19272,37066,26270,37486,43953,35641,44656,24774,33878,25289,24612
평택,성환,1,7240,11264,9032,20980,19471,8528,16832,9361,7887,8812,6410,7242
성환,직산,1,2329,3104,1952,3446,2770,1930,3382,2611,1391,2066,1105,1394
직산,두정,1,14728,9004,14152,22273,17208,14146,18169,17664,11632,13627,8561,12845
두정,천안,1,11898,8669,12521,14859,23177,17383,20486,19712,13544,12821,10797,11180
천안,봉명,1,3045,3815,3286,3854,3574,1928,2385,3357,1346,2183,1292,1577
봉명,쌍용(나사렛대),1,9461,2318,8110,6910,6380,6553,5643,7635,3415,6533,3520,4829
쌍용(나사렛대),아산,1,8373,5292,6514,6853,9318,9543,11539,7520,7953,7270,6172,5337
아산,배방,1,3826,1147,3248,2018,2542,3696,2756,3250,1547,2622,1184,2586
배방,온양온천,1,10496,5689,12644,9427,10036,10339,10628,12975,5763,8637,4017,7814
온양온천,신창(순천향대),1,3077,3327,2537,10945,7987,2918,8259,4243,3526,3776,2843,3831
금천구청,광명,1,16606,3778,7770,3763,4543,5000,13110,13509,4744,13378,4911,3857
병점,서동탄,1,13668,1709,6501,2614,2983,4389,3216,6096,1796,7302,1116,4110
시청,을지로입구,2,10274,125164,18612,354746,164731,76184,323559,85325,162553,52377,148188,31752
을지로입구,을지로3가,2,9411,98097,18365,249832,119911,56797,220300,69137,106117,44481,75356,24110
을지로3가,을지로4가,2,5436,46317,9867,128496,75955,26303,117646,23915,57831,14914,31427,9067
을지로4가,동대문역사문화공원,2,20577,69764,33631,190741,142582,80547,202205,94219,122924,111993,92796,71107
동대문역사문화공원,신당,2,40330,35439,64907,91806,57896,50674,71624,66812,44886,64090,34560,38999
신당,상왕십리,2,44159,12205,71058,39977,26816,33746,34078,53144,21716,40107,14157,26273
상왕십리,왕십리(성동구청),2,68648,34454,117540,83485,97572,103221,108727,164778,75098,123470,70654,73598
왕십리(성동구청),한양대,2,6737,16774,10469,71026,54547,17756,44293,23915,23515,13193,21484,7902
한양대,뚝섬,2,25301,31831,36244,132834,55820,36034,118274,51711,59220,33236,34233,18569
뚝섬,성수,2,28570,67276,36784,272062,90300,46285,206198,56737,90712,40939,53290,23576
성수,건대입구,2,79083,50751,137446,125411,140141,166938,155664,252716,120500,195427,122980,111922
건대입구,구의(광진구청),2,75311,16725,129492,41837,39817,59275,49205,94979,27224,77645,21222,51827
구의(광진구청),강변(동서울터미널),2,99323,40693,149363,64459,86095,114530,95090,157940,78932,123763,70662,86276
강변(동서울터미널),잠실나루,2,45318,24266,58145,45042,39784,31844,38685,46719,21289,38790,16532,24331
잠실나루,잠실(송파구청),2,139697,135249,211092,304565,268940,231497,368330,312427,264048,223094,247370,134890
잠실(송파구청),잠실새내,2,67113,19348,95186,33742,44943,67661,50202,99840,37629,80194,33045,48049
잠실새내,종합운동장,2,31725,41622,44586,60511,62230,78082,48878,79426,34592,46497,39718,26415
종합운동장,삼성(무역센터),2,21330,133055,28682,365239,215675,81409,333254,89250,210703,56530,149285,28230
삼성(무역센터),선릉,2,30378,150692,48756,465804,218717,88905,392753,100338,193903,68267,122701,39431
선릉,역삼,2,18488,127785,32388,365476,184902,60353,303219,72105,152574,53368,91600,29338
역삼,강남,2,49689,168785,77852,359844,273086,195025,396172,267945,257779,205506,213890,99112
강남,교대(법원.검찰청),2,41543,95259,62426,226459,155419,130225,248917,152264,142100,94137,135349,48592
교대(법원.검찰청),서초,2,17246,54842,28293,133496,77044,59492,123874,57689,78367,36611,68534,18076
서초,방배,2,29471,32092,42135,88063,60528,40830,85259,49140,40204,39399,30068,24927
방배,사당,2,163972,91750,222693,134067,145171,198002,174289,297042,129745,229942,119515,137225
사당,낙성대,2,92868,22379,144420,50301,56066,63935,63133,103880,38411,99963,28912,65693
낙성대,서울대입구(관악구청),2,146064,35478,209363,82767,104272,117984,115108,183414,72944,175683,59275,107474
서울대입구(관악구청),봉천,2,95318,15611,135703,30118,38217,59815,40156,90486,25415,83499,19307,52534
봉천,신림,2,246530,40093,358208,72374,108368,164995,115034,271595,77845,270659,62539,169696
신림,신대방,2,106186,21136,147556,40768,43343,72967,52160,103061,31150,97136,21961,64760
신대방,구로디지털단지,2,161283,76923,212694,274049,133612,131295,254236,191683,135711,164753,83059,106568
구로디지털단지,대림(구로구청),2,98736,33048,139323,88218,78838,114438,96677,125750,56842,95129,43050,65951
대림(구로구청),신도림,2,170710,54709,183951,156801,139779,147258,185888,222474,111533,181164,92019,105365
신도림,문래,2,48291,36034,53009,124675,55533,36911,105501,55937,43150,44778,27771,26253
문래,영등포구청,2,55387,39642,67638,151238,64383,47228,127930,73476,49996,53724,35826,31943
영등포구청,당산,2,107781,49136,138130,141717,92270,97471,129125,150952,70667,121015,51585,81492
당산,합정,2,65921,56643,90669,157391,122026,121081,181649,176483,123006,135548,100121,73382
합정,홍대입구,2,90784,55467,121226,155899,235063,264995,281212,343599,226023,283148,216938,169265
홍대입구,신촌(지하),2,41917,45399,63769,104269,129935,110242,133930,153095,99702,114084,97678,62952
신촌(지하),이대,2,19534,21968,29700,50911,73823,41953,62115,49770,41609,36924,34530,21567
이대,아현,2,29902,14229,41283,25463,25680,25197,25204,34000,14821,28414,10826,19279
아현,충정로(경기대입구),2,24345,26072,35275,110514,42502,26597,90209,36096,30320,27226,20067,17524
충정로(경기대입구),시청,2,14970,139618,22367,445991,194011,62386,378780,64429,153827,36228,117434,20233
성수,용답,2,8995,1850,14355,4419,5496,6991,4727,11012,2971,8450,1989,5471
용답,신답,2,7441,1005,11442,2017,2328,4345,2554,9511,1456,7565,852,4016
신답,용두(동대문구청),2,5351,2389,8432,6582,6063,5169,6720,8283,3098,6214,2235,3584
용두(동대문구청),신설동,2,27544,40572,41819,110705,69110,40053,102295,43168,43462,32733,27005,22211
신도림,도림천,2,2979,5120,3797,6452,3353,2153,3808,2797,1926,2531,1016,1705
도림천,양천구청,2,37116,6181,36529,12148,11164,20261,10661,32254,4792,29217,3301,17093
양천구청,신정네거리,2,48933,5538,46411,13734,18291,29370,15443,46319,8759,38340,6526,22710
신정네거리,까치산,2,148476,13453,175569,24335,38616,77186,38649,128273,24532,120045,18778,74886
대화,주엽,3,29550,9626,30827,18530,20096,25758,18635,30486,10239,31765,8758,18992
주엽,정발산,3,10258,7145,11861,22875,25734,19392,32073,25171,16864,20875,17620,12006
정발산,마두,3,19390,9395,20093,24359,19547,18250,24128,22180,12189,21449,7841,12894
마두,백석,3,26592,14746,28457,30518,27952,27111,32466,31523,18826,31769,14668,19014
백석,대곡,3,7072,2006,7373,4073,4355,3157,5810,4598,2563,4124,1467,2407
대곡,화정,3,65440,14843,68343,38667,38002,55843,37954,72596,22650,67514,18360,41254
화정,원당,3,53578,9515,56380,15193,19634,31304,18738,42278,10824,42371,7214,28141
원당,원흥,3,43006,6356,45748,11417,15560,22367,15255,31178,8080,33648,5908,20543
원흥,삼송,3,79244,14780,81632,32792,36758,44383,35207,64563,22341,61213,15655,38253
삼송,지축,3,5605,2512,6814,2821,4789,3698,2379,5185,942,4359,575,3213
지축,구파발,3,101382,26295,100216,36065,46966,48004,40781,77114,26400,72194,20340,42804
구파발,연신내,3,159009,30284,190114,41996,70439,100784,63513,156547,44608,148630,34628,91275
연신내,불광,3,74941,17205,88384,48051,51925,63347,54595,91033,31902,76830,24531,45216
불광,녹번,3,66093,8346,76377,19104,23661,31600,23035,51941,10913,48806,7998,31070
녹번,홍제,3,70083,14122,84555,32348,39300,48342,36416,69416,20157,59942,14921,38680
홍제,무악재,3,17283,3319,19690,6877,6809,11342,7784,16043,3494,15026,2537,9908
무악재,독립문,3,19952,18843,24869,23292,21673,18674,21723,22266,10533,18383,7678,11994
독립문,경복궁(정부서울청사),3,17227,47101,25344,142350,125270,45916,153247,52029,69919,37308,54177,19568
경복궁(정부서울청사),안국,3,7652,105664,11364,129602,133838,38639,149556,35845,66986,19196,50187,9913
안국,종로3가,3,13691,61437,22056,185606,201165,112660,266933,124358,183998,74619,130293,35386
종로3가,을지로3가,3,9411,98097,18365,249832,119911,56797,220300,69137,106117,44481,75356,24110
을지로3가,충무로,3,12708,56447,20253,218291,108402,51239,181066,55676,98541,35965,70702,21020
충무로,동대입구,3,6226,22361,9823,81095,49593,23228,53345,26857,30195,13760,35590,7323
동대입구,약수,3,36263,23286,56009,58257,39585,41917,52962,59071,31926,43440,24367,27922
약수,금호,3,31189,4904,43702,9499,13757,23157,13928,33673,9075,26438,6988,18946
금호,옥수,3,28232,9258,40603,18205,20711,27652,21792,39338,14373,31407,10607,22550
옥수,압구정,3,19385,55152,33394,163158,97241,66933,155554,77554,111764,48345,86630,23747
압구정,신사,3,13881,43730,22949,122498,96558,68683,154539,91090,112575,60888,77850,29062
신사,잠원,3,20531,8811,29536,11925,13854,16344,15072,21690,8427,17783,5512,11715
잠원,고속터미널,3,58586,128065,102393,195138,281870,244264,286949,266759,249402,183899,273786,112185
고속터미널,교대(법원.검찰청),3,41543,95259,62426,226459,155419,130225,248917,152264,142100,94137,135349,48592
교대(법원.검찰청),남부터미널(예술의전당),3,32116,60738,53381,177021,100133,73865,157993,88321,81004,64176,66037,35994
남부터미널(예술의전당),양재(서초구청),3,39809,111081,54968,275328,132690,75300,227746,94410,114047,70229,83269,41573
양재(서초구청),매봉,3,17452,20618,22689,74439,33995,18587,65039,23189,26086,19010,17106,11156
매봉,도곡,3,20842,28949,30959,54977,39336,24092,48963,27658,25417,25507,16477,16204
도곡,대치,3,31425,20823,33475,30694,31583,37186,31392,35113,23336,29964,16042,16801
대치,학여울,3,4585,3686,5375,8084,7769,4450,8426,5133,3902,4282,2773,2894
학여울,대청,3,32003,17529,38219,27561,23863,20776,29901,27447,13372,26998,10259,17964
대청,일원,3,26485,29220,26297,28037,32801,17903,19359,22896,11674,21139,9264,13330
일원,수서,3,70571,62882,97044,108090,82946,77034,107835,101584,52105,81616,47994,57157
수서,가락시장,3,36438,24881,44133,73533,40929,42116,63801,55968,29546,44819,24593,28176
가락시장,경찰병원,3,25716,7915,31105,33799,16778,15925,24329,23045,9090,21366,6695,12933
