from,to,line,7_in,7_out,8_in,8_out,17_in,17_out,18_in,18_out,19_in,19_out,20_in,20_out
신사,잠원,3,18409,8572,29600,12271,14144,15878,14114,21786,7940,16770,5361,11072
잠원,고속터미널,3,55003,123672,102204,195125,282261,241680,279365,267298,239973,178084,254159,109275
고속터미널,교대(법원.검찰청),3,40599,77252,61156,219132,154638,102276,237061,128608,116504,80715,101400,42174
교대(법원.검찰청),남부터미널(예술의전당),3,30524,60315,53182,179190,106247,74630,159999,86007,79336,62813,61721,34214
남부터미널(예술의전당),양재(서초구청),3,37873,106580,54981,274065,135707,77130,230388,97971,113803,68257,80356,39156
양재(서초구청),매봉,3,16810,20158,23087,73673,34078,19035,65942,23846,25562,18289,16236,10470
매봉,도곡,3,19975,27868,30631,54352,40422,24976,50425,28852,25663,24751,16613,14897
도곡,대치,3,29821,13955,33861,28448,31753,35854,32711,34782,25039,29422,16070,16067
대치,학여울,3,4304,3881,5375,9960,12050,4502,11164,4807,3761,4204,2516,2694
학여울,대청,3,30285,17596,38305,28192,25767,20722,29785,27820,13071,26267,9498,17429
대청,일원,3,24969,28493,27557,29149,34943,18212,19879,23367,11427,20500,9410,12898
일원,수서,3,67612,62026,97862,108202,84025,78161,110308,103751,52169,81895,48849,55234
수서,가락시장,3,34196,23408,44302,72953,42090,44710,62834,60083,30110,44795,25164,27121
가락시장,경찰병원,3,24839,7603,30702,33022,17039,16631,23255,23476,8809,19940,6499,12623
경찰병원,오금,3,39490,14975,47891,38222,21117,21814,30712,31275,11708,26938,8257,17309
당고개,상계,4,102194,17653,97208,22877,29192,48395,28441,70267,18023,67861,13672,43153
상계,노원,4,102640,33116,114338,79046,89343,118407,92925,165643,66424,148396,67452,81495
노원,창동,4,111490,21512,103023,48094,55247,76076,57414,107534,31179,101364,24588,65187
창동,쌍문,4,144100,16202,158903,33190,45521,74723,43338,113187,28704,115777,20054,73357
쌍문,수유(강북구청),4,131617,22736,154928,62819,67041,92536,76480,139363,46268,134453,35283,84247
수유(강북구청),미아(서울사이버대학),4,57725,18802,66519,43618,34226,38799,34384,51845,20664,48046,15189,29669
미아(서울사이버대학),미아사거리,4,107024,22724,125156,38345,54133,77244,55426,117285,40340,102061,38215,59410
미아사거리,길음,4,93034,15975,106252,42713,49105,54782,48257,81151,27664,71140,20282,44415
길음,성신여대입구(돈암),4,57568,24060,77574,60701,67804,68596,73472,95353,47226,77931,41879,48440
성신여대입구(돈암),한성대입구(삼선교),4,36177,21420,48604,43356,40242,36853,41080,45144,24396,37577,21798,24192
한성대입구(삼선교),혜화,4,19514,54428,27892,144378,133898,96948,154578,116239,94290,86666,92025,31547
혜화,동대문,4,24671,53262,34420,115443,138034,61669,125614,57521,69052,62889,51338,44368
동대문,동대문역사문화공원,4,19897,65189,33274,189285,139857,76273,192329,88870,113640,103398,85256,66689
동대문역사문화공원,충무로,4,11756,53473,19597,211357,107740,49414,176904,56310,95743,36265,70042,20466
충무로,명동,4,6986,53503,15425,144486,111332,97080,159787,91405,106689,64550,96943,41438
명동,회현(남대문시장),4,6910,54071,11705,175274,137020,34076,143437,27743,66838,17196,67332,9915
회현(남대문시장),서울역,4,83005,189067,155066,419939,286158,198388,430399,208638,230079,153919,164951,112188
서울역,숙대입구(갈월),4,19212,26465,31995,69645,46451,33495,67129,43711,34464,30616,27830,19214
숙대입구(갈월),삼각지,4,13269,22853,21672,58227,36712,24396,56441,29221,24434,20648,19325,13290
삼각지,신용산,4,11656,32045,18470,106267,56303,30549,101471,37986,47161,24788,33932,14711
신용산,이촌(국립중앙박물관),4,24138,19546,34371,39016,40481,28629,39664,36601,19232,27967,14088,16893
이촌(국립중앙박물관),동작(현충원),4,10575,5542,15597,10569,11934,9036,11386,12087,5632,8823,4327,6542
동작(현충원),총신대입구(이수),4,51611,19680,75043,47290,41606,64376,50827,93232,30897,67884,28226,37219
총신대입구(이수),사당,4,156722,84534,220942,130550,141680,203508,172442,304896,125076,228666,114314,129387
사당,남태령,4,3159,4427,5353,7333,4933,2062,4853,2226,1871,2290,1177,1494
남태령,선바위,4,23356,23574,31489,29328,28759,15825,37984,20694,18248,16971,10937,12211
선바위,경마공원,4,2220,6336,3502,18106,44508,2899,77048,2489,10412,2080,2717,1480
경마공원,대공원,4,872,4170,1127,15278,20730,2052,14389,1450,5661,951,4476,578
대공원,과천,4,20064,4063,21603,9507,15026,10629,8459,14577,4266,14599,2722,8933
과천,정부과천청사,4,18683,23864,19264,74638,36871,18475,58676,25962,17964,22169,13983,11079
정부과천청사,인덕원,4,88615,31140,87587,111634,56042,56822,88183,86536,37248,80752,28215,44738
인덕원,평촌,4,65972,29088,58931,84699,40780,34142,64031,53021,30226,53010,22300,29022
평촌,범계,4,101037,23768,93651,67636,59448,74337,72563,106896,45849,95758,46780,50241
범계,금정,4,92198,42334,97024,89545,59733,66810,78589,93843,35807,81130,29164,50728
금정,산본,4,64638,15600,62632,34076,33839,47279,37287,69862,27092,67325,20417,39256
산본,수리산,4,21600,3776,20881,6642,5722,8182,5829,12053,3201,11943,2281,7442
수리산,대야미,4,18301,5131,21749,8714,9763,10649,11055,14903,5891,13320,4685,9176
대야미,반월,4,17943,4630,19436,8872,10175,11148,9308,15791,5642,13238,3532,9879
반월,상록수,4,86683,17914,87270,32000,39783,48540,35095,77879,22774,75226,17001,47107
상록수,한대앞,4,32062,8303,28950,21272,21454,21578,19862,31867,11082,26936,9065,18528
한대앞,중앙,4,53686,16344,47166,38241,39363,46272,39530,68510,26847,60451,25932,38437
중앙,고잔,4,32388,12214,23983,28395,23166,17680,23861,24372,10925,21505,8333,14098
고잔,초지,4,18823,9882,15673,15991,12994,9563,12661,13188,5750,13434,3854,8619
초지,안산,4,27698,41703,29148,36809,48378,29185,52046,34083,26452,28702,22425,20878
안산,신길온천,4,8256,3866,7101,2467,3775,3910,3775,5531,1682,4676,1222,3480
신길온천,정왕,4,18633,24487,17362,32190,32051,16434,33565,21863,17249,17661,12755,13933
정왕,오이도,4,42789,14898,37934,19123,24700,26156,22797,34772,13912,29470,9956,21405
방화,개화산,5,23248,7025,22199,19315,13641,11653,16977,16514,7408,16217,4696,10197
개화산,김포공항,5,24612,60086,38688,68778,75139,68535,100514,71048,68584,47265,59923,20658
김포공항,송정,5,24910,8792,27451,16519,16661,16966,18474,22235,10552,20924,7616,13696
송정,마곡,5,24369,9309,25144,29397,20475,11789,23396,17581,10108,16550,6961,9207
마곡,발산,5,30388,30523,33278,100929,66182,36911,82807,53738,42180,43238,33369,21595
발산,우장산,5,62350,20316,69635,28453,27506,37139,23827,58546,13589,52361,10624,31017
우장산,화곡,5,125691,14952,169912,32856,42852,72477,44714,125580,27542,111431,19707,66230
화곡,까치산,5,141915,12425,177377,23738,38161,76494,37188,126813,23778,116788,17956,72037
까치산,신정(은행정),5,67918,9012,90584,14907,17565,27910,18825,45009,9886,38608,6789,24859
신정(은행정),목동,5,67501,14695,88319,31517,33515,52190,36720,88980,19996,72039,16323,39705
목동,오목교(목동운동장앞),5,54758,25487,69368,82453,57454,65924,84504,96416,46634,68093,47012,35526
오목교(목동운동장앞),양평,5,33676,12151,36490,46713,22998,20783,39036,29401,14199,23806,9913,15849
양평,영등포구청,5,53241,37051,67985,151219,65712,47764,128416,74012,48134,53534,35479,30976
영등포구청,영등포시장,5,18689,12513,28670,39177,31348,19276,39719,29543,18279,18958,13669,10908
영등포시장,신길,5,37172,22239,56391,51206,28873,28681,49514,41115,18803,28965,12399,19715
신길,여의도,5,19502,245210,29285,403193,232799,61037,336414,71629,132695,43176,95048,22928
여의도,여의나루,5,5693,30847,9981,66406,43856,16529,55566,18252,22162,11525,16460,7461
여의나루,마포,5,26850,21806,42704,77960,35622,30916,65296,51255,26457,32233,20872,17289
마포,공덕,5,55401,72640,81569,238820,110961,76484,200823,120408,82930,75967,62713,43310
공덕,애오개,5,19680,9269,30769,32834,15467,15392,26397,24735,9740,16871,7291,10771
애오개,충정로(경기대입구),5,23241,24413,34320,110190,42465,26281,91926,35946,30366,25951,20421,17073
충정로(경기대입구),서대문,5,18532,52803,25821,164939,64818,24847,124305,33221,38223,19934,27987,12297
서대문,광화문(세종문화회관),5,10320,81238,16434,311481,132622,56009,247444,68369,100748,36506,78538,14719
광화문(세종문화회관),종로3가,5,13054,56797,20581,179107,189266,112000,252380,124436,168786,74177,122677,33636
종로3가,을지로4가,5,5095,43856,8972,128620,76582,24927,114128,22251,55721,14523,29501,8530
을지로4가,동대문역사문화공원,5,19897,65189,33274,189285,139857,76273,192329,88870,113640,103398,85256,66689
동대문역사문화공원,청구,5,15257,10562,25113,41666,17135,15787,28300,21252,18113,15763,11262,10265
청구,신금호,5,23242,10316,33807,13661,11367,16630,11193,27582,7399,19879,5521,12252
신금호,행당,5,35201,5599,54282,9876,12132,20932,12005,34933,7458,25470,5615,15766
행당,왕십리(성동구청),5,65105,32288,117976,79724,100191,106771,107383,168906,74912,124515,70866,72697
왕십리(성동구청),마장,5,17281,8192,24125,19191,14172,14136,15070,20231,9105,14950,6901,8661
마장,답십리,5,59054,13287,85995,40269,29637,36112,38428,59987,21688,46847,13397,27149
답십리,장한평,5,51709,22105,74724,70978,42956,38837,67480,62306,35493,49098,17469,29427
장한평,군자(능동),5,73275,17182,118997,51883,48664,60091,62645,94791,39578,78164,30601,44874
군자(능동),아차산(어린이대공원후문),5,47567,12990,69975,29826,29362,37112,29270,55254,17728,44694,12492,26983
아차산(어린이대공원후문),광나루(장신대),5,43908,17901,57598,39539,30782,31304,37065,45604,18121,34935,14772,21572
광나루(장신대),천호(풍납토성),5,81574,40079,113027,72621,88155,108245,103433,153487,70073,122215,62458,66818
천호(풍납토성),강동,5,70038,27712,91146,43322,47666,41867,51259,59936,28433,50957,19164,32484
강동,길동,5,24685,5727,30471,15713,14758,19451,15847,28775,8420,26594,6800,13472
길동,굽은다리(강동구민회관앞),5,40846,6178,45133,13975,16079,24091,17136,35105,9056,35020,8006,18556
굽은다리(강동구민회관앞),명일,5,41619,6515,40635,13879,14775,24424,12970,37462,6980,36549,5503,18661
명일,고덕,5,36938,15551,34054,18106,21478,22290,17116,33302,9478,33190,7351,17722
고덕,상일동,5,89395,14555,73542,19498,35037,29119,23268,43173,9927,51311,6321,28439
강동,둔촌동,5,27022,10152,32353,22815,19701,24874,22241,35232,12566,27221,8835,15252
둔촌동,올림픽공원(한국체대),5,27184,12857,32034,28905,37155,34286,32152,36284,18588,32698,18588,16468
올림픽공원(한국체대),방이,5,21031,9475,21737,25764,15717,20494,22812,24705,12000,21140,9756,11155
방이,오금,5,39490,14975,47891,38222,21117,21814,30712,31275,11708,26938,8257,17309
오금,개롱,5,30882,10071,28053,18287,13758,17655,15559,24405,7412,23200,5476,13067
개롱,거여,5,38741,7387,34910,17815,16294,18562,15443,24750,7035,24986,5249,14210
거여,마천,5,26013,3999,24610,10697,10702,14539,9081,17523,4021,17598,2813,10402
응암,역촌,6,17168,2969,19225,9021,6705,11506,6367,17224,3483,15779,2712,8799
역촌,불광,6,70509,15637,87069,44731,50522,62300,51640,87012,30665,73595,24578,42560
불광,독바위,6,14779,2019,15955,3111,3976,7422,3236,11589,2076,11191,1218,7001
독바위,연신내,6,151911,28696,189035,40064,67932,100327,59749,151739,41949,144537,32751,86782
연신내,구산,6,31180,8468,39918,7758,12873,15262,10971,21373,6719,21210,4955,11591
