from,to,line,7_in,7_out,8_in,8_out,17_in,17_out,18_in,18_out,19_in,19_out,20_in,20_out
소요산,동두천,1,5900,8816,7395,7802,5623,5271,6606,7902,3152,5198,1861,3963
동두천,보산,1,5336,3156,5009,3216,5548,3882,3953,5449,2258,5493,1576,3642
보산,동두천중앙,1,11330,5391,11812,11527,7454,7090,8586,9098,3342,7844,2283,5724
동두천중앙,지행,1,24937,6234,29525,15313,13381,18575,16167,26118,8170,23171,7136,16409
지행,덕정,1,23563,10515,26875,23219,16788,13735,15609,17342,7609,19161,5261,12824
덕정,덕계,1,12903,2604,12637,4401,4180,4853,3846,7407,1816,7138,1087,5260
덕계,양주,1,37365,12214,34513,13803,16304,21685,17986,27294,9108,25945,4920,18106
양주,녹양,1,21376,4316,20677,9946,9053,12139,9524,16844,4738,15441,3650,11401
녹양,가능,1,26351,4869,27086,18629,13076,16979,10977,23313,6966,21050,5109,12985
가능,의정부,1,49388,15475,49045,37968,52968,54734,53321,65057,36873,60678,33334,39469
의정부,회룡,1,63673,8181,54399,13002,16636,36819,14704,45191,9071,47250,6830,29882
회룡,망월사,1,30417,5227,29373,25245,21764,21603,16440,27254,8662,27160,7044,17617
망월사,도봉산,1,85076,11291,70874,26803,37599,33946,28032,47199,15546,53685,9214,34108
도봉산,도봉,1,22361,4046,23505,11092,11246,14824,11502,18809,5608,16993,3603,10526
도봉,방학,1,35544,8573,36114,21452,18045,25252,19730,33022,10595,29716,7783,18033
방학,창동,1,111490,21512,103023,48094,55247,76076,57414,107534,31179,101364,24588,65187
창동,녹천,1,23548,4443,22915,5764,7073,11122,6127,15189,3970,14390,2483,9448
녹천,월계,1,21253,8368,23779,13581,18361,16397,12856,20322,7517,17889,6346,11140
월계,광운대,1,38542,7353,36209,26927,24610,21526,17609,28241,10655,26477,9687,16653
광운대,석계,1,84082,16231,102639,32044,39065,69766,36616,97621,25082,91997,19170,55501
석계,신이문,1,43029,4655,49356,9675,11207,23504,11310,33952,7430,30014,4879,18844
신이문,외대앞,1,23265,6893,30431,31876,35120,23387,25333,30364,15519,25747,13506,17384
외대앞,회기,1,61696,34825,82202,77941,86882,64250,74041,90486,44173,72513,39449,47422
회기,청량리(서울시립대입구),1,77193,35350,99329,68548,105255,99547,88478,121108,61512,89333,60934,52920
청량리(서울시립대입구),제기동,1,23473,20443,36695,46780,54443,31734,48078,30218,24867,22078,16651,14101
제기동,신설동,1,25609,38791,40855,106339,68842,38315,100707,42795,41094,32140,26025,21176
신설동,동묘앞,1,17345,21717,24630,59079,69087,34940,58040,30906,29025,22888,18540,16319
동묘앞,동대문,1,24671,53262,34420,115443,138034,61669,125614,57521,69052,62889,51338,44368
동대문,종로5가,1,5783,39965,9742,119740,95767,44052,124043,42113,67845,26629,45822,12025
종로5가,종로3가,1,13054,56797,20581,179107,189266,112000,252380,124436,168786,74177,122677,33636
종로3가,종각,1,7318,95355,12414,273124,146602,66018,248103,83968,121851,48981,105922,19928
종각,시청,1,14200,128093,20661,439776,187384,61418,369792,64225,145148,34600,112280,19427
시청,서울역,1,83005,189067,155066,419939,286158,198388,430399,208638,230079,153919,164951,112188
서울역,남영,1,13249,23369,20586,69332,31049,20378,56148,26532,23353,18254,17627,12405
남영,용산,1,24471,86064,36305,168418,129870,83390,174501,103145,108857,65361,110046,44726
용산,노량진,1,84786,66921,133498,109178,86488,105084,107404,165007,63844,114145,63827,67267
노량진,대방,1,34991,35992,49980,59934,37712,30556,52937,45182,21438,32363,16500,23093
대방,신길,1,37172,22239,56391,51206,28873,28681,49514,41115,18803,28965,12399,19715
신길,영등포,1,44622,64268,66924,144518,139808,116563,184702,155016,118827,108605,122029,54136
영등포,신도림,1,164459,50952,182593,153954,136816,146344,181304,218716,108490,179121,90874,100978
신도림,구로,1,43110,31857,45691,87731,51649,44923,76536,52384,32548,39669,21624,25289
구로,구일,1,31187,8739,29632,21663,15416,22765,15878,38530,9501,29656,6645,15095
구일,개봉,1,104287,16915,105098,28873,38344,68596,37233,98217,22363,86398,17552,53953
개봉,오류동,1,56186,7689,57394,13901,20161,29323,19051,45569,10676,44691,8833,26238
오류동,온수(성공회대입구),1,76327,26630,90919,43476,40538,40727,32256,68017,16640,63308,12936,37009
온수(성공회대입구),역곡,1,140534,15116,143627,40868,55446,80605,50609,122959,31893,115156,25738,70151
역곡,소사,1,40756,9495,39730,23700,22243,27982,20351,32239,12010,32925,8686,20211
소사,부천,1,122188,22499,128745,63463,76430,105913,74717,145369,52918,135315,43257,77581
부천,중동,1,47995,6533,40651,16340,15350,24333,15884,33052,8653,34504,6963,19255
중동,송내,1,132369,40143,116598,102395,60187,70904,91854,105296,43738,107227,32006,62393
송내,부개,1,44612,6721,41321,14861,14585,23743,14085,32891,8106,31177,5905,19603
부개,부평,1,102965,23330,100864,39462,72936,110070,71049,153155,55224,139848,51502,76022
부평,백운,1,35160,6123,35450,16341,14395,22752,13581,30650,7309,28084,5659,17529
백운,동암,1,66450,16618,68155,21399,30360,51379,29664,65457,18603,60577,14156,39706
동암,간석,1,28307,4668,28064,9833,10912,16509,10815,22092,6384,22102,5038,13450
간석,주안,1,74922,23085,71275,42451,51307,51644,52930,68219,32356,72148,27862,44089
주안,도화,1,16997,3880,17458,9207,9233,9205,7852,11185,3832,10215,2862,6923
도화,제물포,1,41569,15009,40097,39039,29733,24427,29034,31609,13480,30436,9621,20696
제물포,도원,1,8468,7186,8283,31199,10937,8026,10023,7785,4049,6270,3305,4449
도원,동인천,1,49628,25072,41282,40823,44968,35610,52790,39864,27204,41476,17416,25803
동인천,인천,1,8494,9866,8442,14871,21307,8665,18091,8946,8346,5924,5801,4351
구로,가산디지털단지,1,37404,145588,42185,579522,223977,66915,463115,75073,203851,58090,115389,31001
가산디지털단지,독산,1,45598,36912,46544,104594,50115,30735,79276,41670,34311,43378,19054,23840
독산,금천구청,1,53812,15603,51760,33065,21291,32345,29287,44936,13157,41126,9894,22832
금천구청,석수,1,47311,15738,51008,21642,24178,26047,25387,37907,14623,35412,9422,20995
석수,관악,1,37973,6506,38272,12147,15893,19206,13404,30260,8006,27193,5811,16293
관악,안양,1,94074,21168,89725,58285,68435,67606,51530,99479,35889,88720,33666,46599
안양,명학,1,29707,23971,28171,67396,33067,16882,43212,23940,17347,21709,14495,12494
명학,금정,1,92198,42334,97024,89545,59733,66810,78589,93843,35807,81130,29164,50728
금정,군포,1,21838,28925,20649,52449,22447,13647,38890,16480,13808,15167,11738,9218
군포,당정,1,30353,9926,27360,21054,17203,15956,19129,21728,8705,21501,6766,14494
당정,의왕,1,32775,27223,36072,31608,29306,20492,27402,27897,13242,24537,9430,16612
의왕,성균관대,1,73016,11116,63826,34878,32534,39744,31972,61415,18953,57127,15527,35900
성균관대,화서,1,45180,7221,37265,14906,14973,22778,12616,33859,7332,32254,5576,19292
화서,수원,1,111185,71600,126092,116180,144783,137691,142058,171995,118094,152808,113032,82793
수원,세류,1,17205,5020,13373,5903,8741,9422,7936,13434,4858,12233,3995,9228
세류,병점,1,55867,20847,51326,35075,42789,42819,45241,51354,25681,50830,17199,36666
병점,세마,1,10559,4264,10953,6882,6572,7796,6922,10013,3201,7524,2133,7269
세마,오산대,1,11877,4231,9913,8966,9752,8081,9493,10556,4114,7940,3636,6798
오산대,오산,1,25503,19107,26965,22925,27495,26866,31079,28844,15644,30048,14070,19204
오산,진위,1,3763,7766,3554,8387,6566,3037,9930,3203,3248,2438,1993,2319
진위,송탄,1,13356,5943,13068,9354,11111,12901,11390,16341,6869,12070,4811,13030
송탄,서정리,1,12374,10113,13934,17517,22492,12819,18079,14121,10212,13792,7064,10641
서정리,지제,1,7421,9238,6259,7017,11354,4778,9556,7638,6124,5983,3728,4306
지제,평택,1,31006,17335,34648,25345,36631,42246,34925,45893,23694,30983,24027,23638
평택,성환,1,6706,10127,8410,20434,18646,8161,16632,8965,6997,8078,6324,6842
성환,직산,1,2164,2896,1852,3339,2457,1935,3488,2626,1278,1871,969,1316
직산,두정,1,14399,8447,13423,19344,16943,13892,18162,18016,11092,13464,8245,12281
두정,천안,1,10628,7918,11303,13545,22977,16885,19981,18279,12880,12693,10154,10175
천안,봉명,1,2640,3671,2935,3539,3329,2093,2115,3352,1431,2210,1204,1463
봉명,쌍용(나사렛대),1,8576,1926,7869,6281,6161,6177,5339,7095,3303,6244,3398,4854
쌍용(나사렛대),아산,1,7721,5209,6126,6716,9199,9712,11028,7685,7809,7187,6014,5230
아산,배방,1,3698,1063,3098,1945,2561,3443,2630,3111,1307,2616,1166,2403
배방,온양온천,1,9456,5064,11761,9250,10287,9265,10018,12941,4950,8166,3720,7090
온양온천,신창(순천향대),1,2666,2752,2329,10780,8979,2658,8515,4499,3647,3693,2975,3405
금천구청,광명,1,15870,3660,7438,3819,4624,5218,13437,12721,4785,13456,4864,3493
병점,서동탄,1,13195,1567,6572,2522,3202,3981,3167,6009,1662,6714,1049,4008
시청,을지로입구,2,9414,118365,18110,353344,163528,78814,319467,86498,158091,51104,144499,29213
을지로입구,을지로3가,2,9460,92979,17357,246510,119984,54329,217349,64371,103535,40512,71110,21007
을지로3가,을지로4가,2,5095,43856,8972,128620,76582,24927,114128,22251,55721,14523,29501,8530
을지로4가,동대문역사문화공원,2,19897,65189,33274,189285,139857,76273,192329,88870,113640,103398,85256,66689
동대문역사문화공원,신당,2,38795,33613,64368,86041,58345,51846,69726,68424,42467,62269,33265,37586
신당,상왕십리,2,41746,11721,71581,38334,27555,33558,33269,53019,20691,40478,13893,25860
상왕십리,왕십리(성동구청),2,65105,32288,117976,79724,100191,106771,107383,168906,74912,124515,70866,72697
왕십리(성동구청),한양대,2,6274,15942,10966,74619,57497,18054,47447,24234,22548,13039,20506,7696
한양대,뚝섬,2,23740,30109,36399,131184,55093,35619,116160,48029,57855,32010,33207,17199
뚝섬,성수,2,26987,65118,37253,271941,92417,44845,211789,55906,88445,39391,51887,22385
성수,건대입구,2,75581,47936,136063,123903,148122,171282,154629,261221,117497,197126,121653,110317
건대입구,구의(광진구청),2,71828,15917,129644,41408,40084,59654,48539,94060,26727,77259,20607,50383
구의(광진구청),강변(동서울터미널),2,94258,37257,146892,60427,84108,117097,92413,157046,78571,120900,67916,82538
강변(동서울터미널),잠실나루,2,41799,22698,58940,42955,40158,30599,36884,44640,20005,37160,15539,22986
잠실나루,잠실(송파구청),2,135404,121997,209726,286730,270603,230713,359680,310428,247670,218659,227566,128065
잠실(송파구청),잠실새내,2,62984,18304,96460,30893,44324,67860,48348,100213,35551,79485,31573,45878
잠실새내,종합운동장,2,29787,33311,44980,45635,36259,31829,35611,47458,23576,35257,20551,21398
종합운동장,삼성(무역센터),2,19412,131167,28329,362317,229074,87169,349892,95118,215152,57314,155211,27083
삼성(무역센터),선릉,2,28452,150398,47639,466185,228896,90255,393772,103491,192989,69195,122039,38153
선릉,역삼,2,17305,125660,31689,363087,188222,60845,301434,73250,152768,52047,91677,28049
역삼,강남,2,46985,152605,77059,357421,276607,199468,387701,283910,252975,210222,209318,93332
강남,교대(법원.검찰청),2,40599,77252,61156,219132,154638,102276,237061,128608,116504,80715,101400,42174
교대(법원.검찰청),서초,2,16445,50418,28186,130564,78926,32256,117753,36155,56361,24858,38957,13122
서초,방배,2,26581,29740,41140,87696,60214,39902,84433,47905,38393,38639,29162,24016
방배,사당,2,156722,84534,220942,130550,141680,203508,172442,304896,125076,228666,114314,129387
사당,낙성대,2,88822,21175,144211,47394,55487,64695,62780,100000,36826,99656,27898,63492
낙성대,서울대입구(관악구청),2,139715,33470,208968,76520,104614,118859,113368,182044,72754,174709,59253,105717
서울대입구(관악구청),봉천,2,91089,14117,136903,28777,38232,58869,38421,88001,23741,83481,18156,50822
봉천,신림,2,233688,38542,358290,69397,107469,167013,111926,267799,75988,269926,61822,163715
신림,신대방,2,100293,19818,148082,39470,42307,70853,50397,98704,29008,95620,21022,62184
신대방,구로디지털단지,2,154758,71887,212010,270290,135130,131516,253518,187896,132097,165997,82373,103094
구로디지털단지,대림(구로구청),2,94519,31547,137642,84957,77371,111251,91973,120620,53254,92672,40730,63749
대림(구로구청),신도림,2,164459,50952,182593,153954,136816,146344,181304,218716,108490,179121,90874,100978
신도림,문래,2,46288,32438,52425,124272,56116,35695,104809,55291,41882,45088,27653,25004
문래,영등포구청,2,53241,37051,67985,151219,65712,47764,128416,74012,48134,53534,35479,30976
영등포구청,당산,2,102779,46790,136243,139854,88257,95059,125802,147431,66759,117822,46756,76178
당산,합정,2,63569,53412,90284,153679,118211,122128,176961,172705,117102,135550,94254,70881
합정,홍대입구,2,85636,51369,116477,148346,228228,265376,265552,339747,209807,277794,203200,158665
홍대입구,신촌(지하),2,40303,39433,62511,102957,131393,114943,133864,158921,96568,121243,98560,64648
신촌(지하),이대,2,19039,20713,28849,48375,75676,41698,60711,48568,40220,36078,35251,20862
이대,아현,2,28446,13543,41291,25377,25666,24414,24431,33586,14045,28124,10164,18759
아현,충정로(경기대입구),2,23241,24413,34320,110190,42465,26281,91926,35946,30366,25951,20421,17073
충정로(경기대입구),시청,2,14200,128093,20661,439776,187384,61418,369792,64225,145148,34600,112280,19427
성수,용답,2,8467,1666,14186,4411,5672,6968,4549,10959,2838,8204,1927,5233
용답,신답,2,7035,942,11517,1965,2200,4383,2240,9633,1277,7560,739,3762
신답,용두(동대문구청),2,5205,2179,8489,6473,5971,5331,6500,8329,3107,6313,2217,3384
용두(동대문구청),신설동,2,25609,38791,40855,106339,68842,38315,100707,42795,41094,32140,26025,21176
신도림,도림천,2,2919,5414,3825,6577,3165,2151,3512,2820,1926,2499,984,1649
도림천,양천구청,2,35544,6040,37017,11415,11755,20819,10367,31749,4800,29146,3325,16871
양천구청,신정네거리,2,46960,5126,45954,13246,18618,29472,14548,44473,8390,37591,6009,22333
신정네거리,까치산,2,141915,12425,177377,23738,38161,76494,37188,126813,23778,116788,17956,72037
대화,주엽,3,28632,8469,30231,17703,19914,24763,17581,28926,9648,30532,8287,18750
주엽,정발산,3,9767,6431,11475,21175,24620,18506,30483,24601,15366,21010,16026,11582
정발산,마두,3,19141,8390,19541,24362,19662,16873,23363,22324,11854,20563,7554,12534
마두,백석,3,26451,13988,28294,30418,27378,26560,31804,31924,18420,31414,14472,18292
백석,대곡,3,7535,1764,7421,3645,4252,3005,5346,4373,2455,4104,1505,2213
대곡,화정,3,65251,13547,66975,35905,36943,54160,35994,72383,21770,64633,17521,39754
화정,원당,3,50674,8684,55291,14841,19120,30473,18420,41016,10232,40091,6964,26594
원당,원흥,3,41157,6735,45450,11184,16908,21895,15260,29903,7651,33618,5749,19643
원흥,삼송,3,77428,13886,82037,32347,37077,42392,35480,63952,21478,61221,14945,37083
삼송,지축,3,5458,2302,6812,2516,4006,3644,2105,5090,869,4292,448,3135
지축,구파발,3,96774,24808,101555,33752,44211,47895,39683,75660,24771,70466,19370,41681
구파발,연신내,3,151911,28696,189035,40064,67932,100327,59749,151739,41949,144537,32751,86782
연신내,불광,3,70509,15637,87069,44731,50522,62300,51640,87012,30665,73595,24578,42560
불광,녹번,3,64333,7702,76276,18646,23764,31999,22280,50156,10679,48241,7713,29620
녹번,홍제,3,67419,12707,84496,31064,38604,47743,36477,66905,18762,58122,14890,36584
홍제,무악재,3,16777,3184,19908,6608,6580,10927,7525,15869,3291,14377,2350,9230
무악재,독립문,3,18703,17531,24188,23090,19321,17534,18720,21465,9469,17635,7037,11243
독립문,경복궁(정부서울청사),3,16077,45038,24221,138682,109494,42098,133201,47280,57312,32685,43412,17290
경복궁(정부서울청사),안국,3,7103,106563,10900,128809,134592,38368,139509,34983,60271,17681,48089,9179
안국,종로3가,3,13054,56797,20581,179107,189266,112000,252380,124436,168786,74177,122677,33636
종로3가,을지로3가,3,9460,92979,17357,246510,119984,54329,217349,64371,103535,40512,71110,21007
을지로3가,충무로,3,11756,53473,19597,211357,107740,49414,176904,56310,95743,36265,70042,20466
충무로,동대입구,3,5862,22347,9923,77911,53153,25614,57290,28386,32165,13674,39052,7727
동대입구,약수,3,34384,22201,54580,58154,40607,41404,52404,57385,31227,41629,24409,26580
약수,금호,3,29296,4566,43571,9627,13909,23473,13425,32642,8801,25788,6610,18046
금호,옥수,3,26694,8158,40337,18497,20528,27327,20707,38252,13586,30161,10104,21060
옥수,압구정,3,18085,50658,32928,159046,97363,67971,153273,77651,110313,47349,84339,22332
압구정,신사,3,12999,44050,22712,119184,99207,72152,152523,95891,110724,60864,76376,27851
