"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"201910","2호선","당산","55","5","8417","4692","21035","17552","55523","32522","73420","96760","48161","47650","35224","26555","32837","25984","32835","27149","32019","30814","29002","32232","29926","35403","35907","41529","51998","53364","76930","84206","39748","65393","27646","43777","27398","42053","23899","40656","11961","27228","1944","7273","2","189","0","0","0","0","20191103"
"201910","2호선","대림(구로구청)","755","18","45320","4457","36047","14378","80966","25132","113705","66889","85043","45281","52238","40711","44655","41528","45897","40675","46796","44963","42116","44464","42860","51408","48057","57409","55276","84780","70179","93018","39291","72491","29036","51090","23799","65480","16676","65645","8843","34287","1342","9241","3","218","1","0","0","0","20191103"
"201910","2호선","도림천","2","1","475","412","1235","1171","2979","5120","3797","6452","2198","2236","1999","1728","1693","1410","2164","1955","1907","1359","1808","1818","2544","1557","3437","1927","3353","2153","3808","2797","1926","2531","1016","1705","878","1551","541","1172","251","1040","37","350","0","8","0","0","0","0","20191103"
"201910","2호선","동대문역사문화공원","455","8","11118","1280","7232","10393","9481","28610","16512","67226","17437","48797","20202","41372","24546","39731","29053","41139","32054","46593","37179","43683","45380","40676","56784","39851","60423","42070","71563","50103","48369","55572","37176","38389","33938","29937","30902","24616","21523","15980","3394","5171","1","107","0","0","0","0","20191103"
"201910","2호선","뚝섬","25","1","4872","2147","9997","16138","25301","31831","36244","132834","22739","74980","18862","33644","20609","27912","23173","29541","26880","31628","28687","29465","32946","30581","40364","32573","55820","36034","118274","51711","59220","33236","34233","18569","35691","16817","22039","16595","9192","10805","1401","3830","1","77","0","0","0","0","20191103"
"201910","2호선","문래","6","1","4271","2340","12898","11961","48291","36034","53009","124675","31815","62258","24839","27284","24529","24825","28066","26208","29690","26985","29143","27979","30429","27112","35932","29885","55533","36911","105501","55937","43150","44778","27771","26253","27015","23660","22131","21952","10448","14333","1736","4634","3","113","0","0","0","0","20191103"
"201910","2호선","방배","18","0","3488","4565","11426","13940","29471","32092","42135","88063","34350","68353","25654","43493","27666","31730","29838","35290","33484","33820","35666","32489","41225","30776","49096","33582","60528","40830","85259","49140","40204","39399","30068","24927","30930","22804","25234","24875","11087","14227","2597","4237","1","30","0","0","0","0","20191103"
"201910","2호선","봉천","137","9","18320","2223","32847","10139","95318","15611","135703","30118","83918","26237","48551","23416","39579","24761","42326","26237","41592","29321","35046","32538","34599","41053","37654","46687","38217","59815","40156","90486","25415","83499","19307","52534","17485","51095","13103","51168","6071","31283","1069","9834","6","308","0","0","0","0","20191103"
"201910","2호선","사당","401","5","15494","4492","27544","39938","84287","59549","118376","87269","86347","69103","58365","53433","55118","61925","65150","63785","70088","63005","72889","62371","71092","73670","75780","96146","89429","126887","112678","189458","84197","147981","79742","90214","85786","83715","82076","82001","47932","52512","8266","16411","10","1039","0","0","0","0","20191103"
"201910","2호선","삼성(무역센터)","160","1","5885","5876","9376","46858","21330","133055","28682","365239","29243","294287","31489","137776","46856","111482","62010","97426","80634","106014","97154","95276","120172","82902","145158","79579","215675","81409","333254","89250","210703","56530","149285","28230","126803","22206","92646","20443","26497","10710","3998","5937","1","1874","0","0","0","0","20191103"
"201910","2호선","상왕십리","28","2","6478","864","13830","6367","44159","12205","71058","39977","39322","22606","25199","15600","23603","13917","23973","15239","23062","17940","20798","18887","21623","21649","23249","26342","26816","33746","34078","53144","21716","40107","14157","26273","13293","25724","10150","25550","4062","16807","675","5632","2","54","0","1","0","0","20191103"
"201910","2호선","서울대입구(관악구청)","4683","28","32535","3266","49871","18455","146064","35478","209363","82767","135399","86018","83162","69698","74891","57774","81937","63368","90588","70441","78135","69006","82975","78996","93764","89348","104272","117984","115108","183414","72944","175683","59275","107474","61246","102182","57606","105536","30290","66849","4989","24945","0","4909","0","0","0","0","20191103"
"201910","2호선","서초","18","1","1525","5926","8017","22791","17246","54842","28293","133496","30128","112665","24505","54009","34202","42191","36631","35592","42815","39378","43168","41414","48191","43185","56983","52033","77044","59492","123874","57689","78367","36611","68534","18076","69546","13391","34200","12362","10339","7033","1335","1997","2","7","1","0","0","0","20191103"
"201910","2호선","선릉","131","6","6300","6961","12939","46156","25875","109035","41278","317714","40767","239106","43735","107065","57179","72992","68684","67363","79310","77053","86331","66496","105600","58833","144309","58033","180725","63600","313888","70872","158561","48786","99815","29709","98941","24352","83304","23821","32115","13643","5478","5709","1","212","0","0","0","0","20191103"
"201910","2호선","성수","44","1","5870","4456","11233","30272","28570","67276","36784","272062","30587","110879","26613","46344","27470","36944","31346","37264","36227","41262","39956","39842","44561","40866","51913","41259","90300","46285","206198","56737","90712","40939","53290","23576","50102","20544","37112","18820","16674","13672","2213","7798","2","1139","0","0","0","0","20191103"
"201910","2호선","시청","60","1","1805","1810","2860","17429","6349","67031","10686","236896","15634","95039","21713","37101","28900","40879","29106","43979","37888","48514","49518","40017","57175","32608","63177","28347","95929","28532","201077","29798","74541","17152","52981","9706","49228","9348","33338","8860","13624","6055","1971","1732","3","91","0","0","0","0","20191103"
"201910","2호선","신답","2","0","1115","117","2040","592","7441","1005","11442","2017","4653","1126","2792","1196","2488","1341","2493","1533","2298","1904","1989","2165","1965","2892","2055","3571","2328","4345","2554","9511","1456","7565","852","4016","659","4511","585","3530","212","2601","23","668","0","3","0","0","0","0","20191103"
"201910","2호선","신당","38","0","7267","1677","12855","8761","31066","18712","51298","43773","32705","28400","23223","21811","22775","22257","25094","24336","27100","25664","26942","25650","27127","28132","31233","31159","35288","36750","42456","49279","26899","38723","19642","24739","17853","23237","12573","22372","6409","15098","1057","5031","0","35","0","0","0","0","20191103"
"201910","2호선","신대방","240","2","29984","3047","42011","11777","106186","21136","147556","40768","98230","28554","57513","23462","46389","23926","46299","26275","44421","31127","38892","35206","37181","46186","40490","53379","43343","72967","52160","103061","31150","97136","21961","64760","17855","70842","14359","73310","7189","43598","1260","12178","2","195","0","0","0","0","20191103"
"201910","2호선","신도림","3563","15","44812","7135","58416","25926","158485","47192","168609","139217","110854","92575","79908","87034","78318","85548","91653","91938","95610","96369","94950","91909","99853","97220","107459","111669","129444","136436","169692","205927","104242","169585","86219","98602","86447","93104","69097","95129","34582","69553","3713","30526","17","3702","1","1","0","0","20191103"
"201910","2호선","신림","408","16","46329","5848","88836","25042","246530","40093","358208","72374","215645","63948","123401","56439","104417","59987","109312","66175","106809","76757","94052","84429","91918","102821","98436","123786","108368","164995","115034","271595","77845","270659","62539","169696","59292","164847","54937","162454","31610","111648","5623","33890","0","670","0","0","0","0","20191103"
"201910","2호선","신설동","23","1","1502","546","1518","2116","3582","5837","6685","15090","5399","11489","5498","9140","6700","9033","7917","8760","9225","8992","9960","8249","11400","7348","11873","6072","13921","6808","17454","6368","6989","5030","4014","3449","3383","3251","2532","3291","967","2549","135","809","1","134","0","0","0","0","20191103"
"201910","2호선","신정네거리","58","1","9567","2920","15200","8524","48933","5538","46411","13734","27280","9982","19455","8877","17387","9239","17191","10193","15830","12609","13740","14119","12986","17755","16837","22213","18291","29370","15443","46319","8759","38340","6526","22710","5114","21226","4549","19511","2025","13088","308","3692","2","295","0","0","0","0","20191103"
"201910","2호선","신촌","127","8","11014","4068","16415","18720","41917","45399","63769","104269","48616","129639","49223","96103","57355","87797","74223","88637","81632","96347","81872","88661","95929","81502","111400","86081","129935","110242","133930","153095","99702","114084","97678","62952","106987","52678","114325","49101","57390","36124","9433","10382","3","100","0","0","0","0","20191103"
"201910","2호선","아현","34","1","4989","1306","10972","9487","29902","14229","41283","25463","26362","15523","19651","14424","18706","11204","19723","14142","20020","15818","18135","16007","18736","17412","26436","20636","25680","25197","25204","34000","14821","28414","10826","19279","9142","19350","6868","18250","2977","13467","425","3622","3","26","0","1","0","0","20191103"
"201910","2호선","양천구청","24","0","5306","1016","12254","2618","37116","6181","36529","12148","22103","7271","15055","6057","14595","6656","14249","7598","11998","9122","9831","10183","9288","12346","10971","15503","11164","20261","10661","32254","4792","29217","3301","17093","2921","16572","2789","16047","934","12541","160","4207","0","46","0","0","0","0","20191103"
"201910","2호선","역삼","69","3","4674","8722","9595","40718","18488","127785","32388","365476","30073","291190","30541","119001","40866","74842","49295","66082","60361","76340","66847","63721","86229","59498","104414","53674","184902","60353","303219","72105","152574","53368","91600","29338","89901","23137","67795","21347","26482","13894","4949","4132","3","93","1","0","0","0","20191103"
"201910","2호선","영등포구청","42","2","6581","3749","14685","16822","47161","34360","56110","129812","37077","58222","28408","31336","30183","28532","31951","30258","33599","31647","33974","31412","34858","31297","41444","33944","55633","40529","110181","61954","42250","46633","31372","27827","30508","26214","23435","24534","9952","16389","1604","6257","0","147","0","0","0","0","20191103"
"201910","2호선","왕십리(성동구청)","1009","3","8911","1089","12536","7030","32034","14398","58778","33426","37595","25008","26386","18431","26223","19234","30284","20901","31624","24133","30248","23128","31490","25658","40268","30440","45889","40240","51702","66569","33833","47544","31552","29266","35046","26508","34211","26597","22479","18357","3840","7093","5","70","0","0","0","0","20191103"
"201910","2호선","용답","46","0","2855","284","3468","916","8995","1850","14355","4419","7389","5379","4799","3750","4565","2898","4881","3370","5021","4007","4400","3678","4387","4687","5059","6115","5496","6991","4727","11012","2971","8450","1989","5471","1724","6542","1415","6031","671","4402","117","1134","0","2","0","0","0","0","20191103"
"201910","2호선","용두(동대문구청)","22","1","1225","212","1916","1185","5351","2389","8432","6582","4522","4030","3692","3694","4323","4213","4823","4250","4730","4975","5006","4891","5382","5490","5682","5107","6063","5169","6720","8283","3098","6214","2235","3584","1832","3433","1349","2709","572","2176","89","525","0","11","0","0","0","0","20191103"
