from,to,line,am7,am8,pm5,pm6,pm7,pm8
소요산,동두천,1,-3290,-760,-141,-632,-2539,-2494
동두천,보산,1,2287,1898,1274,-1609,-3601,-2431
보산,동두천중앙,1,6183,712,-806,2,-5058,-3831
동두천중앙,지행,1,20202,15093,-8374,-9927,-16232,-11057
지행,덕정,1,14565,3198,1877,-1675,-11548,-8763
덕정,덕계,1,10844,9052,-771,-3920,-5589,-4672
덕계,양주,1,25412,21419,-4727,-8294,-17654,-15334
양주,녹양,1,17643,10666,-2515,-7248,-11998,-8117
녹양,가능,1,22850,8539,-3724,-11757,-14867,-8895
가능,의정부,1,34839,11151,-1757,-8722,-25506,-5120
의정부,회룡,1,57524,42999,-22795,-30655,-40938,-24234
회룡,망월사,1,25345,805,-28,-11792,-19495,-10720
망월사,도봉산,1,75403,41501,5797,-15905,-37335,-24219
도봉산,도봉,1,18807,11842,-4351,-7257,-12972,-6852
도봉,방학,1,28396,14694,-8410,-14063,-20514,-10884
방학,창동,1,93644,52832,-23715,-52972,-72262,-42189
창동,녹천,1,20242,17663,-3630,-9802,-11574,-7371
녹천,월계,1,13134,9344,1929,-6898,-11259,-5290
월계,광운대,1,32232,9895,-323,-10915,-16302,-8295
광운대,석계,1,70236,68772,-33207,-62017,-67331,-37910
석계,신이문,1,40974,39246,-13535,-23115,-23344,-14682
신이문,외대앞,1,17393,963,5929,-5584,-10777,-4082
외대앞,회기,1,31336,5418,14312,-17168,-32892,-10067
회기,청량리(서울시립대입구),1,40959,26952,7409,-28741,-31165,10120
청량리(서울시립대입구),제기동,1,3162,-11609,23050,19897,3995,3305
제기동,신설동,1,-13028,-68886,29057,59127,10729,4794
신설동,동묘앞,1,-5353,-36361,35824,35991,9020,2760
동묘앞,동대문,1,-33598,-88382,78423,74958,10842,9536
동대문,종로5가,1,-36285,-114871,50658,87452,46529,35932
종로5가,종로3가,1,-47746,-163550,88505,142575,109379,94907
종로3가,종각,1,-94492,-270203,92550,180374,81309,89885
종각,시청,1,-124648,-423624,131625,314351,117599,97201
시청,서울역,1,-112342,-275543,88285,226749,78813,54314
서울역,남영,1,-11248,-52471,11114,30402,4527,4646
남영,용산,1,-64415,-137111,46716,73612,41803,66004
용산,노량진,1,5044,12106,-19043,-46050,-47534,-1437
노량진,대방,1,-115,-9314,6024,7567,-11842,-6229
대방,신길,1,13954,5304,-747,8707,-10162,-7614
신길,영등포,1,-25019,-77822,27058,38521,15952,66452
영등포,신도림,1,116001,27150,-7479,-36586,-69631,-13346
신도림,구로,1,10350,-40340,4227,24337,-6572,-3710
구로,구일,1,23923,8315,-4204,-23150,-16504,-6560
구일,개봉,1,90198,77875,-31475,-64583,-63681,-37269
개봉,오류동,1,50963,44458,-8513,-26955,-33339,-17047
오류동,온수(성공회대입구),1,50719,46534,-907,-36461,-46661,-24469
온수(성공회대입구),역곡,1,129165,102886,-24657,-75895,-85042,-46411
역곡,소사,1,31518,16089,-5708,-12601,-20952,-11794
소사,부천,1,101609,66776,-28242,-71936,-84121,-33971
부천,중동,1,43493,24680,-9630,-18256,-25960,-13774
중동,송내,1,95537,11749,-10493,-12617,-65307,-32811
송내,부개,1,40010,27333,-9541,-19324,-24638,-13687
부개,부평,1,81908,63562,-34886,-81363,-81405,-25877
부평,백운,1,30855,19679,-9106,-17147,-21812,-13016
백운,동암,1,53427,48827,-20993,-38339,-43037,-28209
동암,간석,1,25212,18525,-6840,-11913,-15925,-9380
간석,주안,1,52417,28240,-416,-17001,-40558,-16548
주안,도화,1,13339,8286,-972,-3388,-6877,-4610
도화,제물포,1,27188,-195,4740,-2489,-17266,-11477
제물포,도원,1,-286,-23468,4396,4549,-1379,-887
도원,동인천,1,23771,-94,11579,14507,-14570,-8785
동인천,인천,1,-1433,-7739,16004,12049,5178,3179
구로,가산디지털단지,1,-111176,-541908,151246,392301,147683,83920
가산디지털단지,독산,1,8313,-58738,18846,36389,-7829,-5422
독산,금천구청,1,39904,19203,-11693,-18317,-27847,-13748
금천구청,석수,1,32924,30788,-1531,-15436,-20289,-11989
석수,관악,1,32857,26505,-4030,-18730,-20201,-11497
관악,안양,1,74334,29129,460,-49638,-49891,-12947
안양,명학,1,4966,-40530,15031,20462,-4828,2444
명학,금정,1,52857,10785,-8631,-18003,-45933,-22470
금정,군포,1,-7692,-32332,9742,22967,-1314,3210
군포,당정,1,21086,6534,1147,-3696,-13601,-8390
당정,의왕,1,4880,3352,9016,187,-11588,-7921
의왕,성균관대,1,65643,31049,-9609,-28752,-40237,-22566
성균관대,화서,1,39389,22840,-8112,-21162,-27239,-14662
화서,수원,1,41266,7854,2369,-18355,-33952,31056
수원,세류,1,12612,7588,-1321,-5051,-7965,-5872
세류,병점,1,35208,16870,-868,-6188,-28204,-21079
병점,세마,1,7054,4580,-1495,-2751,-4990,-5394
세마,오산대,1,7577,37,2063,-809,-4505,-3153
오산대,오산,1,7677,5255,-192,2795,-16344,-5094
오산,진위,1,-3867,-5413,3975,6849,662,-356
진위,송탄,1,8312,3895,-2622,-5324,-6170,-8206
송탄,서정리,1,2220,-4151,9142,2992,-3472,-2868
서정리,지제,1,-1784,-1548,6389,2231,456,-924
지제,평택,1,15045,10796,-6467,-9015,-9104,677
평택,성환,1,-4024,-11948,10943,7471,-925,-832
성환,직산,1,-775,-1494,840,771,-675,-289
직산,두정,1,5724,-8121,3062,505,-1995,-4284
두정,천안,1,3229,-2338,5794,774,723,-383
천안,봉명,1,-770,-568,1646,-972,-837,-285
봉명,쌍용(나사렛대),1,7143,1200,-173,-1992,-3118,-1309
쌍용(나사렛대),아산,1,3081,-339,-225,4019,683,835
아산,배방,1,2679,1230,-1154,-494,-1075,-1402
배방,온양온천,1,4807,3217,-303,-2347,-2874,-3797
온양온천,신창(순천향대),1,-250,-8408,5069,4016,-250,-988
금천구청,광명,1,12828,4007,-457,-399,-8634,1054
병점,서동탄,1,11959,3887,-1406,-2880,-5506,-2994
시청,을지로입구,2,-114890,-336134,88547,238234,110176,116436
을지로입구,을지로3가,2,-88686,-231467,63114,151163,61636,51246
을지로3가,을지로4가,2,-40881,-118629,49652,93731,42917,22360
을지로4가,동대문역사문화공원,2,-49187,-157110,62035,107986,10931,21689
동대문역사문화공원,신당,2,4891,-26899,7222,4812,-19204,-4439
신당,상왕십리,2,31954,31081,-6930,-19066,-18391,-12116
상왕십리,왕십리(성동구청),2,34194,34055,-5649,-56051,-48372,-2944
왕십리(성동구청),한양대,2,-10037,-60557,36791,20378,10322,13582
한양대,뚝섬,2,-6530,-96590,19786,66563,25984,15664
뚝섬,성수,2,-38706,-235278,44015,149461,49773,29714
성수,건대입구,2,28332,12035,-26797,-97052,-74927,11058
건대입구,구의(광진구청),2,58586,87655,-19458,-45774,-50421,-30605
구의(광진구청),강변(동서울터미널),2,58630,84904,-28435,-62850,-44831,-15614
강변(동서울터미널),잠실나루,2,21052,13103,7940,-8034,-17501,-7799
잠실나루,잠실(송파구청),2,4448,-93473,37443,55903,40954,112480
잠실(송파구청),잠실새내,2,47765,61444,-22718,-49638,-42565,-15004
잠실새내,종합운동장,2,-9897,-15925,-15852,-30548,-11905,13303
종합운동장,삼성(무역센터),2,-111725,-336557,134266,244004,154173,121055
삼성(무역센터),선릉,2,-120314,-417048,129812,292415,125636,83270
선릉,역삼,2,-109297,-333088,124549,231114,99206,62262
역삼,강남,2,-119096,-281992,78061,128227,52273,114778
강남,교대(법원.검찰청),2,-53716,-164033,25194,96653,47963,86757
교대(법원.검찰청),서초,2,-37596,-105203,17552,66185,41756,50458
서초,방배,2,-2621,-45928,19698,36119,805,5141
방배,사당,2,72222,88626,-52831,-122753,-100197,-17710
사당,낙성대,2,70489,94119,-7869,-40747,-61552,-36781
낙성대,서울대입구(관악구청),2,110586,126596,-13712,-68306,-102739,-48199
서울대입구(관악구청),봉천,2,79707,105585,-21598,-50330,-58084,-33227
봉천,신림,2,206437,285834,-56627,-156561,-192814,-107157
신림,신대방,2,85050,106788,-29624,-50901,-65986,-42799
신대방,구로디지털단지,2,84360,-61355,2317,62553,-29042,-23509
구로디지털단지,대림(구로구청),2,65688,51105,-35600,-29073,-38287,-22901
대림(구로구청),신도림,2,116001,27150,-7479,-36586,-69631,-13346
신도림,문래,2,12257,-71666,18622,49564,-1628,1518
문래,영등포구청,2,15745,-83600,17155,54454,-3728,3883
영등포구청,당산,2,58645,-3587,-5201,-21827,-50348,-29907
당산,합정,2,9278,-66722,945,5166,-12542,26739
합정,홍대입구,2,35317,-34673,-29932,-62387,-57125,47673
홍대입구,신촌(지하),2,-3482,-40500,19693,-19165,-14382,34726
신촌(지하),이대,2,-2434,-21211,31870,12345,4685,12963
이대,아현,2,15673,15820,483,-8796,-13593,-8453
아현,충정로(경기대입구),2,-1727,-75239,15905,54113,3094,2543
충정로(경기대입구),시청,2,-124648,-423624,131625,314351,117599,97201
성수,용답,2,7145,9936,-1495,-6285,-5479,-3482
용답,신답,2,6436,9425,-2017,-6957,-6109,-3164
신답,용두(동대문구청),2,2962,1850,894,-1563,-3116,-1349
용두(동대문구청),신설동,2,-13028,-68886,29057,59127,10729,4794
신도림,도림천,2,-2141,-2655,1200,1011,-605,-689
도림천,양천구청,2,30935,24381,-9097,-21593,-24425,-13792
양천구청,신정네거리,2,43395,32677,-11079,-30876,-29581,-16184
신정네거리,까치산,2,135023,151234,-38570,-89624,-95513,-56108
대화,주엽,3,19924,12297,-5662,-11851,-21526,-10234
주엽,정발산,3,3113,-11014,6342,6902,-4011,5614
정발산,마두,3,9995,-4266,1297,1948,-9260,-5053
마두,백석,3,11846,-2061,841,943,-12943,-4346
백석,대곡,3,5066,3300,1198,1212,-1561,-940
대곡,화정,3,50597,29676,-17841,-34642,-44864,-22894
화정,원당,3,44063,41187,-11670,-23540,-31547,-20927
원당,원흥,3,36650,34331,-6807,-15923,-25568,-14635
원흥,삼송,3,64464,48840,-7625,-29356,-38872,-22598
삼송,지축,3,3093,3993,1091,-2806,-3417,-2638
지축,구파발,3,75087,64151,-1038,-36333,-45794,-22464
구파발,연신내,3,128725,148118,-30345,-93034,-104022,-56647
연신내,불광,3,57736,40333,-11422,-36438,-44928,-20685
불광,녹번,3,57747,57273,-7939,-28906,-37893,-23072
녹번,홍제,3,55961,52207,-9042,-33000,-39785,-23759
홍제,무악재,3,13964,12813,-4533,-8259,-11532,-7371
무악재,독립문,3,1109,1577,2999,-543,-7850,-4316
독립문,경복궁(정부서울청사),3,-29874,-117006,79354,101218,32611,34609
경복궁(정부서울청사),안국,3,-98012,-118238,95199,113711,47790,40274
안국,종로3가,3,-47746,-163550,88505,142575,109379,94907
종로3가,을지로3가,3,-88686,-231467,63114,151163,61636,51246
을지로3가,충무로,3,-43739,-198038,57163,125390,62576,49682
충무로,동대입구,3,-16135,-71272,26365,26488,16435,28267
동대입구,약수,3,12977,-2248,-2332,-6109,-11514,-3555
약수,금호,3,26285,34203,-9400,-19745,-17363,-11958
금호,옥수,3,18974,22398,-6941,-17546,-17034,-11943
옥수,압구정,3,-35767,-129764,30308,78000,63419,62883
압구정,신사,3,-29849,-99549,27875,63449,51687,48788
신사,잠원,3,11720,17611,-2490,-6618,-9356,-6203
잠원,고속터미널,3,-69479,-92745,37606,20190,65503,161601
고속터미널,교대(법원.검찰청),3,-53716,-164033,25194,96653,47963,86757
교대(법원.검찰청),남부터미널(예술의전당),3,-28622,-123640,26268,69672,16828,30043
남부터미널(예술의전당),양재(서초구청),3,-71272,-220360,57390,133336,43818,41696
양재(서초구청),매봉,3,-3166,-51750,15408,41850,7076,5950
매봉,도곡,3,-8107,-24018,15244,21305,-90,273
도곡,대치,3,10602,2781,-5603,-3721,-6628,-759
대치,학여울,3,899,-2709,3319,3293,-380,-121
학여울,대청,3,14474,10658,3087,2454,-13626,-7705
대청,일원,3,-2735,-1740,14898,-3537,-9465,-4066
일원,수서,3,7689,-11046,5912,6251,-29511,-9163
수서,가락시장,3,11557,-29400,-1187,7833,-15273,-3583
가락시장,경찰병원,3,17801,-2694,853,1284,-12276,-6238
경찰병원,오금,3,26305,9621,-147,-2466,-16033,-9865
당고개,상계,4,86809,74560,-19776,-41096,-52115,-31834
상계,노원,4,67532,31434,-27785,-70948,-81583,-16761
노원,창동,4,93644,52832,-23715,-52972,-72262,-42189
창동,쌍문,4,131903,128128,-30351,-72318,-88522,-55176
쌍문,수유(강북구청),4,113870,90550,-23359,-65313,-88422,-50995
수유(강북구청),미아(서울사이버대학),4,38579,25939,-5189,-18610,-27471,-15888
미아(서울사이버대학),미아사거리,4,86142,84363,-24778,-60332,-61264,-22949
미아사거리,길음,4,80812,62326,-6264,-32581,-45383,-25272
길음,성신여대입구(돈암),4,35259,15435,-25,-19077,-30058,-5975
성신여대입구(돈암),한성대입구(삼선교),4,15495,4956,3194,-3837,-12141,-2049
한성대입구(삼선교),혜화,4,-33741,-113999,37877,41348,10136,61151
혜화,동대문,4,-33598,-88382,78423,74958,10842,9536
동대문,동대문역사문화공원,4,-49187,-157110,62035,107986,10931,21689
동대문역사문화공원,충무로,4,-43739,-198038,57163,125390,62576,49682
충무로,명동,4,-49471,-130653,16221,69547,42099,56863
명동,회현(남대문시장),4,-50527,-165951,108327,119832,53144,57341
회현(남대문시장),서울역,4,-112342,-275543,88285,226749,78813,54314
서울역,숙대입구(갈월),4,-5927,-38385,13224,22686,4560,8083
숙대입구(갈월),삼각지,4,-10456,-34889,16076,28533,4868,5191
삼각지,신용산,4,-21217,-88768,23918,61546,22381,19745
신용산,이촌(국립중앙박물관),4,4697,-4988,13367,1686,-10157,2172
이촌(국립중앙박물관),동작(현충원),4,5173,2905,1738,-1115,-4038,-161
동작(현충원),총신대입구(이수),4,33649,27808,-23443,-43238,-37282,-10996
총신대입구(이수),사당,4,72222,88626,-52831,-122753,-100197,-17710
사당,남태령,4,-1024,-869,2882,2523,-214,-428
남태령,선바위,4,-308,1782,11828,16651,1597,-1732
선바위,경마공원,4,-4126,-14497,35762,72840,8870,1264
경마공원,대공원,4,-8324,-34419,24481,22509,7926,6056
대공원,과천,4,16686,12337,5909,-6879,-10113,-6597
과천,정부과천청사,4,-6455,-57033,16955,28411,-6303,2820
정부과천청사,인덕원,4,61216,-25612,-1540,1740,-45517,-17455
인덕원,평촌,4,37235,-25678,6225,11635,-22845,-6822
평촌,범계,4,79282,28040,-15035,-32478,-51233,-4734
범계,금정,4,52857,10785,-8631,-18003,-45933,-22470
금정,산본,4,51820,29136,-15384,-34702,-40977,-19229
산본,수리산,4,18434,14435,-2733,-6509,-8489,-5549
수리산,대야미,4,13932,12252,-762,-3402,-6838,-4945
대야미,반월,4,13904,11273,-1770,-6368,-7703,-7107
반월,상록수,4,72376,55211,-11969,-44787,-55040,-31022
상록수,한대앞,4,24383,6990,-800,-11605,-16736,-9744
한대앞,중앙,4,38183,8428,-6576,-26012,-34394,-11933
중앙,고잔,4,20033,-4349,3932,-649,-10835,-6491
고잔,초지,4,8457,156,2356,-1053,-7733,-4729
초지,안산,4,-15034,-7326,18824,17029,-1578,2931
안산,신길온천,4,4392,4789,-298,-1852,-2830,-2299
신길온천,정왕,4,-6006,-16473,13689,10825,74,-1443
정왕,오이도,4,28976,19950,-1125,-10899,-15194,-11801
방화,개화산,5,17159,3021,980,151,-9116,-5458
개화산,김포공항,5,-35956,-30477,9115,29967,24442,38669
김포공항,송정,5,17369,11020,-83,-4325,-10563,-6396
송정,마곡,5,16203,-2245,8626,4781,-6569,-2718
마곡,발산,5,723,-68874,30191,29169,-1183,10314
발산,우장산,5,45104,41081,-9785,-34117,-40284,-21523
우장산,화곡,5,116417,136786,-30760,-80414,-85977,-48245
화곡,까치산,5,135023,151234,-38570,-89624,-95513,-56108
까치산,신정(은행정),5,59371,72543,-9566,-24455,-26695,-17118
신정(은행정),목동,5,51210,54397,-22058,-54367,-53525,-25602
목동,오목교(목동운동장앞),5,30351,-14338,-7730,-8550,-21038,8915
오목교(목동운동장앞),양평,5,21805,-11263,1403,9405,-8663,-7476
양평,영등포구청,5,15745,-83600,17155,54454,-3728,3883
영등포구청,영등포시장,5,5360,-11687,12183,12120,-14,2270
영등포시장,신길,5,13954,5304,-747,8707,-10162,-7614
신길,여의도,5,-225062,-371923,158115,249809,88570,80569
여의도,여의나루,5,-24864,-54486,-2001,19487,9356,29093
여의나루,마포,5,5586,-35232,4287,13531,-7284,5924
마포,공덕,5,-18420,-156446,32707,80690,5748,18585
공덕,애오개,5,10958,-2768,-182,1521,-7415,-3387
애오개,충정로(경기대입구),5,-1727,-75239,15905,54113,3094,2543
충정로(경기대입구),서대문,5,-36699,-141944,41112,93069,18481,14749
서대문,광화문(세종문화회관),5,-74214,-298098,87945,195397,77106,67765
광화문(세종문화회관),종로3가,5,-47746,-163550,88505,142575,109379,94907
종로3가,을지로4가,5,-40881,-118629,49652,93731,42917,22360
을지로4가,동대문역사문화공원,5,-49187,-157110,62035,107986,10931,21689
동대문역사문화공원,청구,5,4298,-19001,763,7010,2769,1173
