호선명,지하철역,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원
1호선,동대문,16660,12786,23198,26136,36411,33542,33479,32620,23177,32602,19835,22961
1호선,동묘앞,6553,10333,9682,26235,38442,16283,26267,11320,11705,8442,7498,6425
1호선,서울역,40767,101055,81199,220571,177406,110675,248660,114628,136845,84424,100035,62472
1호선,시청,8116,62049,10169,197211,89518,42115,163467,43313,77381,23406,67436,13502
1호선,신설동,19763,25253,30398,71967,46494,31047,68031,33226,29550,25298,20520,16996
1호선,제기동,21301,18334,34521,43939,55059,31896,48742,29625,26060,22085,17941,14036
1호선,종각,6921,91653,11771,264798,150009,84324,244346,105131,129611,59762,122457,26177
1호선,종로3가,6352,26523,9944,79087,105478,65646,124104,67745,89934,37757,71134,17049
1호선,종로5가,5423,38232,9098,116878,97606,49599,123226,45262,67739,28093,49113,13019
1호선,청량리(서울시립대입구),43121,17858,60425,40048,67030,55499,53726,62462,33219,46712,27269,29754
2호선,강남,45036,141242,73378,339904,290337,224839,386600,300848,260124,218492,217886,102526
2호선,강변(동서울터미널),88191,32458,140094,57161,89510,114774,95947,151357,75128,117138,61824,84569
2호선,건대입구,58861,27136,108600,72873,98997,136021,107670,203564,85075,155443,86656,90722
2호선,교대(법원.검찰청),27968,48966,44743,155741,108821,88956,156950,108373,80505,65852,67434,35546
2호선,구로디지털단지,147572,70728,205184,263434,142902,132666,247851,186259,130861,161370,85092,103861
2호선,구의(광진구청),67246,15264,123874,40985,43628,60892,49468,92682,28218,74650,22449,50020
2호선,낙성대,84091,20532,135834,43131,58010,65361,61366,96675,36717,95789,28133,62652
2호선,당산,48073,29454,65705,89747,49877,51391,71660,78543,36263,59849,25729,39235
2호선,대림(구로구청),74245,22211,109192,62294,58116,79848,68894,86270,38330,67325,28386,49010
2호선,도림천,2549,4525,3616,6240,3098,2192,3533,2607,1888,2433,905,1667
2호선,동대문역사문화공원,8186,25863,15409,62164,57933,44301,67033,53094,50176,57190,39099,39081
2호선,뚝섬,21745,29071,34944,127900,54782,35627,110376,45298,54513,30599,32103,17155
2호선,문래,43843,31366,48999,123232,58121,36953,102092,55856,41188,42540,29334,24463
2호선,방배,23673,27109,38640,78709,56933,40724,77517,46477,35790,37233,28270,23602
2호선,봉천,86521,13197,130149,28766,41154,59173,40774,84854,25010,79021,19417,50272
2호선,사당,76055,45607,107797,75582,92598,145448,110267,205034,84433,154644,81763,83948
2호선,삼성(무역센터),17693,122087,26966,339090,245668,109676,345373,112634,229330,68252,173527,31163
2호선,상왕십리,38584,11187,68961,36077,29197,34330,33385,52245,20930,38869,14470,26179
2호선,서울대입구(관악구청),133271,30851,197809,69474,105724,121234,114529,177575,72417,169473,59877,101621
2호선,서초,15146,48036,25947,125805,79045,37793,111137,38791,55450,26149,38381,13395
2호선,선릉,22016,106694,37819,306176,190301,69864,299981,78592,150943,50876,103161,30320
2호선,성수,25301,65788,35923,267015,97351,47578,206061,57230,87752,39648,51285,23258
2호선,시청,5839,61118,9072,231977,94397,32615,190294,34630,70480,19902,55343,11368
2호선,신답,6599,1051,11397,1936,2432,4423,2330,8948,1330,7322,849,3620
2호선,신당,27569,16053,49247,39490,36588,38912,40050,51128,26024,37705,19561,24382
2호선,신대방,96060,18540,142828,37855,45375,68135,51918,95904,29646,90164,22269,61421
2호선,신도림,144266,42738,159857,129969,138124,139784,165201,202054,102790,162200,89937,94501
2호선,신림,223764,37721,342350,67926,116579,166718,118845,263625,80791,261588,67126,164034
2호선,신설동,3179,6083,6266,15420,14462,6708,17662,6608,7118,5057,4295,3441
2호선,신정네거리,42763,5687,43749,12350,19875,28405,15236,42505,8789,35288,6352,22788
2호선,신촌(지하),38020,37077,58328,93802,131665,118168,131681,159342,100443,117810,105414,65585
2호선,아현,26397,12342,39426,22517,24708,24473,23211,31795,13781,27209,9889,19258
2호선,양천구청,32459,5414,33615,10875,12031,19881,11145,29903,5105,26721,3548,16805
2호선,역삼,16299,122844,29665,347487,193188,70994,284311,84225,145323,55560,92253,29744
2호선,영등포구청,42632,32031,52831,124534,57749,43732,106583,61980,41171,44644,32250,27306
2호선,왕십리(성동구청),27855,12628,55492,31345,47201,43783,50286,69250,33560,48410,32675,29128
2호선,용답,8033,1586,13433,3719,5185,6821,4422,10774,2702,7947,2140,5198
2호선,용두(동대문구청),4953,2067,8336,6746,6123,5413,6555,8364,3247,6274,2581,3377
2호선,을지로3가,6305,60735,11609,164367,81442,37581,139190,43664,65075,26891,48562,14737
2호선,을지로4가,3612,28868,6328,81145,55651,19046,75371,16903,36278,10856,20453,7061
2호선,을지로입구,8988,117591,16625,343766,170976,92062,314043,98757,163615,59454,157325,32868
2호선,이대,17971,17650,26771,43550,67363,37667,52915,42266,36595,31900,31473,20308
2호선,잠실(송파구청),121267,85129,184148,207206,245169,202599,301558,266029,213356,192090,201268,116902
2호선,잠실나루,38453,21911,55475,40081,41603,30218,37093,42259,19974,34473,15640,22628
2호선,잠실새내,56656,16277,91140,29526,49302,71966,51850,101536,37402,77957,33110,47208
2호선,종합운동장,17167,16504,28524,30645,23145,31248,24403,39209,15507,27728,15491,14548
2호선,충정로(경기대입구),16847,16302,25185,70126,28087,20163,56043,26075,19164,19587,13333,12912
2호선,한양대,5780,13555,10187,53182,44785,15256,36020,19752,19201,11595,16894,7130
2호선,합정,44508,35488,60495,102929,86424,93303,124125,131016,81261,102918,66884,53414
2호선,홍대입구,70091,39702,90857,117817,211593,250863,237558,305922,198816,248519,194761,145570
3호선,가락시장,21089,9678,26374,32173,24559,26088,33947,32593,15533,23670,13531,14783
3호선,경복궁(정부서울청사),14864,40295,22725,127928,92512,41506,115353,46319,48456,30520,40091,17071
3호선,경찰병원,23063,7509,29558,31463,17967,17087,22450,23289,9075,19488,7118,12207
3호선,고속터미널,26734,54793,53318,92102,196560,160051,184731,169987,165153,114292,175385,70107
3호선,교대(법원.검찰청),8047,14593,13475,49453,45870,18708,69778,25322,33308,14298,29574,6723
3호선,구파발,90861,22358,95892,31095,46491,48271,40107,75255,25415,66654,21178,40776
3호선,금호,27277,4551,42036,9253,15236,22622,14046,31973,9076,24408,6736,18257
3호선,남부터미널(예술의전당),28263,55795,48855,162866,106953,80380,151564,87661,77919,62548,61316,35298
3호선,녹번,60588,7629,73389,18468,25282,31849,22584,48353,10931,44881,7705,29183
3호선,대청,27659,14850,36971,29253,26434,21555,32169,27479,13986,24766,10123,17774
3호선,대치,25924,12007,31351,25036,30679,31144,30255,31998,23010,25971,14984,15639
3호선,도곡,9195,11630,14002,23426,19160,11875,21187,13250,11696,10566,7912,6663
3호선,독립문,17247,15084,23117,22888,18939,16850,18007,20135,8876,17098,6542,11168
3호선,동대입구,5185,20621,8869,63247,45508,26574,47066,26577,28380,15590,32482,7346
3호선,매봉,15386,19872,21563,71202,34798,20605,63397,25363,24796,17943,16963,10680
3호선,무악재,15694,2879,19310,5705,7035,10775,7462,14986,3409,13834,2522,9174
3호선,불광,54051,10239,69064,33611,37879,51056,38504,65498,22182,55939,17867,34495
3호선,수서,37152,31736,49905,54979,46755,43611,59614,56960,27761,44097,26789,32299
3호선,신사,12755,43875,22290,116393,103163,78358,150556,107027,109926,66702,77632,29005
3호선,안국,6452,97732,10194,119952,123340,38619,126313,35977,56122,18437,46273,9650
3호선,압구정,16479,47292,30603,156530,103532,76662,153903,84083,111171,50030,89181,22950
3호선,약수,26084,15670,43978,37045,32165,33125,38454,46194,22641,33825,18294,22326
3호선,양재(서초구청),35829,100517,51903,260317,131099,85451,215579,106114,107276,68487,80053,40246
3호선,연신내,142559,26964,182050,39414,72572,102135,62912,150338,44440,140037,35790,86527
3호선,오금,25796,5645,34669,15667,13284,14195,15107,21295,6727,17519,4572,12008
3호선,옥수,24597,7554,37397,17262,21043,26899,20979,36405,13029,28671,9611,20260
3호선,을지로3가,2457,31453,4441,85557,40265,20761,71886,23516,33812,13508,23298,6493
3호선,일원,22380,27629,26116,26361,34367,18182,19278,22110,11324,19263,8752,12395
3호선,잠원,16297,8075,28085,11468,14785,15292,14562,20402,8018,15588,5318,10995
3호선,종로3가,2226,14079,3228,51336,35062,25548,58831,26634,41821,16034,22442,7869
3호선,지축,6354,2446,7875,2402,4021,3945,2249,6379,1071,5195,654,3832
3호선,충무로,0,0,0,0,6,0,8,0,6,0,11,0
3호선,학여울,3757,4758,5092,11153,12958,4199,10135,4531,3353,3848,2107,2567
3호선,홍제,63514,12353,80809,27353,38112,47307,33969,63914,18553,57188,14403,36201
4호선,길음,88011,14699,101302,36039,47711,53227,42782,77268,26119,67259,19701,43864
4호선,남태령,2864,4631,5053,6253,4895,1999,4623,2163,1854,2235,1072,1585
4호선,노원,58587,13955,67940,32078,44952,66064,43541,92852,32605,84355,34457,52601
4호선,당고개,54703,8806,55747,14256,23057,30134,19915,41358,13350,38828,8812,28150
4호선,동대문,6524,37030,9336,84032,105947,34762,92274,29933,49222,33288,35373,23817
4호선,동대문역사문화공원,8868,29390,13349,84732,71779,37057,101422,42346,69847,52539,55075,32453
4호선,동작(현충원),5102,3299,7200,6266,6368,5399,6868,6685,2942,4985,2351,4349
4호선,명동,6583,52668,12987,133428,114666,107214,160508,101737,114840,73765,107069,47758
4호선,미아(서울사이버대학),54494,16591,64854,40478,32744,38971,33733,50581,20076,46011,14888,29410
4호선,미아사거리,102539,21022,121614,37325,59023,81162,58382,115413,42852,100614,40914,60251
4호선,사당,72981,24763,97326,40764,57357,79054,61501,118232,44188,82315,40300,44664
4호선,삼각지,5542,10114,8948,29126,14411,13192,26148,16111,10889,10415,8962,6357
4호선,상계,97317,16172,92238,21944,31609,46732,28770,67120,18082,65309,13270,42778
4호선,서울역,12944,36356,19054,104035,43704,55691,80426,55758,30567,44280,21344,33457
4호선,성신여대입구(돈암),50936,17765,67254,44623,58837,58854,59367,79074,41090,67303,36394,43614
4호선,수유(강북구청),124178,22295,149506,60184,71240,93918,77356,136539,47479,129958,36982,84346
4호선,숙대입구(갈월),19034,23277,31947,64777,43446,32794,61574,43512,31429,30470,26097,19154
4호선,신용산,11217,31997,17258,103292,59299,32370,99020,40478,48494,25435,36221,15437
4호선,쌍문,136738,15720,153152,33890,50605,76415,46200,107863,30030,111593,22037,72159
4호선,이촌(국립중앙박물관),13440,14119,21096,30366,30222,19333,29267,24736,12487,17870,9310,11644
4호선,창동,104413,20211,95124,46121,58845,74028,58425,103610,32102,95869,25815,63981
4호선,총신대입구(이수),47930,18123,70542,46123,45291,65088,51296,91972,31717,65326,29471,37639
4호선,충무로,10981,51396,17895,198186,100433,53332,163489,58274,91041,36911,67586,20874
4호선,한성대입구(삼선교),33861,20244,45886,36701,39674,35135,38731,43873,23978,36414,19850,24296
4호선,혜화,18758,47918,24841,141684,135889,102328,153204,114636,99773,84273,98665,31446
4호선,회현(남대문시장),6780,56641,11006,172175,137374,36458,137661,30561,66815,18163,69810,10370
5호선,강동,65635,25745,85831,42182,50640,42383,52167,58013,27743,48888,19522,32550
5호선,개롱,28491,8724,27539,18225,14362,17762,15772,23211,7353,22072,5751,12715
5호선,개화산,21863,6254,21259,18864,13564,11204,17064,16490,7203,15049,4806,10124
5호선,거여,35892,7420,34190,17891,16726,18515,15301,24730,7223,22963,5601,14151
5호선,고덕,34601,13949,33487,17385,22457,19374,17249,33616,9580,29802,7473,17875
5호선,공덕,19111,28824,32522,92643,41818,31855,72952,54071,28242,28701,22696,15586
5호선,광나루(장신대),41862,14391,54290,34977,30383,30375,36456,43520,18395,32875,14605,21834
5호선,광화문(세종문화회관),9962,78496,15387,298650,131554,71167,241016,85345,105022,45463,88517,20273
5호선,군자(능동),33784,7334,53967,23304,22352,33650,26558,53883,16775,40088,12987,23410
5호선,굽은다리(강동구민회관앞),37717,5607,43161,13520,17647,25527,17552,33080,9844,33709,8636,18648
5호선,길동,22275,5774,29122,15807,16233,21496,16338,27916,9098,25834,7698,14108
5호선,김포공항,6164,15998,8336,20863,26114,19838,35143,19266,22576,12935,19386,6136
5호선,까치산,135350,12610,171050,23533,41748,76246,40032,122578,24948,113260,19588,73673
5호선,답십리,56146,13563,84510,37656,32059,36172,39136,58096,21334,46179,13953,27268
5호선,동대문역사문화공원,1132,8658,1819,35394,11286,4112,22341,4637,9194,2851,5113,1922
5호선,둔촌동,25255,9409,30792,22218,20974,23739,22750,33181,12820,24930,10032,15220
5호선,마곡,22770,8976,23848,29758,20784,11903,24108,17705,10253,15659,7008,9383
5호선,마장,15887,7578,23395,18266,14418,15297,14945,21872,9730,15411,7916,9149
5호선,마천,23872,4029,23838,10045,10639,14156,8785,17079,4114,16617,3104,10200
5호선,마포,24889,22191,40833,75635,36516,34757,63142,56292,26346,32576,22395,17996
5호선,명일,39083,6329,39731,11880,15855,23918,13396,35488,7282,34901,5788,18418
5호선,목동,65391,12106,84135,30779,35052,49990,37106,83538,20142,67405,16261,39429
5호선,발산,28147,30324,31790,94274,63511,41662,79727,59843,42061,44688,36801,22642
5호선,방이,19889,8732,20706,24691,16673,20616,22396,24423,12063,21201,10311,11462
5호선,방화,30841,5757,28947,16275,13135,15873,12929,21278,6217,22125,4560,15358
5호선,상일동,89589,14558,71007,19551,34519,28915,23581,45973,10321,49693,6626,30006
5호선,서대문,17451,51157,24843,160422,62670,25445,115503,33372,35249,20397,28405,12752
5호선,송정,23231,7982,25955,14316,16640,17413,18024,22653,10080,20188,7831,13979
5호선,신금호,21671,9705,32151,13281,11989,16982,11907,26097,7471,18814,5723,12082
5호선,신길,10144,4881,17720,16885,7681,8900,13625,14362,4928,8938,3149,6750
5호선,신정(은행정),65718,8135,87881,14506,19651,28313,19805,43574,10679,37611,7474,25197
5호선,아차산(어린이대공원후문),44981,11783,67793,27422,29793,38534,28387,56049,17911,42998,15174,27142
5호선,애오개,18416,8874,29762,32302,16777,15169,26197,24048,9811,16018,7174,10647
5호선,양평,21569,8174,28211,38769,15925,12340,32371,21275,11047,15682,7467,9681
5호선,여의나루,5110,27381,9237,59531,35747,14633,47351,17626,18466,10871,13479,6960
5호선,여의도,9792,125185,15000,226027,115018,33148,177148,44431,63902,21532,47283,11711
5호선,영등포구청,7207,4361,11432,21306,8919,6655,17139,10729,7424,6313,4321,4148
5호선,영등포시장,17596,12219,27831,38525,32954,20980,40331,30477,19193,18840,15694,11518
5호선,오금,9657,8120,10316,20889,9106,6944,15064,8409,5403,7860,3919,4555
5호선,오목교(목동운동장앞),50515,24151,67433,82262,61025,64989,86047,93451,47945,64956,50553,35389
5호선,올림픽공원(한국체대),12255,7035,13783,11358,11644,12987,10873,12064,7031,9732,5207,6740
5호선,왕십리(성동구청),6144,5491,10165,19832,12962,14745,16506,21679,10222,13253,9423,7322
5호선,우장산,58546,16900,65862,26723,28309,37540,23717,55632,13931,49463,10699,31074
5호선,을지로4가,1337,14639,2091,44640,22797,7059,35681,6777,17897,3558,10206,2028
5호선,장한평,49069,21917,73929,69944,45785,40082,68357,62149,35927,48127,17888,29821
5호선,종로3가,4018,13675,5911,46105,55405,35930,71135,41211,46285,23684,39809,11693
5호선,천호(풍납토성),29140,19791,37822,37373,55681,54233,63678,70009,43706,54553,40864,31566
5호선,청구,6732,3995,12585,15331,9469,7828,13954,11233,8876,8827,5487,5673
5호선,충정로(경기대입구),5249,6174,7777,39923,12709,6537,32920,9882,9703,6230,7119,4527
5호선,행당,32867,5273,51432,9060,13301,20142,12795,32920,7362,24112,5675,15694
5호선,화곡,122316,14950,161622,31812,47418,71976,47514,123443,28667,104602,21019,68688
6호선,고려대(종암),21024,11582,30511,33648,27391,18306,26799,25160,14050,21427,10984,13510
6호선,공덕,21540,32529,32490,106926,54159,34866,92517,49008,39902,32615,32001,19249
6호선,광흥창(서강),18647,16225,27741,41658,23420,17882,33649,24310,16546,18535,11354,12225
6호선,구산,29063,7622,37939,7833,12788,15320,11176,20562,7029,20606,5088,11768
6호선,녹사평(용산구청),5088,8723,9889,16797,17611,16698,20155,21604,13231,15493,11411,9152
6호선,대흥(서강대앞),14156,12999,22507,40584,25075,18474,30944,25857,15323,18080,12183,10956
6호선,독바위,13954,1887,15005,2981,4079,7532,3490,11147,2239,11012,1347,6794
6호선,돌곶이,32492,6291,40787,16997,16816,21715,16604,29697,11346,26281,7076,16163
6호선,동묘앞,9446,10222,13621,28101,29236,17799,29911,18424,16007,14717,11033,10333
6호선,디지털미디어시티,43069,28698,52386,77491,34382,27974,54441,41842,24213,33820,12668,21155
6호선,마포구청,39913,14545,58266,38733,29147,28228,40701,40643,20285,33118,13636,23840
6호선,망원,27811,8471,43030,33082,32533,39989,40576,53414,27800,41826,22012,22858
6호선,버티고개,5328,2689,8962,5554,5713,5351,6767,7279,3848,6138,2600,4138
6호선,보문,20149,8101,34794,19419,15604,14807,18933,22335,10365,18833,7288,12808
6호선,봉화산(서울의료원),54273,6609,51140,13343,16585,23143,14830,33763,7740,33456,5810,20643
6호선,불광,10789,3305,13365,7949,13463,12200,12945,17427,8708,13714,7206,7838
6호선,삼각지,7036,12518,11244,27076,22464,12892,28748,14935,13374,9446,11509,6542
6호선,상수,10360,6841,16166,28648,26976,33726,34756,44008,24627,33263,23380,18083
6호선,상월곡(한국과학기술연구원),24779,3433,29535,15646,11959,13468,12474,19866,7220,18147,4453,11451
6호선,새절(신사),55775,9291,72095,17051,22621,34708,20083,51245,13059,44142,9415,30039
6호선,석계,51666,8011,62847,14170,21464,36545,19543,52019,13779,50125,10515,30888
6호선,신내,0,0,0,0,0,0,0,0,0,0,0,0
6호선,신당,8124,15450,12548,43207,25206,15691,32859,20899,18536,25783,15496,14306
6호선,안암(고대병원앞),8672,17987,13059,46712,47841,22814,41675,29027,28569,21866,24627,14289
6호선,약수,4692,5376,8021,19583,10441,8442,13761,10448,8066,6934,6330,4290
6호선,역촌,16129,3033,18784,8449,6899,10845,6540,16333,3769,14814,2801,8618
6호선,연신내,0,0,2,0,2,0,0,0,2,0,2,0
6호선,월곡(동덕여대),41286,7415,51285,27397,25266,29341,29944,42291,16870,37627,13724,22307
6호선,월드컵경기장(성산),8865,4831,11766,11030,14540,11813,13378,14075,7550,11336,6334,6834
6호선,응암,71296,10386,96537,18670,28972,46118,26830,72583,16239,68165,12245,40455
6호선,이태원,15112,11310,18975,27712,38559,54050,45152,69817,37242,60364,34538,40890
6호선,증산(명지대앞),40540,5967,54074,12126,17310,26306,16781,40044,9833,35526,7639,23161
6호선,창신,14977,6177,19672,6777,5989,6311,5612,8940,3535,8074,2893,5535
6호선,청구,7145,5943,10961,24326,8333,7200,13600,9346,8850,6546,5422,4508
6호선,태릉입구,18666,4546,23507,10218,10689,15894,10604,24179,6995,20540,5524,12735
6호선,한강진,3439,17811,5119,36161,29467,27603,35723,31710,25694,21801,21006,6487
6호선,합정,14842,16308,24381,46262,36762,35399,52900,50171,34362,34997,30396,18597
6호선,화랑대(서울여대입구),65278,7521,65140,14803,22333,23253,19729,38603,10164,35667,7112,21654
6호선,효창공원앞,15554,7124,27727,24089,17819,14116,23738,19044,12048,14265,7165,9245
7호선,가산디지털단지,20338,94871,24351,399553,166072,38648,316702,41501,142042,30326,80170,16622
7호선,강남구청,7522,29831,10727,109981,42550,22405,85084,24514,53062,17037,34120,10638
7호선,건대입구,12977,19990,22117,44672,49231,40813,47940,58329,37017,41687,39335,21535
7호선,고속터미널,10935,37412,22054,61182,66184,33712,68670,38354,50758,24088,49026,13382
7호선,공릉(서울과학기술대),39034,11684,46565,28148,27191,29614,27583,41657,16489,41514,13863,24921
7호선,광명사거리,92506,17414,118435,30421,46790,65094,41876,99535,28910,84927,22401,49387
7호선,군자(능동),35205,8747,61618,27243,30044,28689,37712,41367,23859,35984,18711,22075
7호선,굴포천,38569,5407,40595,12434,16554,25964,17315,40012,9869,40671,8092,23583
7호선,까치울,30941,5301,41308,10903,12510,19316,12443,29465,7769,26233,6190,16686
7호선,남구로,32665,25249,40794,106934,37723,44327,79853,39732,38680,27727,22386,18818
7호선,남성,39139,6319,62764,16373,19155,27133,18335,41939,11397,34382,9462,21921
7호선,내방,17652,21510,30458,83395,38825,25265,70824,33552,27680,24393,19671,15154
7호선,노원,38789,14106,40999,45887,51958,55655,53774,68875,36767,61358,36445,31909
7호선,논현,9304,43340,16767,123571,54248,35030,104141,48005,63015,31492,40853,16270
7호선,대림(구로구청),15984,7443,24983,20005,25884,29112,26086,31938,17237,21908,14405,14328
7호선,도봉산,56063,6644,42667,13724,15512,21960,11825,33539,6065,40988,4019,26689
7호선,뚝섬유원지,20695,5552,32661,13500,14288,18403,13694,25863,8629,19603,7116,12758
7호선,마들,62755,7739,59291,11203,17181,28738,13854,39087,8527,43861,6025,27340
7호선,먹골,39101,4910,49210,15161,18522,27686,18960,37612,11814,38061,8654,21916
7호선,면목,59800,8950,80500,26317,26391,39341,25538,54895,19155,54616,12527,33016
7호선,반포,9355,12354,14565,23845,18790,12022,21420,14209,13883,9587,11234,6261
7호선,보라매,20185,18581,33037,46437,22793,19426,35450,28726,14289,22519,11020,13311
7호선,부천시청,43517,14115,42740,29643,29698,29578,31225,48442,21407,43460,22271,23979
7호선,부천종합운동장,19695,5643,24709,11904,9649,8864,12142,13853,5331,12430,3641,8128
7호선,부평구청,67564,12073,56824,14172,21709,22291,19026,35102,11216,40086,7933,25440
7호선,사가정,52386,12133,69412,27052,31143,41366,29817,58547,20812,54878,15210,32966
7호선,삼산체육관,25634,3055,25726,8294,9422,12779,7786,18775,4307,17123,3165,11032
7호선,상도,32208,8252,47990,24966,26342,25511,24507,39894,13831,30953,11614,20179
7호선,상동,43965,11839,41229,30183,34020,36535,36775,56114,24444,46226,22153,26362
7호선,상봉(시외버스터미널),53027,14398,73976,35887,38783,41493,40803,60304,28329,58888,21646,32985
7호선,수락산,53360,8300,52104,17592,23999,31532,22821,43103,14587,47103,9845,30143
7호선,숭실대입구(살피재),39238,8631,60281,27764,34189,32652,27285,50607,17940,41707,16380,25818
7호선,신대방삼거리,51700,13652,87561,37191,29297,36513,35261,60966,18944,51625,15244,32240
7호선,신중동,48229,13834,47932,45834,33572,33460,46473,52047,22639,48345,24158,26639
7호선,신풍,36897,12039,52121,23608,23745,29380,23764,40646,13663,31180,10192,19941
7호선,어린이대공원(세종대),17469,15900,32964,57073,47390,27310,44851,34755,25790,26234,23204,16180
7호선,온수(성공회대입구),49077,13116,62034,21173,19253,23393,16659,40597,8298,37040,6481,21902
7호선,용마산,24948,3871,33892,9582,9710,13472,8875,20606,5961,19860,3581,12984
7호선,이수,26790,14031,49401,45465,38069,43051,49707,64830,29747,46495,28821,25989
7호선,장승배기,31293,8227,50276,19994,19426,25808,20626,37807,11805,30601,9409,19345
7호선,장암,18769,1281,11677,1584,4141,1746,3275,2855,1954,2957,1137,1675
7호선,중계,66848,16551,70845,30204,27011,32589,22090,48517,12636,48574,9727,29956
7호선,중곡,32466,10610,51590,20465,19831,22809,17198,32394,11482,30665,7643,18924
7호선,중화,38735,8738,53197,24456,21370,27487,22392,38359,13889,38292,9580,23185
7호선,천왕,44699,6956,56904,14163,15615,22374,14817,36627,9025,35061,5875,20727
7호선,철산,91137,15568,104740,34263,44411,65517,45965,102224,27600,92266,24898,51616
7호선,청담,12323,58624,18656,161541,64645,29249,111834,30894,65021,20964,39171,13816
7호선,춘의,24804,25992,26757,53788,27250,14306,43780,20778,17010,19140,11272,12615
7호선,태릉입구,21167,9038,26582,21381,22320,17940,23653,22875,14081,21932,9935,14377
7호선,하계,74975,16944,80262,29373,38671,42949,33682,61370,20125,63455,16297,37418
7호선,학동,9225,47585,13681,187535,64539,26801,159256,27849,77756,17585,41832,11329
8호선,가락시장,10466,12609,14712,39529,21259,23565,30668,30965,15550,21296,14643,12902
8호선,강동구청,31076,13391,46258,35693,22991,25546,31279,37740,13047,30534,9686,19066
8호선,남한산성입구(성남법원.검찰청),50673,11558,72562,27702,26017,28015,26319,45100,13123,38835,8985,25089
8호선,단대오거리,37030,11093,48630,21499,20327,24714,24745,38180,12480,32325,8256,22315
8호선,모란,9657,4496,13327,8923,12440,8916,11810,11031,6972,8035,5225,5064
8호선,몽촌토성(평화의문),8576,8714,14384,26639,14885,12301,22674,15561,10619,11121,8436,7440
8호선,문정,23550,31997,34450,164575,58973,28514,124972,35726,45618,28945,29767,17606
8호선,복정,32460,11764,45956,21124,26353,21932,30413,33615,16936,28786,11634,19134
8호선,산성,19497,4653,27695,8459,12793,12934,9048,19378,4508,16784,3221,12176
8호선,석촌,17075,7381,27441,23247,18762,21901,22083,32383,12341,23891,9912,14997
8호선,송파,32239,13183,43443,20067,19240,22049,20801,31877,10800,27221,7567,17518
8호선,수진,15026,4407,22783,13730,13398,11874,10425,16689,6409,14173,5458,8993
8호선,신흥,12903,3259,17716,6498,11032,14164,9775,18598,6360,15972,5400,10423
8호선,암사,80142,8501,111183,19226,28397,45006,27766,70449,16681,58777,11594,37601
8호선,잠실(송파구청),8813,28046,13373,80666,57024,44821,75406,53707,48555,32863,45931,16129
8호선,장지,50275,19303,64397,54060,45784,40143,61263,59247,33860,44404,27256,26526
8호선,천호(풍납토성),47433,17959,69798,33107,39520,57848,45265,82889,28571,65241,24257,37046
9호선,가양,75650,24568,82091,42815,44473,46160,48453,67947,23383,65305,17219,42035
9호선,개화,14602,3414,10254,6026,6713,3760,7225,5451,3179,5720,2176,4093
9호선,고속터미널,14187,20645,20526,31159,42256,58745,41919,62754,35708,42909,32750,28445
9호선,공항시장,8900,1917,9968,3765,5512,8355,5090,10584,3235,10913,2904,7213
9호선,구반포,4146,3325,6572,6635,8303,8780,9304,11172,5788,7562,5048,4420
9호선,국회의사당,3964,41685,6920,152626,72008,21668,124331,23352,50514,11863,32959,6086
9호선,김포공항,9856,20488,13636,25129,25399,35490,29917,36959,23309,25362,21721,11096
9호선,노들,17090,2569,21531,4702,8267,10532,7668,16013,4324,12241,3366,8387
9호선,노량진,61119,41276,97436,73313,64739,83430,74472,121569,45349,82267,46641,51929
9호선,당산,48757,14588,62301,43299,42660,45208,52060,66088,29460,53334,23734,35992
9호선,동작(현충원),4853,1785,7264,2900,4028,3106,4297,4525,2050,3167,1706,2204
9호선,등촌,36474,7518,46134,18026,20123,26664,20453,38056,10291,36222,8156,21526
9호선,마곡나루,26293,9435,29532,32956,26370,22266,33729,33176,17002,30402,15715,18886
9호선,사평,9483,4347,12093,6493,8712,8292,8201,10651,4884,8727,2903,5671
9호선,샛강,4066,12444,5951,29239,19063,12304,28148,15323,11291,9180,9772,5417
9호선,선유도,17488,10436,20749,37749,19369,12046,34833,19071,12909,15331,7992,9190
9호선,신논현,32469,44603,45211,103007,96950,85882,126964,131813,91736,95733,73680,44542
9호선,신목동,18057,2657,19421,5258,7416,8422,7148,13607,3462,11429,2580,7471
9호선,신반포,5229,6263,8621,8924,8775,6391,9167,8523,5284,6431,3508,3976
9호선,신방화,28679,5179,29494,10839,11184,16663,11320,24405,6477,23706,5304,15005
