호선명,지하철역,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원
1호선,동대문,17880,13883,24318,28116,33872,30865,32396,30232,22377,31226,18076,21867
1호선,동묘앞,7269,11329,10256,29107,39812,17197,28207,11995,12446,8186,7452,6247
1호선,서울역,42971,105213,87305,226780,173386,109475,256149,114261,138349,82312,97617,59499
1호선,시청,8160,65801,10751,203319,91667,33451,170360,34605,74106,18177,60743,10180
1호선,신설동,21042,26898,32014,76155,46693,29341,72125,33486,28881,25489,18719,16704
1호선,제기동,23473,20443,36695,46780,54443,31734,48078,30218,24867,22078,16651,14101
1호선,종각,7318,95355,12414,273124,146602,66018,248103,83968,121851,48981,105922,19928
1호선,종로3가,6657,27630,11028,79010,101394,57417,122185,63449,84314,37239,64827,15594
1호선,종로5가,5783,39965,9742,119740,95767,44052,124043,42113,67845,26629,45822,12025
1호선,청량리(서울시립대입구),46531,19365,63210,42662,64121,56736,52989,65834,31692,46891,25793,29240
2호선,강남,46985,152605,77059,357421,276607,199468,387701,283910,252975,210222,209318,93332
2호선,강변(동서울터미널),94258,37257,146892,60427,84108,117097,92413,157046,78571,120900,67916,82538
2호선,건대입구,61867,27786,112345,76706,96141,131814,107338,202398,81840,155441,82772,89082
2호선,교대(법원.검찰청),30637,58672,46445,166832,107911,83797,163939,103966,82662,66605,69947,35345
2호선,구로디지털단지,154758,71887,212010,270290,135130,131516,253518,187896,132097,165997,82373,103094
2호선,구의(광진구청),71828,15917,129644,41408,40084,59654,48539,94060,26727,77259,20607,50383
2호선,낙성대,88822,21175,144211,47394,55487,64695,62780,100000,36826,99656,27898,63492
2호선,당산,52480,30689,71487,95226,48812,50996,74342,81051,37548,63168,25131,39922
2호선,대림(구로구청),77782,24080,112586,64389,54391,81787,67191,88635,36815,70760,27139,49398
2호선,도림천,2919,5414,3825,6577,3165,2151,3512,2820,1926,2499,984,1649
2호선,동대문역사문화공원,9048,26754,16901,67221,58458,39307,67098,46319,43374,51147,33261,35418
2호선,뚝섬,23740,30109,36399,131184,55093,35619,116160,48029,57855,32010,33207,17199
2호선,문래,46288,32438,52425,124272,56116,35695,104809,55291,41882,45088,27653,25004
2호선,방배,26581,29740,41140,87696,60214,39902,84433,47905,38393,38639,29162,24016
2호선,봉천,91089,14117,136903,28777,38232,58869,38421,88001,23741,83481,18156,50822
2호선,사당,80097,55212,116092,85551,87751,130292,110318,193915,81753,147777,76400,84902
2호선,삼성(무역센터),19412,131167,28329,362317,229074,87169,349892,95118,215152,57314,155211,27083
2호선,상왕십리,41746,11721,71581,38334,27555,33558,33269,53019,20691,40478,13893,25860
2호선,서울대입구(관악구청),139715,33470,208968,76520,104614,118859,113368,182044,72754,174709,59253,105717
2호선,서초,16445,50418,28186,130564,78926,32256,117753,36155,56361,24858,38957,13122
2호선,선릉,23851,109639,40234,317901,188484,64160,313925,72767,158186,49357,99385,28253
2호선,성수,26987,65118,37253,271941,92417,44845,211789,55906,88445,39391,51887,22385
2호선,시청,6040,62292,9910,236457,95717,27967,199432,29620,71042,16423,51537,9247
2호선,신답,7035,942,11517,1965,2200,4383,2240,9633,1277,7560,739,3762
2호선,신당,29786,17293,51084,41425,35065,37641,39835,50010,24999,37642,18496,23790
2호선,신대방,100293,19818,148082,39470,42307,70853,50397,98704,29008,95620,21022,62184
2호선,신도림,153082,43926,167889,136326,127522,136418,165391,203480,101629,168236,85542,94630
2호선,신림,233688,38542,358290,69397,107469,167013,111926,267799,75988,269926,61822,163715
2호선,신설동,3246,6106,6443,15814,14304,6468,17583,6543,7025,5215,4115,3371
2호선,신정네거리,46960,5126,45954,13246,18618,29472,14548,44473,8390,37591,6009,22333
2호선,신촌(지하),40303,39433,62511,102957,131393,114943,133864,158921,96568,121243,98560,64648
2호선,아현,28446,13543,41291,25377,25666,24414,24431,33586,14045,28124,10164,18759
2호선,양천구청,35544,6040,37017,11415,11755,20819,10367,31749,4800,29146,3325,16871
2호선,역삼,17305,125660,31689,363087,188222,60845,301434,73250,152768,52047,91677,28049
2호선,영등포구청,45405,32278,56145,129745,56925,40987,110818,62790,40966,46699,31183,26870
2호선,왕십리(성동구청),30342,13845,59134,32152,47114,42661,51352,68402,33926,48371,32125,29176
2호선,용답,8467,1666,14186,4411,5672,6968,4549,10959,2838,8204,1927,5233
2호선,용두(동대문구청),5205,2179,8489,6473,5971,5331,6500,8329,3107,6313,2217,3384
2호선,을지로3가,6746,61492,12368,162313,80996,35095,144011,41990,68546,26637,48273,14238
2호선,을지로4가,3680,29024,6790,82701,54621,18363,76820,15868,36957,10918,19588,6577
2호선,을지로입구,9414,118365,18110,353344,163528,78814,319467,86498,158091,51104,144499,29213
2호선,이대,19039,20713,28849,48375,75676,41698,60711,48568,40220,36078,35251,20862
2호선,잠실(송파구청),126498,92157,195042,207872,221001,191020,287327,261664,201789,188412,185693,113407
2호선,잠실나루,41799,22698,58940,42955,40158,30599,36884,44640,20005,37160,15539,22986
2호선,잠실새내,62984,18304,96460,30893,44324,67860,48348,100213,35551,79485,31573,45878
2호선,종합운동장,19488,28836,31618,36095,25001,21841,22217,31723,15365,22680,13563,13805
2호선,충정로(경기대입구),17710,17889,26241,72561,28715,20052,59464,26575,20161,19878,14117,13243
2호선,한양대,6274,15942,10966,74619,57497,18054,47447,24234,22548,13039,20506,7696
2호선,합정,47287,36990,64136,105880,83169,86957,124107,123155,82711,101289,65198,52164
2호선,홍대입구,72030,40565,97368,118437,191462,227589,221209,289352,175936,239531,171684,136519
3호선,가락시장,23394,10255,28395,32784,22033,24366,33072,31676,14998,24340,12127,15017
3호선,경복궁(정부서울청사),16077,45038,24221,138682,109494,42098,133201,47280,57312,32685,43412,17290
3호선,경찰병원,24839,7603,30702,33022,17039,16631,23255,23476,8809,19940,6499,12623
3호선,고속터미널,28446,60136,56552,96607,177691,151763,170805,167533,155561,111619,170254,67918
3호선,교대(법원.검찰청),9962,18580,14711,52300,46727,18479,73122,24642,33842,14110,31453,6829
3호선,구파발,96774,24808,101555,33752,44211,47895,39683,75660,24771,70466,19370,41681
3호선,금호,29296,4566,43571,9627,13909,23473,13425,32642,8801,25788,6610,18046
3호선,남부터미널(예술의전당),30524,60315,53182,179190,106247,74630,159999,86007,79336,62813,61721,34214
3호선,녹번,64333,7702,76276,18646,23764,31999,22280,50156,10679,48241,7713,29620
