from,to,line,am7,am8,pm5,pm6,pm7,pm8
소요산,동두천,1,-2916,-407,352,-1296,-2046,-2102
동두천,보산,1,2180,1793,1666,-1496,-3235,-2066
보산,동두천중앙,1,5939,285,364,-512,-4502,-3441
동두천중앙,지행,1,18703,14212,-5194,-9951,-15001,-9273
지행,덕정,1,13048,3656,3053,-1733,-11552,-7563
덕정,덕계,1,10299,8236,-673,-3561,-5322,-4173
덕계,양주,1,25151,20710,-5381,-9308,-16837,-13186
양주,녹양,1,17060,10731,-3086,-7320,-10703,-7751
녹양,가능,1,21482,8457,-3903,-12336,-14084,-7876
가능,의정부,1,33913,11077,-1766,-11736,-23805,-6135
의정부,회룡,1,55492,41397,-20183,-30487,-38179,-23052
회룡,망월사,1,25190,4128,161,-10814,-18498,-10573
망월사,도봉산,1,73785,44071,3653,-19167,-38139,-24894
도봉산,도봉,1,18315,12413,-3578,-7307,-11385,-6923
도봉,방학,1,26971,14662,-7207,-13292,-19121,-10250
방학,창동,1,89978,54929,-20829,-50120,-70185,-40599
창동,녹천,1,19105,17151,-4049,-9062,-10420,-6965
녹천,월계,1,12885,10198,1964,-7466,-10372,-4794
월계,광운대,1,31189,9282,3084,-10632,-15822,-6966
광운대,석계,1,67851,70595,-30701,-61005,-66915,-36331
석계,신이문,1,38374,39681,-12297,-22642,-22584,-13965
신이문,외대앞,1,16372,-1445,11733,-5031,-10228,-3878
외대앞,회기,1,26871,4261,22632,-16445,-28340,-7973
회기,청량리(서울시립대입구),1,41843,30781,5708,-32630,-27821,8014
청량리(서울시립대입구),제기동,1,3030,-10085,22709,17860,2789,2550
제기동,신설동,1,-13182,-65484,30527,57912,8954,4849
신설동,동묘앞,1,-4372,-34449,34147,27134,6137,2221
동묘앞,동대문,1,-28591,-81023,76365,68093,6163,6970
동대문,종로5가,1,-34182,-109998,51715,81930,41216,33797
종로5가,종로3가,1,-43743,-158526,77266,127944,94609,89041
종로3가,종각,1,-88037,-260710,80584,164135,72870,85994
종각,시청,1,-113893,-419115,125966,305567,110548,92853
시청,서울역,1,-106062,-264873,87770,221761,76160,52763
서울역,남영,1,-10120,-48746,10671,29616,5099,5222
남영,용산,1,-61593,-132113,46480,71356,43496,65320
용산,노량진,1,17865,24320,-18596,-57603,-50301,-3440
노량진,대방,1,-1001,-9954,7156,7755,-10925,-6593
대방,신길,1,14933,5185,192,8399,-10162,-7316
신길,영등포,1,-19646,-77594,23245,29686,10222,67893
영등포,신도림,1,113507,28639,-9528,-37412,-70631,-10104
신도림,구로,1,11253,-42040,6726,24152,-7121,-3665
구로,구일,1,22448,7969,-7349,-22652,-20155,-8450
구일,개봉,1,87372,76225,-30252,-60984,-64035,-36401
개봉,오류동,1,48497,43493,-9162,-26518,-34015,-17405
오류동,온수(성공회대입구),1,49697,47443,-189,-35761,-46668,-24073
온수(성공회대입구),역곡,1,125418,102759,-25159,-72350,-83263,-44413
역곡,소사,1,31261,16030,-5739,-11888,-20915,-11525
소사,부천,1,99689,65282,-29483,-70652,-82397,-34324
부천,중동,1,41462,24311,-8983,-17168,-25851,-12292
중동,송내,1,92226,14203,-10717,-13442,-63489,-30387
송내,부개,1,37891,26460,-9158,-18806,-23071,-13698
부개,부평,1,79635,61402,-37134,-82106,-84624,-24520
부평,백운,1,29037,19109,-8357,-17069,-20775,-11870
백운,동암,1,49832,46756,-21019,-35793,-41974,-25550
동암,간석,1,23639,18231,-5597,-11277,-15718,-8412
간석,주안,1,51837,28824,-337,-15289,-39792,-16227
주안,도화,1,13117,8251,28,-3333,-6383,-4061
도화,제물포,1,26560,1058,5306,-2575,-16956,-11075
제물포,도원,1,1282,-22916,2911,2238,-2221,-1144
도원,동인천,1,24556,459,9358,12926,-14272,-8387
동인천,인천,1,-1372,-6429,12642,9145,2422,1450
구로,가산디지털단지,1,-108184,-537337,157062,388042,145761,84388
가산디지털단지,독산,1,8686,-58050,19380,37606,-9067,-4786
독산,금천구청,1,38209,18695,-11054,-15649,-27969,-12938
금천구청,석수,1,31573,29366,-1869,-12520,-20789,-11573
석수,관악,1,31467,26125,-3313,-16856,-19187,-10482
관악,안양,1,72906,31440,829,-47949,-52831,-12933
안양,명학,1,5736,-39225,16185,19272,-4362,2001
명학,금정,1,49864,7479,-7077,-15254,-45323,-21564
금정,군포,1,-7087,-31800,8800,22410,-1359,2520
군포,당정,1,20427,6306,1247,-2599,-12796,-7728
당정,의왕,1,5552,4464,8814,-495,-11295,-7182
의왕,성균관대,1,61900,28948,-7210,-29443,-38174,-20373
성균관대,화서,1,37959,22359,-7805,-21243,-24922,-13716
화서,수원,1,39585,9912,7092,-29937,-34714,30239
수원,세류,1,12185,7470,-681,-5498,-7375,-5233
세류,병점,1,35020,16251,-30,-6113,-25149,-19467
병점,세마,1,6295,4071,-1224,-3091,-4323,-5136
세마,오산대,1,7646,947,1671,-1063,-3826,-3162
오산대,오산,1,6396,4040,629,2235,-14404,-5134
오산,진위,1,-4003,-4833,3529,6727,810,-326
진위,송탄,1,7413,3714,-1790,-4951,-5201,-8219
송탄,서정리,1,2261,-3583,9673,3958,-3580,-3577
서정리,지제,1,-1817,-758,6576,1918,141,-578
지제,평택,1,13671,9303,-5615,-10968,-7289,389
평택,성환,1,-3421,-12024,10485,7667,-1081,-518
성환,직산,1,-732,-1487,522,862,-593,-347
직산,두정,1,5952,-5921,3051,146,-2372,-4036
두정,천안,1,2710,-2242,6092,1702,187,-21
천안,봉명,1,-1031,-604,1236,-1237,-779,-259
봉명,쌍용(나사렛대),1,6650,1588,-16,-1756,-2941,-1456
쌍용(나사렛대),아산,1,2512,-590,-513,3343,622,784
아산,배방,1,2635,1153,-882,-481,-1309,-1237
배방,온양온천,1,4392,2511,1022,-2923,-3216,-3370
온양온천,신창(순천향대),1,-86,-8451,6321,4016,-46,-430
금천구청,광명,1,12210,3619,-594,716,-8671,1371
병점,서동탄,1,11628,4050,-779,-2842,-5052,-2959
시청,을지로입구,2,-108951,-335234,84714,232969,106987,115286
을지로입구,을지로3가,2,-83519,-229153,65655,152978,63023,50103
을지로3가,을지로4가,2,-38761,-119648,51655,91877,41198,20971
을지로4가,동대문역사문화공원,2,-45292,-156011,63584,103459,10242,18567
동대문역사문화공원,신당,2,5182,-21673,6499,1302,-19802,-4321
신당,상왕십리,2,30025,33247,-6003,-19750,-19787,-11967
상왕십리,왕십리(성동구청),2,32817,38252,-6580,-61523,-49603,-1831
왕십리(성동구청),한양대,2,-9668,-63653,39443,23213,9509,12810
한양대,뚝섬,2,-6369,-94785,19474,68131,25845,16008
뚝섬,성수,2,-38131,-234688,47572,155883,49054,29502
성수,건대입구,2,27645,12160,-23160,-106592,-79629,11336
건대입구,구의(광진구청),2,55911,88236,-19570,-45521,-50532,-29776
구의(광진구청),강변(동서울터미널),2,57001,86465,-32989,-64633,-42329,-14622
강변(동서울터미널),잠실나루,2,19101,15985,9559,-7756,-17155,-7447
잠실나루,잠실(송파구청),2,13407,-77004,39890,49252,29011,99501
잠실(송파구청),잠실새내,2,44680,65567,-23536,-51865,-43934,-14305
잠실새내,종합운동장,2,-3524,-655,4430,-11847,-11681,-847
