from,to,line,7_in,7_out,8_in,8_out,17_in,17_out,18_in,18_out,19_in,19_out,20_in,20_out
소요산,동두천,1,5558,8597,7063,6194,5531,6864,5561,6817,3100,5740,1685,4164
동두천,보산,1,5195,3031,4657,3032,6195,4840,3510,5197,2169,5757,1543,3859
보산,동두천중앙,1,9900,4770,11156,10859,7825,8820,8271,8401,3330,8160,2446,5938
동두천중앙,지행,1,22795,5828,26937,13345,13635,21457,14468,23220,8232,22946,7146,17036
지행,덕정,1,21847,9462,24950,19559,16008,15511,14459,15943,6970,17889,4563,13212
덕정,덕계,1,12237,2174,11814,3552,4267,5448,3508,6976,1700,7050,1119,5706
덕계,양주,1,35640,11266,31866,12715,14963,18997,17442,26038,8515,24224,4828,18987
양주,녹양,1,19565,4100,19296,8788,9079,11125,9568,16489,4729,15407,3354,11163
녹양,가능,1,24511,4751,24494,17229,12475,15691,10969,21968,7101,20312,5008,12856
가능,의정부,1,46741,14394,45782,37100,56176,55661,55100,62442,38234,60062,36301,38769
의정부,회룡,1,60745,7648,51062,12857,18305,37305,15446,42014,9616,47295,7409,30274
회룡,망월사,1,28034,4422,27971,17158,16648,21606,13475,24767,7503,26654,5958,17575
망월사,도봉산,1,81174,10410,66048,20191,32120,32165,23699,44300,13725,50648,9185,32810
도봉산,도봉,1,20949,3813,21477,10758,11642,14720,11390,17738,5163,16769,3721,9933
도봉,방학,1,33089,8142,33998,21395,19312,25461,20802,32215,11023,28587,8317,17892
방학,창동,1,104413,20211,95125,46121,58848,74028,58429,103610,32105,95869,25816,63981
창동,녹천,1,21839,3794,21202,5548,7114,10219,6072,14757,4014,13303,2522,9148
녹천,월계,1,20910,8123,23096,11626,15145,15207,11591,20076,7440,17831,5658,11351
월계,광운대,1,37063,6672,34327,15835,17900,19740,14568,27519,8992,24669,7583,16482
광운대,석계,1,79576,14305,98138,25498,38957,68888,35022,95378,24831,86638,19082,55303
석계,신이문,1,40474,4541,47496,9746,12732,23323,12089,33022,7466,28310,4935,18774
신이문,외대앞,1,21471,6380,28047,23280,27050,22778,20953,28159,13724,24303,12853,16927
외대앞,회기,1,57548,30953,77444,63823,75590,63897,65564,83867,41064,69577,36889,45729
회기,청량리(서울시립대입구),1,71241,32019,94437,63530,111161,98976,91024,116343,64605,89293,63179,54899
청량리(서울시립대입구),제기동,1,21301,18334,34521,43939,55059,31896,48742,29625,26060,22085,17941,14036
제기동,신설동,1,24219,36682,38863,101183,68424,40353,96122,41966,41786,31755,28026,21470
신설동,동묘앞,1,15999,20555,23303,54336,67678,34082,56178,29744,27712,23159,18531,16758
동묘앞,동대문,1,23184,49816,32534,110168,142358,68304,125753,62553,72399,65890,55208,46778
동대문,종로5가,1,5423,38232,9098,116878,97606,49599,123226,45262,67739,28093,49113,13019
종로5가,종로3가,1,12596,54277,19083,176528,195945,127124,254070,135590,178040,77475,133385,36611
종로3가,종각,1,6921,91653,11771,264798,150009,84324,244346,105131,129611,59762,122457,26177
종각,시청,1,13955,123167,19241,429188,183915,74730,353761,77943,147861,43308,122779,24870
시청,서울역,1,79248,180526,145492,401245,290732,203453,418672,212402,229615,161448,168803,120316
서울역,남영,1,12094,21757,19854,64217,28908,20322,52873,26666,21568,18372,17267,12527
남영,용산,1,22519,77051,33721,163961,138925,90895,175058,106013,113643,68075,112372,47316
용산,노량진,1,80471,56013,127172,98377,91530,113003,104499,166685,65027,111261,66767,69654
노량진,대방,1,32086,35371,46144,56109,36880,31174,50425,43778,21145,30643,16756,22592
대방,신길,1,35019,20415,53588,47987,28680,27421,46827,39127,18525,28021,12074,20064
신길,영등포,1,42347,62661,65242,139897,156617,132004,197087,170414,129596,112873,134777,58298
