from,to,line,am7,am8,pm5,pm6,pm7,pm8
소요산,동두천,1,-3039,869,-1333,-1256,-2640,-2479
동두천,보산,1,2164,1625,1355,-1687,-3588,-2316
보산,동두천중앙,1,5130,297,-995,-130,-4830,-3492
동두천중앙,지행,1,16967,13592,-7822,-8752,-14714,-9890
지행,덕정,1,12385,5391,497,-1484,-10919,-8649
덕정,덕계,1,10063,8262,-1181,-3468,-5350,-4587
덕계,양주,1,24374,19151,-4034,-8596,-15709,-14159
양주,녹양,1,15465,10508,-2046,-6921,-10678,-7809
녹양,가능,1,19760,7265,-3216,-10999,-13211,-7848
가능,의정부,1,32347,8682,515,-7342,-21828,-2468
의정부,회룡,1,53097,38205,-19000,-26568,-37679,-22865
회룡,망월사,1,23612,10813,-4958,-11292,-19151,-11617
망월사,도봉산,1,70764,45857,-45,-20601,-36923,-23625
도봉산,도봉,1,17136,10719,-3078,-6348,-11606,-6212
도봉,방학,1,24947,12603,-6149,-11413,-17564,-9575
방학,창동,1,84202,49004,-15180,-45181,-63764,-38165
창동,녹천,1,18045,15654,-3105,-8685,-9289,-6626
녹천,월계,1,12787,11470,-62,-8485,-10391,-5693
월계,광운대,1,30391,18492,-1840,-12951,-15677,-8899
광운대,석계,1,65271,72640,-29931,-60356,-61807,-36221
석계,신이문,1,35933,37750,-10591,-20933,-20844,-13839
신이문,외대앞,1,15091,4767,4272,-7206,-10579,-4074
외대앞,회기,1,26595,13621,11693,-18303,-28513,-8840
회기,청량리(서울시립대입구),1,39222,30907,12185,-25319,-24688,8280
청량리(서울시립대입구),제기동,1,2967,-9418,23163,19117,3975,3905
제기동,신설동,1,-12463,-62320,28071,54156,10031,6556
신설동,동묘앞,1,-4556,-31033,33596,26434,4553,1773
동묘앞,동대문,1,-26632,-77634,74054,63200,6509,8430
동대문,종로5가,1,-32809,-107780,48007,77964,39646,36094
종로5가,종로3가,1,-41681,-157445,68821,118480,100565,96774
종로3가,종각,1,-84732,-253027,65685,139215,69849,96280
종각,시청,1,-109212,-409947,109185,275818,104553,97909
시청,서울역,1,-101278,-255753,87279,206270,68167,48487
서울역,남영,1,-9663,-44363,8586,26207,3196,4740
남영,용산,1,-54532,-130240,48030,69045,45568,65056
용산,노량진,1,24458,28795,-21473,-62186,-46234,-2887
노량진,대방,1,-3285,-9965,5706,6647,-9498,-5836
대방,신길,1,14604,5601,1259,7700,-9496,-7990
신길,영등포,1,-20314,-74655,24613,26673,16723,76479
영등포,신도림,1,104915,27174,-1950,-35979,-62523,-4920
신도림,구로,1,9354,-41235,7448,23306,-4375,-2231
구로,구일,1,21026,9290,-5336,-14672,-14533,-5359
구일,개봉,1,80625,69740,-28682,-56986,-56740,-35101
개봉,오류동,1,47411,40662,-7826,-25098,-32075,-17135
오류동,온수(성공회대입구),1,48698,48991,-4422,-34489,-43832,-23819
온수(성공회대입구),역곡,1,118365,100478,-25740,-74328,-79996,-43360
역곡,소사,1,30137,19743,-5995,-13597,-19760,-11813
소사,부천,1,93933,67031,-25582,-69185,-75332,-28428
부천,중동,1,39194,21634,-7563,-16650,-21977,-12103
중동,송내,1,90514,16081,-9096,-15029,-56280,-31696
송내,부개,1,36541,25243,-7706,-17711,-19931,-13539
부개,부평,1,75685,56942,-28899,-80095,-75521,-22134
부평,백운,1,27421,18038,-7732,-14342,-19977,-11741
백운,동암,1,46793,43159,-17844,-33261,-37309,-25180
동암,간석,1,22651,15663,-5687,-10590,-14154,-8209
간석,주안,1,49734,29476,-1357,-16926,-36300,-14052
주안,도화,1,12065,7617,-49,-2611,-5725,-4070
